freq	leg_stat	sex	unit	geo	2022 	2023 
A	ADM	CRT_PEN	P_HTHAB	Luxembourg	236.29	234.56
A	ADM	CRT_PEN	P_HTHAB	Latvia	58.8	50.98
A	ADM	CRT_PEN	P_HTHAB	Malta	76.2	79.14
A	ADM	CRT_PEN	P_HTHAB	Netherlands	368.81	446.83
A	ADM	CRT_PEN	P_HTHAB	Poland	91.05	74.71
A	ADM	CRT_PEN	P_HTHAB	Portugal	534.85	476.82
A	ADM	CRT_PEN	P_HTHAB	Romania	372.32	407.52
A	ADM	CRT_PEN	P_HTHAB	Sweden	442.14	361.48
A	ADM	CRT_PEN	P_HTHAB	Slovenia	187.26	196.84
A	ADM	CRT_PEN	P_HTHAB	Slovakia	156.42	178.75
A	ADM	CRT_RESL	NR	Austria	56023.0	50758.0
A	ADM	CRT_RESL	NR	Belgium	19151.0	19783.0
A	ADM	CRT_RESL	NR	Bulgaria	28442.0	29501.0
A	ADM	CRT_RESL	NR	Cyprus	10176.0	11384.0
A	ADM	CRT_RESL	NR	Czechia	9729.0	8848.0
A	ADM	CRT_RESL	NR	Germany	560975.0	544561.0
A	ADM	CRT_RESL	NR	Denmark		
A	ADM	CRT_RESL	NR	Estonia	2736.0	2923.0
A	ADM	CRT_RESL	NR	Greece	66635.0	61780.0
A	ADM	CRT_RESL	NR	Spain	178091.0	167037.0
A	ADM	CRT_RESL	NR	Finland	22094.0	22366.0
A	ADM	CRT_RESL	NR	France	232332.0	243089.0
A	ADM	CRT_RESL	NR	Croatia	13589.0	13918.0
A	ADM	CRT_RESL	NR	Hungary	19226.0	19601.0
A	ADM	CRT_RESL	NR	Italy	68917.0	60916.0
A	ADM	CRT_RESL	NR	Lithuania	23006.0	22453.0
A	ADM	CRT_RESL	NR	Luxembourg	1054.0	1181.0
A	ADM	CRT_RESL	NR	Latvia	2008.0	1709.0
A	ADM	CRT_RESL	NR	Malta	134.0	116.0
A	ADM	CRT_RESL	NR	Netherlands	91969.0	108906.0
A	ADM	CRT_RESL	NR	Poland	76713.0	76855.0
A	ADM	CRT_RESL	NR	Portugal	27051.0	30669.0
