freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	F	P_HTHAB	Albania							0.21	0.35	0.21	0.14	0.07	0.0	0.14	0.0	0.21	0.07
A	ICCS0101	PER_CNV	F	P_HTHAB	Austria	0.14	0.07	0.07	0.07	0.09	0.12	0.09	0.09	0.09	0.04	0.04	0.04	0.09	0.13	0.02	0.04
A	ICCS0101	PER_CNV	F	P_HTHAB	Bosnia and Herzegovina				0.31	0.31											
A	ICCS0101	PER_CNV	F	P_HTHAB	Belgium			0.43	0.59	0.37	0.39	0.35	0.21	0.19	0.24	0.14	0.22	0.12			
A	ICCS0101	PER_CNV	F	P_HTHAB	Bulgaria	0.23	0.23	0.34	0.19	0.27	0.29	0.22	0.14	0.14	0.05	0.28	0.06	0.06	0.17	0.09	0.06
A	ICCS0101	PER_CNV	F	P_HTHAB	Switzerland	0.13	0.18	0.18	0.18	0.12	0.1	0.02	0.12	0.12	0.09	0.12	0.07	0.02	0.09	0.09	0.02
A	ICCS0101	PER_CNV	F	P_HTHAB	Cyprus	0.25	0.0	0.48	0.0	0.23	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.22	0.22	0.0	
A	ICCS0101	PER_CNV	F	P_HTHAB	Czechia	0.28	0.21	0.36	0.43	0.24	0.34	0.39	0.26	0.32	0.24	0.3	0.22	0.37	0.31	0.21	0.4
A	ICCS0101	PER_CNV	F	P_HTHAB	Germany		0.11	0.09	0.09	0.07	0.07	0.08	0.09	0.07	0.1	0.08	0.07	0.08	0.07	0.09	0.09
A	ICCS0101	PER_CNV	F	P_HTHAB	Denmark	0.04	0.04	0.21	0.07	0.11	0.14	0.21	0.11	0.14	0.1	0.14	0.03	0.1	0.1	0.14	0.17
A	ICCS0101	PER_CNV	F	P_HTHAB	Estonia			0.42	0.28	0.42	1.14	0.57	0.57	0.29	1.0	0.29	0.14	0.14	0.14	0.86	
A	ICCS0101	PER_CNV	F	P_HTHAB	Greece														0.33	0.34	0.11
A	ICCS0101	PER_CNV	F	P_HTHAB	Spain					0.04	0.05	0.08	0.12	0.11	0.1	0.06	0.08	0.1	0.12	0.12	0.07
A	ICCS0101	PER_CNV	F	P_HTHAB	European Union - Aggregate								0.16	0.15	0.18	0.16	0.19	0.19	0.2	0.23	0.18
A	ICCS0101	PER_CNV	F	P_HTHAB	Finland	0.26	0.52	0.26	0.47	0.25	0.51	0.25	0.29	0.14	0.14	0.21	0.29	0.32	0.29	0.21	0.14
A	ICCS0101	PER_CNV	F	P_HTHAB	France	0.24	0.2	0.24	0.17	0.1	0.09	0.1	0.11	0.13	0.11	0.11	0.09	0.09	0.09	0.13	0.09
A	ICCS0101	PER_CNV	F	P_HTHAB	Croatia	0.04	0.18	0.13	0.23	0.27	0.36	0.09	0.05	0.42	0.42	0.09	0.33	0.34	0.34	0.15	0.4
A	ICCS0101	PER_CNV	F	P_HTHAB	Hungary	0.51	0.51	0.34	0.36	0.23	0.39	0.6	0.19	0.39	0.47	0.23	0.27	0.2	0.12	0.22	0.12
A	ICCS0101	PER_CNV	F	P_HTHAB	Iceland						0.0		0.61	0.0				0.0	0.0	0.0	0.0
A	ICCS0101	PER_CNV	F	P_HTHAB	Italy	0.05	0.06	0.08	0.05	0.04	0.07	0.05	0.09	0.09	0.08	0.08					
A	ICCS0101	PER_CNV	F	P_HTHAB	Lithuania	1.33	0.7	0.95	1.09	1.42	1.37	1.26	0.63	0.77	0.85	1.06	0.67	0.54	0.47	0.53	0.2
A	ICCS0101	PER_CNV	F	P_HTHAB	Luxembourg									0.7		0.0	0.0	0.32	0.0	0.31	0.0
A	ICCS0101	PER_CNV	F	P_HTHAB	Latvia	0.68	0.51	1.13	0.53	0.63	1.64	1.2	0.93	0.85	0.76	1.15	0.29	0.68	1.08	0.99	0.79
A	ICCS0101	PER_CNV	F	P_HTHAB	Montenegro		0.0	0.0	0.0	0.0	1.59	0.64	0.32	0.32	0.0	0.0	0.64	0.64	0.96	0.0	0.0
A	ICCS0101	PER_CNV	F	P_HTHAB	North Macedonia	0.1	0.2	0.2	0.19	0.19	0.19	0.1							0.1	0.11	0.11
A	ICCS0101	PER_CNV	F	P_HTHAB	Malta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A	ICCS0101	PER_CNV	F	P_HTHAB	Netherlands						0.7	0.48	0.47	0.4	0.51	0.61	0.52	0.29	0.47	0.45	0.54
A	ICCS0101	PER_CNV	F	P_HTHAB	Norway	0.08	0.0	0.08	0.0	0.12	0.2	0.04	0.27	0.08	0.11	0.08	0.11	0.0	0.15	0.07	0.0
A	ICCS0101	PER_CNV	F	P_HTHAB	Poland												0.16				
A	ICCS0101	PER_CNV	F	P_HTHAB	Portugal	0.15	0.2	0.11	0.18	0.15	0.31	0.22	0.24	0.13	0.11	0.15	0.11	0.09	0.2	0.22	0.16
A	ICCS0101	PER_CNV	F	P_HTHAB	Romania	0.5	0.62	0.44	0.45	0.32	0.54	0.45	0.48		0.66	0.42	0.93	0.99	0.86	0.86	0.85
A	ICCS0101	PER_CNV	F	P_HTHAB	Serbia						0.24	0.25	0.33	0.25	0.3	0.17	0.2	0.23	0.28	0.11	0.15
A	ICCS0101	PER_CNV	F	P_HTHAB	Sweden	0.24	0.3	0.36	0.21	0.19	0.33	0.14	0.21	0.24	0.3	0.18	0.33	0.35	0.45	0.35	0.29
A	ICCS0101	PER_CNV	F	P_HTHAB	Slovenia	0.29	0.29	0.29	0.19	0.19	0.29	0.38	0.19	0.38	0.1	0.19	0.38	0.19	0.29	0.19	0.09
A	ICCS0101	PER_CNV	F	P_HTHAB	Slovakia	0.18	0.18	0.04	0.18	0.18	0.18	0.22	0.04	0.11	0.14	0.14	0.11	0.07	0.25	0.25	0.18
A	ICCS0101	PER_CNV	F	P_HTHAB	Turkey		1.35	1.33	1.08	1.41	0.69	0.62	0.55	0.48	0.47	0.53	0.58	0.48	0.66	0.67	0.68
A	ICCS0101	PER_CNV	F	P_HTHAB	England and Wales	0.09	0.07	0.06	0.08	0.11	0.1	0.09	0.05	0.08							
A	ICCS0101	PER_CNV	F	P_HTHAB	Scotland	0.15	0.15	0.22	0.15	0.07	0.15	0.04	0.07	0.11	0.11						
A	ICCS0101	PER_CNV	F	P_HTHAB	Northern Ireland	0.0	0.22	0.11	0.22	0.11	0.0	0.0	0.0	0.11							
A	ICCS0101	PER_CNV	F	P_HTHAB	Kosovo	0.19	0.37	0.27	0.45					0.11		0.44	0.33				
A	ICCS0101	PER_CNV	M	NR	Albania						52.0	172.0	163.0	132.0	93.0	113.0	73.0	60.0	96.0	93.0	74.0
A	ICCS0101	PER_CNV	M	NR	Austria	20.0	17.0	36.0	26.0	35.0	28.0	31.0	21.0	28.0	22.0	42.0	31.0	35.0	33.0	27.0	29.0
A	ICCS0101	PER_CNV	M	NR	Bosnia and Herzegovina				103.0	102.0	153.0	87.0	68.0	84.0	87.0	93.0	70.0	71.0	109.0	79.0	81.0
A	ICCS0101	PER_CNV	M	NR	Belgium			189.0	213.0	273.0	227.0	209.0	74.0	84.0	82.0	88.0	73.0	45.0			
