freq	leg_case	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A	ADM	CRT_BGHT	P_HTHAB	Greece						593.92	596.07	500.82	500.14	558.13	561.58	551.6	421.32	437.71	501.57
A	ADM	CRT_BGHT	P_HTHAB	Spain	561.89	563.82	530.1	539.58	414.09	352.47	387.27	357.8	349.24	354.94	375.09	425.09	327.42	389.38	387.65
A	ADM	CRT_BGHT	P_HTHAB	Finland	366.61	401.33	412.58	374.81	357.56	358.56	377.56	370.3	505.97	394.51	340.12	362.46	353.1	395.86	383.58
A	ADM	CRT_BGHT	P_HTHAB	France				295.88	287.28	282.01	314.98	301.91	46.98	289.68	317.83	344.28	312.71	356.78	355.36
A	ADM	CRT_BGHT	P_HTHAB	Croatia	308.4	342.5	336.29	315.16	280.89	324.09	328.29	339.36	342.16	284.43	327.12	319.75	301.98	332.18	329.44
A	ADM	CRT_BGHT	P_HTHAB	Hungary	128.7	134.54	143.39	128.97	126.81	224.12	182.32	184.15	199.28	172.57	175.08	168.14	299.44	211.51	201.79
A	ADM	CRT_BGHT	P_HTHAB	Italy	95.51	93.34	95.82	93.38	86.48	91.99	104.84	101.53	89.94	80.14	82.61	85.05	70.5	81.21	87.37
A	ADM	CRT_BGHT	P_HTHAB	Lithuania	146.39	136.6	244.46	195.38	268.61	603.38	485.01	579.3	516.42	410.79	530.42	510.81	532.91	576.75	832.68
A	ADM	CRT_BGHT	P_HTHAB	Luxembourg							249.6	226.3	200.61	205.36	206.98	237.17	174.89	169.68	178.34
A	ADM	CRT_BGHT	P_HTHAB	Latvia	167.03	188.92	207.64	226.69	195.67	139.54	120.11	119.23	121.64	107.89	96.36	97.5	88.96	100.62	99.91
A	ADM	CRT_BGHT	P_HTHAB	Montenegro	326.38	370.25	603.07	593.05	548.11	503.95	579.71	578.36	753.92	2045.19	1464.11	1043.42	880.08	1063.57	2159.85
A	ADM	CRT_BGHT	P_HTHAB	Malta						79.98	27.97	17.47	20.72	17.6	29.64	25.73	25.07	29.26	27.06
A	ADM	CRT_BGHT	P_HTHAB	Poland	150.71	154.98	178.39	173.45	189.58	214.47	221.37	219.78	202.0	190.73	173.69	184.94	180.4	227.97	204.81
A	ADM	CRT_BGHT	P_HTHAB	Portugal								335.33	258.11	243.0	237.4	267.84	671.76	242.09	233.89
A	ADM	CRT_BGHT	P_HTHAB	Romania	261.12	278.76	469.02	747.19	1211.24	964.09	456.08	519.81	593.93	744.22	428.76	426.34	408.8	415.72	438.17
A	ADM	CRT_BGHT	P_HTHAB	Serbia						297.93	253.61	280.5	298.39	305.1	360.01	323.63	475.96	562.67	934.72
A	ADM	CRT_BGHT	P_HTHAB	Sweden	1302.67	1355.35	1403.67	1366.74	1364.38	1384.04	1379.22	1309.39	1460.58	1636.07	1652.27	1731.51	1857.63	1715.03	1458.27
A	ADM	CRT_BGHT	P_HTHAB	Slovenia	213.85	177.48	163.12	177.3	154.42	159.36	159.62	143.15	143.98	192.46	171.27	150.85	138.03	130.44	128.99
A	ADM	CRT_BGHT	P_HTHAB	Slovakia	4.54	4.4	7.03	5.08	4.5	3.77	6.54	3.36	3.15	92.65	93.02	101.37	92.91	100.19	94.72
A	ADM	CRT_BGHT	P_HTHAB	Turkey		494.11	585.42	524.42	511.1	573.36	568.15	633.16	785.27	400.25	374.24	414.14	396.24	441.44	454.06
A	ADM	CRT_BGHT	P_HTHAB	England and Wales	1188.72	1464.84	1505.11	1450.91	1473.61	1610.48	655.3	766.28	821.97						
A	ADM	CRT_BGHT	P_HTHAB	Northern Ireland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				
A	ADM	CRT_BGHT	P_HTHAB	Kosovo	65.11	47.28	56.34	86.39					125.08	133.44	167.25	175.48			
A	ADM	CRT_PEN	NR	Albania						1538.0	3841.0	3315.0	3561.0	3018.0	3054.0	4486.0	5947.0	5474.0	
A	ADM	CRT_PEN	NR	Bosnia and Herzegovina	7625.0	8982.0	1107.0	11599.0	11614.0	14746.0	16440.0	9400.0	8081.0	7353.0	7801.0	8134.0	8316.0	7724.0	8871.0
A	ADM	CRT_PEN	NR	Bulgaria				8581.0	10886.0	8623.0	8444.0	8736.0	7714.0	9410.0	9528.0	10007.0	9960.0	9910.0	9737.0
A	ADM	CRT_PEN	NR	Switzerland	4584.0	14190.0	13267.0	16911.0	15190.0				4521.0						
A	ADM	CRT_PEN	NR	Czechia				8811.0	8964.0	8601.0	9062.0	9148.0	10101.0	10670.0	12090.0	11333.0	9784.0	8023.0	5998.0
