freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS02-04	Cyprus	149.0	170.0	198.0	180.0	186.0	176.0	197.0	185.0	200.0	203.0	294.0	383.0	325.0	319.0	301.0
A	NR	ICCS02-04	Czechia	20263.0	20573.0	22114.0	23212.0	23576.0	23810.0	23581.0	22206.0	22017.0	23956.0	22763.0	24025.0	22079.0	19454.0	19976.0
A	NR	ICCS02-04	Germany	160680.0	156272.0	170170.0	179455.0	186447.0	186306.0	186655.0	187103.0	188413.0	197492.0	204124.0	211172.0	212832.0	215471.0	217923.0
A	NR	ICCS02-04	Denmark	15869.0	16170.0	14919.0	14895.0	15758.0	15482.0	16615.0	17825.0	18026.0	18783.0	19213.0	19393.0	19078.0	19625.0	20597.0
A	NR	ICCS02-04	Estonia	809.0	900.0	813.0	751.0	781.0	710.0	638.0	676.0	643.0		2411.0	3287.0	4755.0	5154.0	5834.0
A	NR	ICCS02-04	Greece	8317.0	9081.0	8693.0	8149.0	8766.0	9312.0	9097.0	9105.0	9501.0	7507.0	10140.0	10145.0	10271.0	10427.0	10851.0
A	NR	ICCS02-04	Spain		107912.0	103039.0	114303.0	118370.0	122005.0	117341.0	109665.0	121094.0	120581.0	109798.0	108820.0	112426.0	114205.0	113473.0
A	NR	ICCS02-04	Finland	25226.0	26017.0	28218.0	30825.0	31202.0	31726.0	32089.0	34291.0	33355.0	34186.0	35293.0	36450.0	37105.0	38037.0	41664.0
A	NR	ICCS02-04	France	144368.0	155869.0	165381.0	178363.0	186006.0	194873.0	215698.0	243166.0	279324.0	288927.0	292658.0	292088.0	307501.0	326065.0	324765.0
A	NR	ICCS02-04	Metropolitan France	144368.0	155869.0	165381.0	178363.0	186006.0	194873.0	215698.0	243166.0	279324.0	288927.0	292658.0	292088.0	307501.0	326065.0	324765.0
A	NR	ICCS02-04	Croatia						4401.0	5373.0	6211.0	7584.0	8802.0	10032.0	11292.0	12405.0	13235.0	12966.0
A	NR	ICCS02-04	Hungary	24574.0	26035.0	25773.0	24784.0	26987.0	28414.0	28277.0	29145.0	30820.0	31221.0	31484.0	33364.0	32760.0	29728.0	29645.0
A	NR	ICCS02-04	Ireland	5470.0	5046.0	5764.0	6554.0	5488.0	4515.0		5676.0	8548.0	11976.0	9955.0	9615.0	9414.0	9920.0	10188.0
A	NR	ICCS02-04	Italy	114945.0	107766.0	98837.0	100931.0	103750.0	108935.0	111897.0	106051.0	107032.0	106624.0	111165.0	131764.0	136322.0	145209.0	153997.0
A	NR	ICCS02-04	Liechtenstein				85.0	82.0	87.0	78.0	83.0	85.0	82.0	109.0	96.0	107.0	88.0	86.0
A	NR	ICCS02-04	Lithuania	4743.0	5258.0	3838.0	4405.0	4899.0	4549.0	4339.0	5418.0	5144.0	5492.0	6042.0	6566.0	6561.0	5498.0	4754.0
A	NR	ICCS02-04	Luxembourg								1768.0	1689.0	2069.0	2124.0	2433.0	2367.0	2471.0	3233.0
A	NR	ICCS02-04	Latvia							3363.0	3937.0	3761.0	3407.0	3200.0	3366.0	2879.0	2750.0	1919.0
A	NR	ICCS02-04	Montenegro										4209.0	3940.0	4281.0	249.0	280.0	271.0
A	NR	ICCS02-04	North Macedonia								538.0	493.0	702.0	860.0	1094.0	1133.0	993.0	1037.0
A	NR	ICCS02-04	Malta												406.0	403.0	390.0	422.0
A	NR	ICCS02-04	Netherlands	61591.0	67077.0	65284.0	67479.0	74691.0	76787.0	87132.0	91738.0	101320.0	104336.0	106410.0	109887.0	138915.0	138215.0	138850.0
A	NR	ICCS02-04	Norway	14587.0	14870.0	15335.0	17405.0	17394.0	17324.0	17645.0	19374.0	19217.0	20414.0	20039.0	21360.0	21381.0	22591.0	23205.0
A	NR	ICCS02-04	Poland	44544.0	50080.0	53197.0	54481.0	60895.0	62461.0	70310.0	79763.0	76235.0	74875.0	77152.0	74614.0	68141.0	61399.0	54629.0
A	NR	ICCS02-04	Portugal		17103.0	17028.0	15498.0	16734.0	15463.0	18943.0	19730.0	21554.0	22945.0	23414.0	24266.0	23232.0	24157.0	21734.0
A	NR	ICCS02-04	Romania	9515.0	8930.0	9212.0	8720.0	8966.0	7846.0	7840.0	7703.0	7943.0	7130.0	6281.0	6388.0	6469.0	7240.0	5580.0
A	NR	ICCS02-04	Serbia								36104.0	43569.0	31400.0	25513.0	27950.0	29068.0	28864.0	29316.0
A	NR	ICCS02-04	Sweden	63788.0	65236.0	66311.0	65829.0	68349.0	70952.0	76746.0	75874.0	78407.0	79455.0	83782.0	86107.0	94205.0	98154.0	104627.0
A	NR	ICCS02-04	Slovenia	1327.0	1317.0	1906.0	2042.0	1902.0	1352.0	1434.0	1594.0	2807.0	3070.0	2893.0	2928.0	2856.0	3069.0	3087.0
A	NR	ICCS02-04	Slovakia	9722.0	9876.0	10990.0	11391.0	11564.0	12427.0	13531.0	13549.0	14450.0	15020.0	13724.0	13755.0	13575.0	11584.0	10274.0
A	NR	ICCS02-04	Turkey	12366.0	13251.0	55001.0	64487.0	67567.0	72601.0	71303.0	77017.0	87325.0	94920.0	96209.0	108371.0	125467.0	165119.0	138576.0
A	NR	ICCS02-04	England and Wales			310936.0	344766.0	347064.0	605797.0	703107.0	741954.0	821270.0	875665.0	963395.0	997607.0	997159.0	972283.0	885718.0
A	NR	ICCS02-04	Scotland	23085.0	23382.0	24360.0	25178.0	23656.0	25725.0	27321.0	24981.0	27085.0	28183.0	27423.0	27400.0	26558.0	27618.0	25182.0
A	NR	ICCS02-04	Northern Ireland	7507.0	7693.0	8368.0	9110.0	8251.0	21452.0	24163.0	24330.0	29745.0	32360.0	32669.0	32448.0	34288.0	35101.0	32388.0
A	NR	ICCS0401	Austria					1991.0	2234.0	2283.0	3034.0	2824.0	3638.0	4434.0	4798.0	4770.0	5095.0	5036.0
A	NR	ICCS0401	Belgium								28188.0	28755.0	30288.0	27986.0	24240.0	23995.0	22820.0	21186.0
A	NR	ICCS0401	Bulgaria			5737.0	5623.0	6481.0	4494.0	4044.0	4266.0	4069.0	4665.0	4933.0	4131.0	3754.0	2875.0	2996.0
A	NR	ICCS0401	Switzerland	4980.0	3812.0	3315.0	3776.0	4093.0	4273.0	4289.0	3752.0	3822.0	3968.0	4344.0	4749.0	3977.0	4088.0	4481.0
A	NR	ICCS0401	Cyprus	17.0	14.0	22.0	15.0	23.0	29.0	31.0	39.0	39.0	36.0	66.0	100.0	73.0	66.0	69.0
A	NR	ICCS0401	Czechia	4109.0	3826.0	3978.0	4281.0	4751.0	4306.0	4817.0	4644.0	4321.0	5434.0	5443.0	5931.0	5368.0	4613.0	4668.0
A	NR	ICCS0401	Germany				67578.0	69569.0	64405.0	61420.0	59414.0	57108.0	58867.0	59782.0	59732.0	54841.0	53696.0	52949.0
A	NR	ICCS0401	Denmark	4610.0	4171.0	4112.0	4368.0	4861.0	5008.0	5539.0	5915.0	5872.0	6033.0	5884.0	5733.0	5199.0	5048.0	5784.0
A	NR	ICCS0401	Estonia					3478.0	3978.0	4918.0	4754.0	4475.0		1885.0	1632.0	1298.0	1005.0	887.0
A	NR	ICCS0401	Greece	1505.0	1257.0	1600.0	1487.0	1967.0	2254.0	2048.0	1581.0	1735.0	1992.0	2083.0	2339.0	2084.0	2463.0	2823.0
A	NR	ICCS0401	Spain			87255.0	99282.0	104788.0	105528.0	101842.0	94831.0	106491.0	104380.0	92980.0	88413.0	90104.0	90591.0	89884.0
A	NR	ICCS0401	Finland					2016.0	2092.0	2277.0	2600.0	2157.0	2120.0	2045.0	2017.0	1814.0	1700.0	1784.0
A	NR	ICCS0401	France					80498.0	84291.0	94947.0	109836.0	134281.0	133137.0	125286.0	119641.0	124600.0	127190.0	112885.0
A	NR	ICCS0401	Metropolitan France					80498.0	84291.0	94947.0	109836.0	134281.0	133137.0	125286.0	119641.0	124600.0	127190.0	112885.0
A	NR	ICCS0401	Croatia	644.0	414.0	464.0	521.0	593.0	728.0	667.0	802.0	801.0	1204.0	1236.0	1622.0	1560.0	1445.0	1272.0
A	NR	ICCS0401	Hungary	2881.0	2570.0	2657.0	2689.0	3056.0	3056.0	3167.0	3494.0	3319.0	3389.0	3289.0	3227.0	2982.0	2709.0	3119.0
A	NR	ICCS0401	Ireland								1397.0	1744.0	1688.0	2894.0	2702.0	2406.0	2475.0	2151.0
A	NR	ICCS0401	Iceland								34.0	39.0	32.0	39.0	35.0	49.0	50.0	42.0
A	NR	ICCS0401	Italy	86306.0	79145.0	69535.0	68571.0	69993.0	73289.0	72836.0	67424.0	66671.0	68248.0	70625.0	66643.0	65724.0	71762.0	74130.0
A	NR	ICCS0401	Liechtenstein				4.0	7.0	7.0	7.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	5.0
A	NR	ICCS0401	Lithuania	3723.0	4217.0	2837.0	3481.0	3971.0	3646.0	3376.0	4374.0	4185.0	4535.0	4919.0	5323.0	5206.0	4343.0	3802.0
A	NR	ICCS0401	Luxembourg	254.0	291.0	252.0	260.0	288.0	372.0	352.0	307.0	257.0	367.0	374.0	339.0	351.0	263.0	331.0
A	NR	ICCS0401	Latvia							2619.0	3160.0	3059.0	2664.0	2503.0	2467.0	2163.0	2248.0	1468.0
A	NR	ICCS0401	Montenegro										4173.0	3908.0	4239.0	86.0	80.0	67.0
A	NR	ICCS0401	North Macedonia								296.0	266.0	463.0	573.0	783.0	709.0	503.0	521.0
A	NR	ICCS0401	Malta						318.0	212.0	146.0	160.0	156.0	195.0	265.0	256.0	222.0	200.0
A	NR	ICCS0401	Netherlands	16341.0	15928.0	15747.0	15156.0	14186.0	14498.0	17685.0	19004.0	21174.0	20647.0	20018.0	17683.0	16445.0	14485.0	13660.0
A	NR	ICCS0401	Norway	976.0	951.0	891.0	947.0	989.0	1240.0	1558.0	1635.0	1392.0	1548.0	1437.0	1596.0	1448.0	1388.0	1464.0
A	NR	ICCS0401	Poland	17475.0	19152.0	20252.0	20372.0	23988.0	26647.0	36597.0	43255.0	41208.0	40345.0	44086.0	41287.0	36347.0	29472.0	22766.0
A	NR	ICCS0401	Portugal	11918.0	14322.0	14396.0	12892.0	13901.0	12442.0	16065.0	17156.0	18585.0	19764.0	19767.0	21051.0	20183.0	20870.0	18427.0
