freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,NAT,NR,CZ	70253 	68459 	65798 	65307 	66558 	73056 	68048 	60692 	56255 	50577 	49136 	49751 	43837 	44646 	44739 	45003 
A,PER_CNV,NAT,NR,DE	701049 	675205 	643599 	630240 	596959 	570896 	554109 	529884 	506311 	482979 	470027 	472983 	451612 	423435 	408721 	401232 
A,PER_CNV,NAT,NR,DK	: 	: 	: 	: 	: 	: 	173041 	165574 	159631 	148274 	149799 	39939 	45176 	41999 	41151 	44266 
A,PER_CNV,NAT,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3207 	3080 	2898 
A,PER_CNV,NAT,NR,ES	: 	0 	: 	: 	: 	: 	178519 	181946 	218904 	231555 	229857 	226537 	174839 	223050 	241419 	212918 
A,PER_CNV,NAT,NR,FI	218246 	188187 	184769 	180642 	169883 	162416 	153440 	160291 	136526 	71638 	72108 	72064 	71317 	72035 	68466 	69103 
A,PER_CNV,NAT,NR,FR	534134 	544399 	537505 	535268 	560447 	554365 	487673 	486479 	396495 	394048 	462499 	463589 	386101 	444485 	416886 	428304 
A,PER_CNV,NAT,NR,HR	23675 	25040 	: 	22893 	20320 	16495 	14829 	12535 	13350 	11933 	11647 	12522 	11233 	11789 	11738 	10628 
A,PER_CNV,NAT,NR,HU	81521 	83959 	86294 	83159 	73437 	68603 	74120 	68820 	67298 	66272 	64202 	61512 	51450 	52199 	51939 	51258 
A,PER_CNV,NAT,NR,IT	174308 	167851 	165759 	174453 	173456 	172499 	155954 	149073 	131533 	129702 	142690 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	3338 	3516 	3057 	2917 	3064 	3047 	2462 	2559 
A,PER_CNV,NAT,NR,LV	10871 	10566 	9515 	9079 	8813 	8478 	9041 	9309 	8615 	8970 	8338 	7888 	6930 	6661 	4630 	4017 
A,PER_CNV,NAT,NR,ME	: 	969 	648 	1089 	1398 	1145 	1387 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2686 	: 	4946 	6588 	7850 	7872 	6693 
A,PER_CNV,NAT,NR,NO	: 	: 	: 	51804 	49645 	51239 	48745 	50149 	48202 	45782 	11797 	11884 	11546 	11083 	10355 	10230 
A,PER_CNV,NAT,NR,PL	442449 	434946 	448471 	439742 	422027 	365428 	304957 	265129 	291530 	242714 	275154 	284911 	249897 	: 	: 	: 
A,PER_CNV,NAT,NR,PT	77172 	67939 	67399 	67619 	69065 	63037 	46818 	53010 	50649 	46011 	41273 	39772 	30710 	36582 	38894 	35343 
A,PER_CNV,NAT,NR,RO	36058 	33672 	: 	: 	: 	: 	: 	: 	32404 	34973 	31808 	33291 	31199 	35016 	32630 	31175 
A,PER_CNV,NAT,NR,RS	: 	: 	: 	: 	32861 	34147 	36736 	34257 	33724 	32296 	30165 	28957 	25600 	27568 	25777 	26961 
A,PER_CNV,NAT,NR,SI	: 	: 	: 	: 	: 	: 	: 	7009 	5980 	5091 	5349 	4982 	4062 	5098 	4334 	4427 
A,PER_CNV,NAT,NR,SK	28084 	30406 	30599 	29536 	34405 	35371 	32914 	28921 	26384 	25447 	28347 	27480 	24592 	22825 	24273 	22764 
A,PER_CNV,NAT,NR,TR	: 	1281933 	1206918 	1229807 	1457180 	491773 	484830 	513321 	453811 	439345 	545611 	581088 	481335 	675634 	665912 	665230 
A,PER_CNV,NAT,NR,XK	13159 	13341 	9829 	18257 	20893 	15748 	18271 	16827 	18514 	19518 	20402 	17957 	: 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,AT	327.82 	318.64 	315.29 	296.54 	282.42 	264.05 	244.16 	224.59 	206.08 	202.27 	177.07 	176.31 	157.86 	156.01 	156.50 	151.06 
A,PER_CNV,NAT,P_HTHAB,BA	: 	: 	: 	407.73 	463.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,BE	: 	: 	1054.23 	1027.63 	1144.61 	945.96 	763.45 	837.99 	: 	1518.12 	1440.69 	1274.61 	994.27 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,BG	468.66 	533.65 	495.62 	535.10 	492.21 	420.74 	372.61 	340.40 	363.72 	342.66 	322.86 	317.31 	300.34 	321.76 	332.16 	321.53 
A,PER_CNV,NAT,P_HTHAB,CH	678.59 	671.38 	685.05 	619.56 	631.68 	575.56 	583.60 	578.33 	563.18 	537.06 	538.49 	511.06 	507.41 	511.19 	518.48 	506.15 
A,PER_CNV,NAT,P_HTHAB,CZ	679.20 	656.63 	628.92 	622.76 	633.56 	694.70 	647.31 	575.92 	533.03 	478.10 	463.11 	467.15 	409.92 	425.41 	425.41 	415.63 
A,PER_CNV,NAT,P_HTHAB,DE	852.67 	823.40 	786.77 	785.62 	743.15 	708.98 	686.05 	652.59 	616.13 	585.28 	567.72 	569.73 	543.02 	509.21 	491.03 	482.72 
A,PER_CNV,NAT,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	3075.06 	2925.48 	2796.99 	2579.23 	2591.14 	687.88 	775.85 	719.16 	700.63 	746.14 
A,PER_CNV,NAT,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.03 	29.45 	27.83 
A,PER_CNV,NAT,P_HTHAB,ES	: 	0.00 	: 	: 	: 	: 	383.81 	391.71 	471.37 	497.67 	492.64 	482.64 	369.38 	470.58 	508.39 	442.79 
A,PER_CNV,NAT,P_HTHAB,FI	4117.47 	3533.16 	3452.71 	3360.61 	3145.24 	2992.92 	2814.76 	2929.43 	2488.03 	1301.73 	1307.93 	1306.00 	1290.74 	1301.73 	1234.01 	1241.97 
A,PER_CNV,NAT,P_HTHAB,FR	834.49 	845.99 	831.29 	823.76 	858.57 	845.06 	737.04 	732.01 	594.99 	589.81 	690.03 	690.09 	572.22 	656.27 	612.24 	627.30 
A,PER_CNV,NAT,P_HTHAB,HR	549.05 	581.00 	: 	533.65 	475.21 	387.01 	349.18 	296.66 	318.56 	287.25 	283.69 	307.19 	276.80 	292.07 	303.91 	275.99 
A,PER_CNV,NAT,P_HTHAB,HU	811.53 	837.00 	861.71 	832.78 	739.40 	692.34 	750.40 	698.29 	684.58 	676.41 	656.57 	629.42 	530.99 	540.84 	540.45 	533.95 
A,PER_CNV,NAT,P_HTHAB,IT	297.19 	284.49 	280.04 	293.87 	292.04 	289.01 	256.58 	245.20 	216.82 	214.07 	235.91 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	579.26 	595.26 	507.80 	475.16 	489.37 	480.05 	381.47 	387.25 
A,PER_CNV,NAT,P_HTHAB,LV	495.98 	488.53 	448.71 	437.63 	430.99 	418.91 	451.72 	468.71 	437.54 	459.97 	431.04 	410.84 	363.27 	351.83 	246.83 	213.33 
A,PER_CNV,NAT,P_HTHAB,ME	: 	157.01 	104.68 	175.69 	225.37 	184.41 	223.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.53 	: 	238.12 	317.30 	379.45 	428.50 	365.75 
A,PER_CNV,NAT,P_HTHAB,NO	: 	: 	: 	1052.80 	995.71 	1014.38 	954.29 	970.66 	925.05 	870.66 	222.77 	223.04 	215.11 	205.57 	190.87 	186.37 
