freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	P_HTHAB	CY	1.16 	2.38 	0.85 	0.95 	2.20 	1.27 	1.17 	1.42 	1.30 	0.82 	1.62 	1.48 	1.69 	1.56 	0.77 	1.05 
A	ICCS0101	P_HTHAB	CZ	1.09 	1.01 	1.00 	0.79 	0.90 	0.86 	0.77 	0.84 	0.62 	0.38 	0.52 	0.76 	0.53 	0.43 	0.75 	0.63 
A	ICCS0101	P_HTHAB	DE	0.80 	0.88 	0.85 	0.86 	0.77 	0.77 	0.80 	0.81 	0.91 	0.89 	0.76 	0.71 	0.86 	0.76 	0.74 	0.80 
A	ICCS0101	P_HTHAB	DK	0.96 	1.01 	0.89 	0.88 	0.77 	0.73 	1.10 	0.92 	0.93 	1.06 	0.93 	0.93 	0.88 	0.72 	1.00 	0.89 
A	ICCS0101	P_HTHAB	EE	6.28 	5.24 	5.25 	4.89 	4.75 	3.94 	3.12 	3.80 	2.51 	2.20 	1.90 	1.74 	2.78 	1.43 	1.35 	1.32 
A	ICCS0101	P_HTHAB	EL	1.29 	1.36 	1.58 	1.65 	1.49 	1.28 	0.96 	0.79 	0.75 	0.72 	0.88 	0.71 	0.68 	0.83 	0.76 	0.73 
A	ICCS0101	P_HTHAB	ES	0.89 	0.89 	0.86 	0.82 	0.78 	0.65 	0.69 	0.65 	0.63 	0.66 	0.62 	0.71 	0.63 	0.61 	0.69 	0.69 
A	ICCS0101	P_HTHAB	FI	3.02 	2.59 	2.49 	2.49 	1.98 	1.97 	2.05 	2.12 	1.75 	1.34 	1.72 	1.50 	1.72 	1.70 	1.50 	1.15 
A	ICCS0101	P_HTHAB	FR	1.52 	1.25 	1.23 	1.35 	1.25 	1.22 	1.16 	1.32 	1.17 	1.06 	1.04 	1.12 	1.03 	1.08 	1.21 	1.30 
A	ICCS0101	P_HTHAB	HR	1.65 	1.14 	1.44 	1.14 	1.19 	1.08 	0.85 	0.88 	1.05 	1.11 	0.58 	0.81 	0.99 	0.82 	0.80 	0.68 
A	ICCS0101	P_HTHAB	HU	1.46 	1.39 	1.33 	1.42 	1.14 	1.39 	1.31 	2.05 	0.93 	0.87 	0.85 	0.59 	0.79 	0.69 	0.88 	0.72 
A	ICCS0101	P_HTHAB	IE	1.14 	1.17 	1.21 	0.92 	1.13 	1.11 	1.15 	0.64 	0.72 	0.82 	0.81 	0.65 	0.64 	0.43 	0.87 	0.64 
A	ICCS0101	P_HTHAB	IS	0.00 	0.31 	0.63 	0.94 	0.31 	0.31 	0.61 	0.91 	0.30 	0.89 	0.57 	0.28 	0.82 	0.54 	1.06 	1.29 
A	ICCS0101	P_HTHAB	IT	1.05 	1.00 	0.89 	0.93 	0.89 	0.85 	0.80 	0.77 	0.67 	0.62 	0.59 	0.53 	0.48 	0.51 	0.55 	0.57 
A	ICCS0101	P_HTHAB	LI	2.83 	0.00 	2.79 	0.00 	0.00 	0.00 	2.69 	0.00 	0.00 	2.64 	2.62 	0.00 	2.58 		0.00 	0.00 
A	ICCS0101	P_HTHAB	LT	8.90 	7.54 	6.33 	6.19 	6.03 	5.79 	5.27 	5.75 	4.92 	3.97 	3.45 	3.01 	3.54 	2.50 	2.21 	2.41 
A	ICCS0101	P_HTHAB	LU	1.45 	1.01 	1.59 	0.78 	0.57 	0.37 	0.73 	0.89 	0.87 	0.34 	0.50 	0.65 	0.32 	0.47 	1.39 	0.61 
A	ICCS0101	P_HTHAB	LV	4.52 	4.99 	3.30 	3.33 	4.74 	3.41 	3.85 	4.08 	5.64 	5.59 	5.22 	4.74 	4.88 	5.18 	4.05 	4.20 
