freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS02-04	FI	25226 	26017 	28218 	30825 	31202 	31726 	32089 	34291 	33355 	34186 	35293 	36450.0	37105.0	38037.0	41664 
A	NR	ICCS02-04	FR	144368 	155869 	165381 	178363 	186006 	194873 	215698 	243166 	279324 	288927 	292658 	292088.0	307501.0	326065.0	324765 
A	NR	ICCS02-04	FX	144368 	155869 	165381 	178363 	186006 	194873 	215698 	243166 	279324 	288927 	292658 	292088.0	307501.0	326065.0	324765 
A	NR	ICCS02-04	HR						4401 	5373 	6211 	7584 	8802 	10032 	11292.0	12405.0	13235.0	12966 
A	NR	ICCS02-04	HU	24574 	26035 	25773 	24784 	26987 	28414 	28277 	29145 	30820 	31221 	31484 	33364.0	32760.0	29728.0	29645 
A	NR	ICCS02-04	IE	5470 	5046 	5764 	6554 	5488 	4515 		5676 	8548 	11976 	9955 	9615.0	9414.0	9920.0	10188 
A	NR	ICCS02-04	IT	114945 	107766 	98837 	100931 	103750 	108935 	111897 	106051 	107032 	106624 	111165 	131764.0	136322.0	145209.0	153997 
A	NR	ICCS02-04	LI				85 	82 	87 	78 	83 	85 	82 	109 	96.0	107.0	88.0	86 
A	NR	ICCS02-04	LT	4743 	5258 	3838 	4405 	4899 	4549 	4339 	5418 	5144 	5492 	6042 	6566.0	6561.0	5498.0	4754 
A	NR	ICCS02-04	LU								1768 	1689 	2069 	2124 	2433.0	2367.0	2471.0	3233 
A	NR	ICCS02-04	LV							3363 	3937 	3761 	3407 	3200 	3366.0	2879.0	2750.0	1919 
A	NR	ICCS02-04	ME										4209 	3940 	4281.0	249.0	280.0	271 
A	NR	ICCS02-04	MK								538 	493 	702 	860 	1094.0	1133.0	993.0	1037 
A	NR	ICCS02-04	MT												406.0	403.0	390.0	422 
A	NR	ICCS02-04	NL	61591 	67077 	65284 	67479 	74691 	76787 	87132 	91738 	101320 	104336 	106410 	109887.0	138915.0	138215.0	138850 
A	NR	ICCS02-04	NO	14587 	14870 	15335 	17405 	17394 	17324 	17645 	19374 	19217 	20414 	20039 	21360.0	21381.0	22591.0	23205 
A	NR	ICCS02-04	PL	44544 	50080 	53197 	54481 	60895 	62461 	70310 	79763 	76235 	74875 	77152 	74614.0	68141.0	61399.0	54629 
A	NR	ICCS02-04	PT		17103 	17028 	15498 	16734 	15463 	18943 	19730 	21554 	22945 	23414 	24266.0	23232.0	24157.0	21734 
A	NR	ICCS02-04	RO	9515 	8930 	9212 	8720 	8966 	7846 	7840 	7703 	7943 	7130 	6281 	6388.0	6469.0	7240.0	5580 
A	NR	ICCS02-04	RS								36104 	43569 	31400 	25513 	27950.0	29068.0	28864.0	29316 
A	NR	ICCS02-04	SE	63788 	65236 	66311 	65829 	68349 	70952 	76746 	75874 	78407 	79455 	83782 	86107.0	94205.0	98154.0	104627 
A	NR	ICCS02-04	SI	1327 	1317 	1906 	2042 	1902 	1352 	1434 	1594 	2807 	3070 	2893 	2928.0	2856.0	3069.0	3087 
A	NR	ICCS02-04	SK	9722 	9876 	10990 	11391 	11564 	12427 	13531 	13549 	14450 	15020 	13724 	13755.0	13575.0	11584.0	10274 
A	NR	ICCS02-04	TR	12366 	13251 	55001 	64487 	67567 	72601 	71303 	77017 	87325 	94920 	96209 	108371.0	125467.0	165119.0	138576 
