freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	F	P_HTHAB	CY	0.25 	0.00 	0.48 	0.00 	0.23 	0.00 	0.00 	0.00 	0.00 	0.68 	0.00 	0.00 	0.22 	0.22 	0.00 	
A	ICCS0101	PER_CNV	F	P_HTHAB	CZ	0.28 	0.21 	0.36 	0.43 	0.24 	0.34 	0.39 	0.26 	0.32 	0.24 	0.30 	0.22 	0.37 	0.31 	0.21 	0.40 
A	ICCS0101	PER_CNV	F	P_HTHAB	DE		0.11 	0.09 	0.09 	0.07 	0.07 	0.08 	0.09 	0.07 	0.10 	0.08 	0.07 	0.08 	0.07 	0.09 	0.09 
A	ICCS0101	PER_CNV	F	P_HTHAB	DK	0.04 	0.04 	0.21 	0.07 	0.11 	0.14 	0.21 	0.11 	0.14 	0.10 	0.14 	0.03 	0.10 	0.10 	0.14 	0.17 
A	ICCS0101	PER_CNV	F	P_HTHAB	EE			0.42 	0.28 	0.42 	1.14 	0.57 	0.57 	0.29 	1.00 	0.29 	0.14 	0.14 	0.14 	0.86 	
A	ICCS0101	PER_CNV	F	P_HTHAB	EL														0.33 	0.34 	0.11 
A	ICCS0101	PER_CNV	F	P_HTHAB	ES					0.04 	0.05 	0.08 	0.12 	0.11 	0.10 	0.06 	0.08 	0.10 	0.12 	0.12 	0.07 
A	ICCS0101	PER_CNV	F	P_HTHAB	EU_V								0.16 	0.15 	0.18 	0.16 	0.19 	0.19 	0.20 	0.23 	0.18 
A	ICCS0101	PER_CNV	F	P_HTHAB	FI	0.26 	0.52 	0.26 	0.47 	0.25 	0.51 	0.25 	0.29 	0.14 	0.14 	0.21 	0.29 	0.32 	0.29 	0.21 	0.14 
A	ICCS0101	PER_CNV	F	P_HTHAB	FR	0.24 	0.20 	0.24 	0.17 	0.10 	0.09 	0.10 	0.11 	0.13 	0.11 	0.11 	0.09 	0.09 	0.09 	0.13 	0.09 
A	ICCS0101	PER_CNV	F	P_HTHAB	HR	0.04 	0.18 	0.13 	0.23 	0.27 	0.36 	0.09 	0.05 	0.42 	0.42 	0.09 	0.33 	0.34 	0.34 	0.15 	0.40 
A	ICCS0101	PER_CNV	F	P_HTHAB	HU	0.51 	0.51 	0.34 	0.36 	0.23 	0.39 	0.60 	0.19 	0.39 	0.47 	0.23 	0.27 	0.20 	0.12 	0.22 	0.12 
A	ICCS0101	PER_CNV	F	P_HTHAB	IS						0.00 		0.61 	0.00 				0.00 	0.00 	0.00 	0.00 
A	ICCS0101	PER_CNV	F	P_HTHAB	IT	0.05 	0.06 	0.08 	0.05 	0.04 	0.07 	0.05 	0.09 	0.09 	0.08 	0.08 					
A	ICCS0101	PER_CNV	F	P_HTHAB	LT	1.33 	0.70 	0.95 	1.09 	1.42 	1.37 	1.26 	0.63 	0.77 	0.85 	1.06 	0.67 	0.54 	0.47 	0.53 	0.20 
A	ICCS0101	PER_CNV	F	P_HTHAB	LU									0.70 		0.00 	0.00 	0.32 	0.00 	0.31 	0.00 
A	ICCS0101	PER_CNV	F	P_HTHAB	LV	0.68 	0.51 	1.13 	0.53 	0.63 	1.64 	1.20 	0.93 	0.85 	0.76 	1.15 	0.29 	0.68 	1.08 	0.99 	0.79 
A	ICCS0101	PER_CNV	F	P_HTHAB	ME		0.00 	0.00 	0.00 	0.00 	1.59 	0.64 	0.32 	0.32 	0.00 	0.00 	0.64 	0.64 	0.96 	0.00 	0.00 
A	ICCS0101	PER_CNV	F	P_HTHAB	MK	0.10 	0.20 	0.20 	0.19 	0.19 	0.19 	0.10 							0.10 	0.11 	0.11 
A	ICCS0101	PER_CNV	F	P_HTHAB	MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A	ICCS0101	PER_CNV	F	P_HTHAB	NL						0.70 	0.48 	0.47 	0.40 	0.51 	0.61 	0.52 	0.29 	0.47 	0.45 	0.54 
A	ICCS0101	PER_CNV	F	P_HTHAB	NO	0.08 	0.00 	0.08 	0.00 	0.12 	0.20 	0.04 	0.27 	0.08 	0.11 	0.08 	0.11 	0.00 	0.15 	0.07 	0.00 
A	ICCS0101	PER_CNV	F	P_HTHAB	PL												0.16 				
A	ICCS0101	PER_CNV	F	P_HTHAB	PT	0.15 	0.20 	0.11 	0.18 	0.15 	0.31 	0.22 	0.24 	0.13 	0.11 	0.15 	0.11 	0.09 	0.20 	0.22 	0.16 
A	ICCS0101	PER_CNV	F	P_HTHAB	RO	0.50 	0.62 	0.44 	0.45 	0.32 	0.54 	0.45 	0.48 		0.66 	0.42 	0.93 	0.99 	0.86 	0.86 	0.85 
A	ICCS0101	PER_CNV	F	P_HTHAB	RS						0.24 	0.25 	0.33 	0.25 	0.30 	0.17 	0.20 	0.23 	0.28 	0.11 	0.15 
A	ICCS0101	PER_CNV	F	P_HTHAB	SE	0.24 	0.30 	0.36 	0.21 	0.19 	0.33 	0.14 	0.21 	0.24 	0.30 	0.18 	0.33 	0.35 	0.45 	0.35 	0.29 
A	ICCS0101	PER_CNV	F	P_HTHAB	SI	0.29 	0.29 	0.29 	0.19 	0.19 	0.29 	0.38 	0.19 	0.38 	0.10 	0.19 	0.38 	0.19 	0.29 	0.19 	0.09 
A	ICCS0101	PER_CNV	F	P_HTHAB	SK	0.18 	0.18 	0.04 	0.18 	0.18 	0.18 	0.22 	0.04 	0.11 	0.14 	0.14 	0.11 	0.07 	0.25 	0.25 	0.18 
A	ICCS0101	PER_CNV	F	P_HTHAB	TR		1.35 	1.33 	1.08 	1.41 	0.69 	0.62 	0.55 	0.48 	0.47 	0.53 	0.58 	0.48 	0.66 	0.67 	0.68 
A	ICCS0101	PER_CNV	F	P_HTHAB	UKC-L	0.09 	0.07 	0.06 	0.08 	0.11 	0.10 	0.09 	0.05 	0.08 							
A	ICCS0101	PER_CNV	F	P_HTHAB	UKM	0.15 	0.15 	0.22 	0.15 	0.07 	0.15 	0.04 	0.07 	0.11 	0.11 						
A	ICCS0101	PER_CNV	F	P_HTHAB	UKN	0.00 	0.22 	0.11 	0.22 	0.11 	0.00 	0.00 	0.00 	0.11 							
A	ICCS0101	PER_CNV	F	P_HTHAB	XK	0.19 	0.37 	0.27 	0.45 					0.11 		0.44 	0.33 				
A	ICCS0101	PER_CNV	M	NR	AL						52 	172 	163 	132 	93 	113 	73 	60 	96 	93 	74 
A	ICCS0101	PER_CNV	M	NR	AT	20 	17 	36 	26 	35 	28 	31 	21 	28 	22 	42 	31 	35 	33 	27 	29 
A	ICCS0101	PER_CNV	M	NR	BA				103 	102 	153 	87 	68 	84 	87 	93 	70 	71 	109 	79 	81 
A	ICCS0101	PER_CNV	M	NR	BE			189 	213 	273 	227 	209 	74 	84 	82 	88 	73 	45 			
A	ICCS0101	PER_CNV	M	NR	BG	134 	107 	113 	107 	97 	65 	66 	93 	77 	74 	62 	55 	37 	50 	41 	50 
A	ICCS0101	PER_CNV	M	NR	CH	35 	29 	41 	23 	36 	30 	34 	33 	28 	34 	31 	22 	21 	35 	22 	7 
A	ICCS0101	PER_CNV	M	NR	CY	3 	5 	11 	2 	8 	18 	6 	3 	6 	13 	2 	7 	16 	10 	9 	
A	ICCS0101	PER_CNV	M	NR	CZ	121 	100 	90 	108 	98 	107 	116 	100 	82 	69 	87 	64 	86 	87 	77 	71 
A	ICCS0101	PER_CNV	M	NR	DE		344 	342 	286 	326 	259 	287 	299 	289 	258 	262 	313 	276 	254 	243 	225 
A	ICCS0101	PER_CNV	M	NR	DK	21 	34 	48 	24 	31 	20 	19 	33 	16 	30 	28 	22 	37 	32 	29 	36 
A	ICCS0101	PER_CNV	M	NR	EE			50 	38 	56 	61 	28 	32 	34 	22 	26 	34 	27 	28 	23 	
A	ICCS0101	PER_CNV	M	NR	EL														224 	202 	143 
A	ICCS0101	PER_CNV	M	NR	ES					75 	84 	207 	216 	163 	171 	146 	184 	190 	159 	168 	197 
A	ICCS0101	PER_CNV	M	NR	FI	86 	59 	67 	69 	64 	53 	67 	47 	50 	44 	34 	46 	49 	46 	44 	43 
A	ICCS0101	PER_CNV	M	NR	FR	581 	556 	577 	454 	272 	267 	247 	257 	276 	276 	258 	291 	259 	294 	308 	245 
A	ICCS0101	PER_CNV	M	NR	HR	42 	45 	31 	41 	41 	44 	45 	30 	61 	54 	52 	68 	51 	59 	71 	69 
A	ICCS0101	PER_CNV	M	NR	HU	109 	156 	120 	91 	124 	101 	125 	65 	92 	67 	74 	73 	37 	41 	58 	49 
A	ICCS0101	PER_CNV	M	NR	IS						1 		2 	1 				0 	3 	0 	2 
A	ICCS0101	PER_CNV	M	NR	IT	600 	577 	565 	436 	480 	513 	587 	489 	583 	566 	648 					
A	ICCS0101	PER_CNV	M	NR	LT	253 	201 	221 	199 	165 	151 	177 	120 	133 	135 	98 	85 	56 	70 	71 	46 
A	ICCS0101	PER_CNV	M	NR	LU									0 		0 	1 	0 	4 	11 	5 
A	ICCS0101	PER_CNV	M	NR	LV	97 	74 	65 	57 	77 	86 	109 	106 	94 	98 	90 	73 	62 	65 	84 	59 
A	ICCS0101	PER_CNV	M	NR	ME		28 	4 	6 	6 	31 	18 	14 	10 	12 	6 	8 	8 	7 	3 	5 
A	ICCS0101	PER_CNV	M	NR	MK	32 	52 	32 	37 	36 	31 	39 							17 	21 	27 
A	ICCS0101	PER_CNV	M	NR	MT	1 	4 	3 	3 	2 	2 	0 	3 	1 	1 	7 	7 	2 	1 	1 	2 
A	ICCS0101	PER_CNV	M	NR	NL						642 	543 	488 	442 	505 	532 	541 	569 	634 	684 	750 
A	ICCS0101	PER_CNV	M	NR	NO	17 	23 	27 	22 	24 	22 	24 	17 	24 	28 	22 	16 	23 	23 	20 	14 
A	ICCS0101	PER_CNV	M	NR	PL												304 				
A	ICCS0101	PER_CNV	M	NR	PT	113 	149 	114 	128 	127 	115 	106 	96 	86 	57 	68 	56 	77 	63 	59 	75 
A	ICCS0101	PER_CNV	M	NR	RO	662 	702 	835 	937 	769 	773 	826 	785 		715 	644 	643 	477 	438 	489 	476 
A	ICCS0101	PER_CNV	M	NR	RS						116 	130 	78 	96 	85 	64 	72 	66 	96 	38 	74 
A	ICCS0101	PER_CNV	M	NR	SE	138 	136 	149 	124 	121 	130 	129 	146 	156 	128 	161 	178 	194 	227 	203 	296 
A	ICCS0101	PER_CNV	M	NR	SI	27 	20 	15 	26 	22 	36 	33 	20 	18 	20 	33 	15 	15 	18 	12 	20 
A	ICCS0101	PER_CNV	M	NR	SK	45 	41 	59 	38 	39 	36 	40 	27 	29 	27 	32 	28 	35 	42 	36 	27 
A	ICCS0101	PER_CNV	M	NR	TR		14512 	15390 	14819 	17279 	6967 	6143 	6326 	5572 	5077 	6511 	6943 	5655 	7303 	7461 	7572 
A	ICCS0101	PER_CNV	M	NR	UKC-L	415 	356 	328 	320 	324 	293 	322 	252 	271 							
A	ICCS0101	PER_CNV	M	NR	UKM	56 	48 	43 	49 	46 	43 	30 	25 	26 	27 						
A	ICCS0101	PER_CNV	M	NR	UKN	10 	14 	14 	11 	8 	13 	7 	6 	9 	10 	16 					
A	ICCS0101	PER_CNV	M	NR	XK	54 	73 	73 	86 	57 	42 	78 	96 	66 	79 	117 	96 				
A	ICCS0101	PER_CNV	M	P_HTHAB	AL							11.78 	11.16 	9.05 	6.40 	7.85 	5.11 	4.22 	6.81 	6.70 	5.41 
A	ICCS0101	PER_CNV	M	P_HTHAB	AT	0.49 	0.42 	0.89 	0.64 	0.85 	0.68 	0.75 	0.50 	0.66 	0.51 	0.97 	0.71 	0.80 	0.75 	0.61 	0.65 
A	ICCS0101	PER_CNV	M	P_HTHAB	BA				5.49 	5.44 											
A	ICCS0101	PER_CNV	M	P_HTHAB	BE			3.56 	3.94 	5.01 	4.14 	3.80 	1.34 	1.51 	1.47 	1.57 	1.29 	0.79 			
A	ICCS0101	PER_CNV	M	P_HTHAB	BG	3.66 	2.94 	3.13 	2.98 	2.72 	1.83 	1.87 	2.66 	2.21 	2.14 	1.81 	1.62 	1.10 	1.49 	1.24 	1.61 
A	ICCS0101	PER_CNV	M	P_HTHAB	CH	0.94 	0.77 	1.07 	0.59 	0.92 	0.76 	0.85 	0.81 	0.68 	0.81 	0.74 	0.52 	0.49 	0.81 	0.51 	0.16 
A	ICCS0101	PER_CNV	M	P_HTHAB	CY	0.79 	1.28 	2.75 	0.49 	1.91 	4.28 	1.44 	0.73 	1.45 	3.12 	0.47 	1.64 	3.68 	2.28 	2.04 	
A	ICCS0101	PER_CNV	M	P_HTHAB	CZ	2.39 	1.95 	1.75 	2.10 	1.90 	2.07 	2.25 	1.93 	1.58 	1.33 	1.67 	1.22 	1.63 	1.65 	1.49 	1.34 
A	ICCS0101	PER_CNV	M	P_HTHAB	DE		0.86 	0.85 	0.73 	0.83 	0.66 	0.73 	0.75 	0.71 	0.63 	0.64 	0.76 	0.67 	0.62 	0.59 	0.55 
A	ICCS0101	PER_CNV	M	P_HTHAB	DK	0.77 	1.24 	1.75 	0.87 	1.12 	0.72 	0.68 	1.17 	0.56 	1.05 	0.97 	0.76 	1.28 	1.10 	0.99 	1.22 
A	ICCS0101	PER_CNV	M	P_HTHAB	EE			8.05 	6.13 	9.06 	9.90 	4.55 	5.21 	5.51 	3.56 	4.19 	5.43 	4.29 	4.44 	3.63 	
A	ICCS0101	PER_CNV	M	P_HTHAB	EL														4.31 	3.95 	2.81 
A	ICCS0101	PER_CNV	M	P_HTHAB	ES					0.32 	0.36 	0.90 	0.95 	0.71 	0.75 	0.64 	0.80 	0.82 	0.68 	0.72 	0.84 
A	ICCS0101	PER_CNV	M	P_HTHAB	EU_V								1.87 	1.54 	1.80 	1.81 	1.76 	1.61 	1.79 	2.02 	1.78 
A	ICCS0101	PER_CNV	M	P_HTHAB	FI	3.31 	2.26 	2.55 	2.62 	2.41 	1.99 	2.50 	1.75 	1.85 	1.62 	1.25 	1.69 	1.80 	1.68 	1.60 	1.56 
A	ICCS0101	PER_CNV	M	P_HTHAB	FR	1.88 	1.79 	1.84 	1.44 	0.86 	0.84 	0.77 	0.80 	0.86 	0.85 	0.80 	0.90 	0.79 	0.90 	0.93 	0.74 
A	ICCS0101	PER_CNV	M	P_HTHAB	HR	2.02 	2.17 	1.49 	1.98 	1.99 	2.14 	2.20 	1.47 	3.02 	2.69 	2.62 	3.45 	2.59 	3.00 	3.81 	3.71 
A	ICCS0101	PER_CNV	M	P_HTHAB	HU	2.29 	3.28 	2.52 	1.92 	2.62 	2.14 	2.66 	1.38 	1.96 	1.43 	1.58 	1.56 	0.79 	0.88 	1.25 	1.06 
A	ICCS0101	PER_CNV	M	P_HTHAB	IS						0.62 		1.21 	0.60 				0.00 	1.59 	0.00 	1.00 
A	ICCS0101	PER_CNV	M	P_HTHAB	IT	2.11 	2.02 	1.97 	1.52 	1.67 	1.78 	1.99 	1.66 	1.98 	1.92 	2.20 					
A	ICCS0101	PER_CNV	M	P_HTHAB	LT	17.01 	13.64 	15.24 	14.14 	11.93 	11.03 	13.05 	8.91 	10.00 	10.29 	7.55 	6.56 	4.29 	5.33 	5.43 	3.44 
A	ICCS0101	PER_CNV	M	P_HTHAB	LU									0.00 		0.00 	0.32 	0.00 	1.25 	3.38 	1.50 
A	ICCS0101	PER_CNV	M	P_HTHAB	LV	9.63 	7.45 	6.69 	6.01 	8.24 	9.28 	11.89 	11.63 	10.39 	10.94 	10.12 	8.25 	7.04 	7.43 	9.67 	6.76 
A	ICCS0101	PER_CNV	M	P_HTHAB	ME		9.21 	1.31 	1.96 	1.96 	10.10 	5.86 	4.55 	3.25 	3.90 	1.95 	2.60 	2.60 	2.28 	0.98 	1.64 
A	ICCS0101	PER_CNV	M	P_HTHAB	MK	3.12 	5.06 	3.11 	3.59 	3.49 	3.00 	3.77 							1.64 	2.31 	2.98 
A	ICCS0101	PER_CNV	M	P_HTHAB	MT	0.49 	1.95 	1.45 	1.45 	0.96 	0.95 	0.00 	1.40 	0.46 	0.43 	2.91 	2.78 	0.75 	0.37 	0.37 	0.70 
A	ICCS0101	PER_CNV	M	P_HTHAB	NL						7.73 	6.52 	5.83 	5.25 	5.96 	6.24 	6.30 	6.58 	7.30 	7.82 	8.47 
A	ICCS0101	PER_CNV	M	P_HTHAB	NO	0.72 	0.96 	1.11 	0.89 	0.96 	0.87 	0.93 	0.65 	0.91 	1.06 	0.82 	0.60 	0.85 	0.85 	0.73 	0.51 
A	ICCS0101	PER_CNV	M	P_HTHAB	PL												1.65 				
A	ICCS0101	PER_CNV	M	P_HTHAB	PT	2.23 	2.94 	2.25 	2.53 	2.52 	2.30 	2.14 	1.95 	1.75 	1.17 	1.40 	1.15 	1.56 	1.27 	1.20 	1.49 
A	ICCS0101	PER_CNV	M	P_HTHAB	RO	6.59 	7.05 	7.99 	8.99 	7.87 	7.92 	8.48 	8.09 		7.45 	6.74 	6.77 	5.04 	4.67 	5.29 	5.14 
A	ICCS0101	PER_CNV	M	P_HTHAB	RS						3.32 	3.74 	2.25 	2.79 	2.48 	1.88 	2.12 	1.96 	2.87 	1.15 	2.29 
A	ICCS0101	PER_CNV	M	P_HTHAB	SE	3.02 	2.95 	3.20 	2.64 	2.56 	2.73 	2.68 	3.00 	3.16 	2.55 	3.17 	3.46 	3.73 	4.35 	3.86 	5.59 
A	ICCS0101	PER_CNV	M	P_HTHAB	SI	2.74 	1.99 	1.48 	2.56 	2.16 	3.53 	3.23 	1.96 	1.76 	1.95 	3.21 	1.44 	1.43 	1.70 	1.13 	1.88 
A	ICCS0101	PER_CNV	M	P_HTHAB	SK	1.72 	1.57 	2.25 	1.45 	1.48 	1.37 	1.52 	1.02 	1.10 	1.02 	1.20 	1.05 	1.31 	1.58 	1.35 	1.02 
A	ICCS0101	PER_CNV	M	P_HTHAB	TR		40.42 	42.21 	40.00 	46.04 	18.36 	15.97 	16.23 	14.10 	12.68 	16.06 	16.88 	13.55 	17.42 	17.59 	17.73 
A	ICCS0101	PER_CNV	M	P_HTHAB	UKC-L	1.55 	1.32 	1.20 	1.16 	1.17 	1.05 	1.14 	0.89 	0.94 							
A	ICCS0101	PER_CNV	M	P_HTHAB	UKM	2.23 	1.90 	1.69 	1.91 	1.79 	1.67 	1.16 	0.96 	0.99 	1.03 						
A	ICCS0101	PER_CNV	M	P_HTHAB	UKN	1.15 	1.60 	1.59 	1.24 	0.90 	1.45 	0.78 	0.55 	0.77 							
A	ICCS0101	PER_CNV	M	P_HTHAB	XK	4.97 	6.63 	6.55 	9.51 					7.47 		13.17 	10.84 				
A	ICCS0101	PER_CNV	T	NR	AL	96 					56 	175 	168 	135 	95 	114 	73 	62 	96 	96 	75 
