freq	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	CRT_ACQT	P_HTHAB	FI	64.22 	59.42 	56.19 	58.53 	59.41 	59.37 	55.99 	52.52 	50.33 	50.82 	52.69 	51.09 	44.00 	54.39 	54.41 	59.20 
A	CRT_ACQT	P_HTHAB	FR	41.77 	42.09 	49.64 	57.43 	39.86 	40.36 	38.24 	37.14 	55.25 	39.02 	37.22 	40.96 	30.74 	42.40 	41.11 	42.13 
A	CRT_ACQT	P_HTHAB	HR	203.60 	200.91 	203.89 	188.56 	145.60 	137.77 	76.83 	64.33 	60.47 	58.30 	55.75 	55.59 	49.55 	54.95 	59.68 	48.79 
A	CRT_ACQT	P_HTHAB	HU	79.06 	67.96 	72.26 	67.53 	97.62 	61.17 	57.05 	26.43 	24.30 	20.76 	18.61 	16.60 	8.92 	11.10 	10.50 	8.58 
A	CRT_ACQT	P_HTHAB	IE		3.76 	4.20 	11.53 	2.73 	9.58 	13.25 	10.93 								
A	CRT_ACQT	P_HTHAB	LT	9.40 	9.55 	12.41 	15.99 	20.04 	25.54 	26.19 	24.75 	18.73 	13.20 	16.27 	12.10 	9.05 	8.30 	11.15 	8.89 
A	CRT_ACQT	P_HTHAB	LV	4.52 	5.92 	5.66 	6.65 	6.02 	3.90 	3.95 	4.93 	4.47 	4.97 	4.24 	3.07 	3.30 	3.06 	2.83 	2.60 
A	CRT_ACQT	P_HTHAB	ME			12.12 	18.71 	29.50 	70.06 	46.82 	45.49 	59.30 	31.65 	33.26 	27.64 	21.07 	19.65 	22.18 	23.03 
A	CRT_ACQT	P_HTHAB	NL	57.64 	56.67 	55.43 	55.94 	54.96 	59.24 	61.80 	69.51 	58.81 	52.33 	46.27 	39.34 	28.92 	34.53 	30.81 	29.78 
A	CRT_ACQT	P_HTHAB	PL	32.78 	31.29 	29.56 	29.19 	28.96 	27.83 	25.74 	26.25 	24.58 	23.67 	22.18 	19.62 	15.03 	21.34 	21.30 	20.50 
A	CRT_ACQT	P_HTHAB	PT	216.21 	202.12 	211.63 	207.27 	205.51 	192.96 	147.26 	172.90 	166.56 	147.42 	124.18 	121.79 	92.60 	116.42 	123.40 	107.72 
A	CRT_ACQT	P_HTHAB	RO	3.85 	4.00 	5.82 	5.40 	4.85 	4.26 	6.98 	5.90 	4.05 	5.07 	6.47 	6.69 	4.14 		6.53 	5.78 
A	CRT_ACQT	P_HTHAB	RS	156.15 	137.52 	92.30 	130.76 	151.64 	196.55 	189.41 	132.83 	106.81 	90.22 	81.37 	65.68 	63.71 	68.81 	67.84 	69.19 
A	CRT_ACQT	P_HTHAB	SE	61.82 	60.01 	66.27 	70.00 	65.45 	60.22 	52.85 	51.69 	46.82 	42.24 	42.64 	43.16 	44.91 	51.82 	47.91 	48.89 
A	CRT_ACQT	P_HTHAB	SI	343.88 	393.09 	383.88 	329.43 	350.28 	323.15 	210.76 	248.59 	226.24 	207.22 	205.87 	205.34 	139.61 	180.89 	183.14 	170.38 
A	CRT_ACQT	P_HTHAB	SK	30.99 	31.97 	35.75 	34.77 	34.40 	33.04 	32.70 	29.13 	26.67 	25.24 	22.84 	22.00 	14.99 	12.38 	17.57 	14.90 
A	CRT_ACQT	P_HTHAB	TR		886.78 	924.25 	1007.59 	1270.18 	758.26 	698.46 	670.84 	548.12 	475.77 	547.00 	581.27 	410.91 	582.67 	550.57 	516.50 
