freq	leg_stat	sex	unit	geo	2022 	2023 
A	ADM	CRT_PEN	P_HTHAB	RO	372.32 	407.52 
A	ADM	CRT_PEN	P_HTHAB	SE	442.14 	361.48 
A	ADM	CRT_PEN	P_HTHAB	SI	187.26 	196.84 
A	ADM	CRT_PEN	P_HTHAB	SK	156.42 	178.75 
A	ADM	CRT_RESL	NR	AT	56023 	50758 
A	ADM	CRT_RESL	NR	BE	19151 	19783 
A	ADM	CRT_RESL	NR	BG	28442 	29501 
A	ADM	CRT_RESL	NR	CY	10176 	11384 
A	ADM	CRT_RESL	NR	CZ	9729 	8848 
A	ADM	CRT_RESL	NR	DE	560975 	544561 
A	ADM	CRT_RESL	NR	DK		
A	ADM	CRT_RESL	NR	EE	2736 	2923 
A	ADM	CRT_RESL	NR	EL	66635 	61780 
A	ADM	CRT_RESL	NR	ES	178091 	167037 
A	ADM	CRT_RESL	NR	FI	22094 	22366 
A	ADM	CRT_RESL	NR	FR	232332 	243089 
A	ADM	CRT_RESL	NR	HR	13589 	13918 
A	ADM	CRT_RESL	NR	HU	19226 	19601 
A	ADM	CRT_RESL	NR	IT	68917 	60916 
A	ADM	CRT_RESL	NR	LT	23006 	22453 
A	ADM	CRT_RESL	NR	LU	1054 	1181 
A	ADM	CRT_RESL	NR	LV	2008 	1709 
A	ADM	CRT_RESL	NR	MT	134 	116 
A	ADM	CRT_RESL	NR	NL	91969 	108906 
A	ADM	CRT_RESL	NR	PL	76713 	76855 
A	ADM	CRT_RESL	NR	PT	27051 	30669 
A	ADM	CRT_RESL	NR	RO	80633 	73273 
A	ADM	CRT_RESL	NR	SE	157642 	167765 
A	ADM	CRT_RESL	NR	SI	2669 	2427 
A	ADM	CRT_RESL	NR	SK	4790 	3407 
A	ADM	CRT_RESL	P_HTHAB	AT	623.94 	557.49 
A	ADM	CRT_RESL	P_HTHAB	BE	164.84 	168.47 
A	ADM	CRT_RESL	P_HTHAB	BG	415.88 	457.54 
A	ADM	CRT_RESL	P_HTHAB	CY	1124.79 	1199.47 
A	ADM	CRT_RESL	P_HTHAB	CZ	92.51 	81.72 
A	ADM	CRT_RESL	P_HTHAB	DE	673.95 	655.16 
A	ADM	CRT_RESL	P_HTHAB	DK		
A	ADM	CRT_RESL	P_HTHAB	EE	205.44 	214.00 
A	ADM	CRT_RESL	P_HTHAB	EL	637.06 	593.24 
A	ADM	CRT_RESL	P_HTHAB	ES	375.46 	347.38 
A	ADM	CRT_RESL	P_HTHAB	FI	398.22 	401.98 
A	ADM	CRT_RESL	P_HTHAB	FR	342.31 	356.03 
A	ADM	CRT_RESL	P_HTHAB	HR	351.84 	361.42 
A	ADM	CRT_RESL	P_HTHAB	HU	198.43 	204.18 
A	ADM	CRT_RESL	P_HTHAB	IT	116.75 	103.25 
A	ADM	CRT_RESL	P_HTHAB	LT	819.89 	785.82 
A	ADM	CRT_RESL	P_HTHAB	LU	163.31 	178.72 
A	ADM	CRT_RESL	P_HTHAB	LV	107.05 	90.76 
A	ADM	CRT_RESL	P_HTHAB	MT	25.72 	21.40 
A	ADM	CRT_RESL	P_HTHAB	NL	522.83 	611.44 
A	ADM	CRT_RESL	P_HTHAB	PL	203.73 	209.11 
A	ADM	CRT_RESL	P_HTHAB	PT	261.31 	291.62 
A	ADM	CRT_RESL	P_HTHAB	RO	423.44 	384.54 
A	ADM	CRT_RESL	P_HTHAB	SE	1508.20 	1594.49 
A	ADM	CRT_RESL	P_HTHAB	SI	126.66 	114.64 
A	ADM	CRT_RESL	P_HTHAB	SK	88.14 	62.76 
A	CIV_COM_LITIG	CRT_BGHT	NR	AT	72872 	80628 
A	CIV_COM_LITIG	CRT_BGHT	NR	BE	669454 	681517 
A	CIV_COM_LITIG	CRT_BGHT	NR	BG		129124 
A	CIV_COM_LITIG	CRT_BGHT	NR	CZ	313501 	340690 
A	CIV_COM_LITIG	CRT_BGHT	NR	DE	1001693 	1074315 
A	CIV_COM_LITIG	CRT_BGHT	NR	DK	47020 	54486 
A	CIV_COM_LITIG	CRT_BGHT	NR	EE	16739 	17665 
A	CIV_COM_LITIG	CRT_BGHT	NR	EL	140011 	143045 
A	CIV_COM_LITIG	CRT_BGHT	NR	ES	1372020 	1519906 
A	CIV_COM_LITIG	CRT_BGHT	NR	FI	8048 	9798 
A	CIV_COM_LITIG	CRT_BGHT	NR	FR	1346826 	1461353 
A	CIV_COM_LITIG	CRT_BGHT	NR	HR	97317 	105751 
A	CIV_COM_LITIG	CRT_BGHT	NR	HU	119747 	124436 
A	CIV_COM_LITIG	CRT_BGHT	NR	IE	102921 	113457 
A	CIV_COM_LITIG	CRT_BGHT	NR	IT	1313157 	1270574 
A	CIV_COM_LITIG	CRT_BGHT	NR	LT	87823 	83997 
A	CIV_COM_LITIG	CRT_BGHT	NR	LU	6808 	6761 
A	CIV_COM_LITIG	CRT_BGHT	NR	LV	29977 	30050 
A	CIV_COM_LITIG	CRT_BGHT	NR	MT	10457 	10660 
A	CIV_COM_LITIG	CRT_BGHT	NR	PL	886821 	978903 
A	CIV_COM_LITIG	CRT_BGHT	NR	PT	262708 	263831 
A	CIV_COM_LITIG	CRT_BGHT	NR	RO	1332192 	1495992 
A	CIV_COM_LITIG	CRT_BGHT	NR	SE	60817 	67827 
A	CIV_COM_LITIG	CRT_BGHT	NR	SI	29285 	28710 
A	CIV_COM_LITIG	CRT_BGHT	NR	SK	99685 	90807 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	AT	811.59 	885.56 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	BE	5762.40 	5803.70 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	BG		2002.63 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	CZ	2980.98 	3146.52 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	DE	1203.42 	1292.51 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	DK	800.56 	918.41 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	EE	1256.87 	1293.30 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	EL	1338.57 	1373.59 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	ES	2892.55 	3160.85 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	FI	145.05 	176.10 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	FR	1984.36 	2140.32 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	HR	2519.66 	2746.14 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	HU	1235.91 	1296.24 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	IE	2034.01 	2152.31 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	IT	2224.55 	2153.62 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	LT	3129.83 	2939.75 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	LU	1054.85 	1023.14 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	LV	1598.13 	1595.85 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	MT	2007.21 	1966.60 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	PL	2355.17 	2663.41 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	PT	2537.74 	2508.71 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	RO	6995.90 	7851.10 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	SE	581.85 	644.65 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	SI	1389.77 	1356.18 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	SK	1834.23 	1672.69 
A	CIV_COM_LITIG	CRT_PEN	NR	AT	28408 	30343 
A	CIV_COM_LITIG	CRT_PEN	NR	BE		451034 
A	CIV_COM_LITIG	CRT_PEN	NR	BG		67271 
A	CIV_COM_LITIG	CRT_PEN	NR	CZ	117684 	118658 
A	CIV_COM_LITIG	CRT_PEN	NR	DE	684818 	712976 
A	CIV_COM_LITIG	CRT_PEN	NR	DK	31979 	36586 
A	CIV_COM_LITIG	CRT_PEN	NR	EE	7146 	8657 
A	CIV_COM_LITIG	CRT_PEN	NR	EL	265990 	277588 
A	CIV_COM_LITIG	CRT_PEN	NR	ES	1323049 	1555495 
A	CIV_COM_LITIG	CRT_PEN	NR	FI	7248 	8368 
A	CIV_COM_LITIG	CRT_PEN	NR	FR	1258249 	1361614 
A	CIV_COM_LITIG	CRT_PEN	NR	HR	158445 	158947 
A	CIV_COM_LITIG	CRT_PEN	NR	HU	45928 	45900 
A	CIV_COM_LITIG	CRT_PEN	NR	IT	2027478 	1957629 
A	CIV_COM_LITIG	CRT_PEN	NR	LT	27688 	27642 
A	CIV_COM_LITIG	CRT_PEN	NR	LU	3328 	3802 
A	CIV_COM_LITIG	CRT_PEN	NR	LV	17010 	16827 
A	CIV_COM_LITIG	CRT_PEN	NR	MT	12260 	12607 
A	CIV_COM_LITIG	CRT_PEN	NR	PL	863215 	911474 
A	CIV_COM_LITIG	CRT_PEN	NR	PT	176256 	185895 
A	CIV_COM_LITIG	CRT_PEN	NR	RO	563035 	769823 
A	CIV_COM_LITIG	CRT_PEN	NR	SE	25773 	28111 
A	CIV_COM_LITIG	CRT_PEN	NR	SI	27684 	27372 
A	CIV_COM_LITIG	CRT_PEN	NR	SK	49427 	45100 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	AT	316.39 	333.26 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	BE		3840.94 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	BG		1043.33 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	CZ	1119.02 	1095.89 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	DE	822.73 	857.78 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	DK	544.47 	616.69 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	EE	536.57 	633.80 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	EL	2542.98 	2665.53 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	ES	2789.31 	3234.86 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	FI	130.64 	150.40 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	FR	1853.86 	1994.24 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	HR	4102.34 	4127.54 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	HU	474.02 	478.14 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	IT	3434.65 	3318.17 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	LT	986.74 	967.42 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	LU	515.65 	575.36 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	LV	906.83 	893.62 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	MT	2353.30 	2325.80 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	PL	2292.48 	2479.95 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	PT	1702.62 	1767.63 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	RO	2956.74 	4040.10 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	SE	246.58 	267.18 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	SI	1313.79 	1292.98 
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	SK	909.47 	830.76 
A	CIV_COM_LITIG	CRT_RESL	NR	AT	73270 	78693 
A	CIV_COM_LITIG	CRT_RESL	NR	BE	685134 	669324 
A	CIV_COM_LITIG	CRT_RESL	NR	BG		131762 
A	CIV_COM_LITIG	CRT_RESL	NR	CZ	320347 	345003 
A	CIV_COM_LITIG	CRT_RESL	NR	DE	1037598 	1046066 
A	CIV_COM_LITIG	CRT_RESL	NR	DK	43556 	50453 
A	CIV_COM_LITIG	CRT_RESL	NR	EE	16509 	16159 
A	CIV_COM_LITIG	CRT_RESL	NR	EL	130171 	131447 
A	CIV_COM_LITIG	CRT_RESL	NR	ES	1343849 	1278752 
A	CIV_COM_LITIG	CRT_RESL	NR	FI	8086 	8749 
A	CIV_COM_LITIG	CRT_RESL	NR	FR	1380745 	1402464 
A	CIV_COM_LITIG	CRT_RESL	NR	HR	141052 	108911 
A	CIV_COM_LITIG	CRT_RESL	NR	HU	124822 	124464 
A	CIV_COM_LITIG	CRT_RESL	NR	IE	72937 	81902 
A	CIV_COM_LITIG	CRT_RESL	NR	IT	1371212 	1397862 
