freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_RESL,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	650.98 	515.28 	393.28 	310.58 	291.78 	566.37 	424.53 	379.29 	: 
A,ADM,CRT_RESL,P_HTHAB,BA	100.13 	204.37 	231.42 	300.40 	302.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,P_HTHAB,BG	: 	: 	: 	382.28 	361.15 	394.36 	344.41 	363.72 	365.08 	417.72 	440.34 	488.94 	422.76 	418.50 	409.51 
A,ADM,CRT_RESL,P_HTHAB,CH	202.00 	: 	271.42 	: 	320.68 	: 	: 	: 	109.86 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,P_HTHAB,CZ	: 	: 	: 	59.52 	83.35 	83.57 	78.49 	79.97 	91.31 	95.60 	98.44 	106.42 	105.43 	103.38 	92.51 
A,ADM,CRT_RESL,P_HTHAB,DE	166.58 	155.37 	152.07 	154.83 	166.10 	181.66 	159.35 	181.40 	199.77 	246.51 	266.69 	250.73 	223.67 	206.57 	201.35 
A,ADM,CRT_RESL,P_HTHAB,EE	182.08 	203.86 	243.23 	237.88 	227.36 	203.53 	260.07 	267.94 	237.32 	225.52 	187.77 	180.25 	190.45 	210.14 	205.44 
A,ADM,CRT_RESL,P_HTHAB,EL	: 	: 	: 	: 	: 	883.52 	928.61 	916.47 	740.67 	916.57 	918.16 	741.66 	685.96 	567.75 	630.89 
A,ADM,CRT_RESL,P_HTHAB,ES	505.35 	526.75 	542.82 	524.12 	520.56 	485.73 	441.92 	431.38 	396.30 	370.79 	368.02 	392.10 	325.91 	383.63 	375.46 
A,ADM,CRT_RESL,P_HTHAB,FI	422.06 	403.56 	427.08 	406.49 	381.13 	372.00 	364.12 	362.75 	432.78 	412.53 	385.23 	361.39 	339.46 	402.56 	399.91 
A,ADM,CRT_RESL,P_HTHAB,FR	: 	: 	: 	270.95 	305.64 	294.00 	304.13 	298.30 	45.93 	286.93 	312.74 	332.30 	297.70 	344.76 	342.31 
A,ADM,CRT_RESL,P_HTHAB,HR	344.32 	352.29 	362.92 	378.92 	115.44 	208.46 	281.84 	314.53 	373.97 	359.71 	379.27 	347.82 	322.76 	338.05 	351.84 
A,ADM,CRT_RESL,P_HTHAB,HU	127.76 	127.36 	137.07 	140.00 	136.92 	170.43 	168.00 	193.87 	198.76 	176.25 	178.02 	172.36 	267.50 	228.08 	198.43 
A,ADM,CRT_RESL,P_HTHAB,IT	148.95 	164.18 	307.19 	208.75 	245.73 	179.45 	163.15 	144.08 	138.03 	125.20 	112.62 	111.48 	96.16 	101.20 	116.75 
A,ADM,CRT_RESL,P_HTHAB,LT	204.63 	139.27 	204.04 	193.64 	263.48 	394.63 	433.60 	577.66 	745.70 	464.24 	464.52 	534.29 	500.84 	567.80 	819.89 
A,ADM,CRT_RESL,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	233.41 	203.57 	200.61 	193.68 	177.91 	178.37 	152.85 	156.60 	163.31 
A,ADM,CRT_RESL,P_HTHAB,LV	179.67 	172.64 	214.38 	224.28 	255.48 	229.27 	171.87 	127.94 	115.95 	107.89 	101.32 	102.66 	95.14 	93.12 	107.00 
A,ADM,CRT_RESL,P_HTHAB,ME	308.35 	425.01 	613.08 	585.95 	477.67 	540.67 	525.49 	522.42 	663.75 	756.60 	1518.58 	1094.21 	1131.90 	977.06 	855.94 
A,ADM,CRT_RESL,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.85 	18.29 	31.81 	26.62 	20.34 	25.72 
A,ADM,CRT_RESL,P_HTHAB,NL	443.84 	427.76 	446.39 	463.00 	444.22 	462.57 	478.66 	468.73 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,P_HTHAB,PL	154.08 	156.02 	168.64 	172.61 	188.80 	198.88 	213.69 	214.06 	208.05 	204.27 	182.52 	182.34 	171.38 	211.50 	201.78 
A,ADM,CRT_RESL,P_HTHAB,PT	: 	: 	: 	: 	: 	: 	: 	267.06 	286.60 	257.23 	263.37 	282.88 	726.85 	264.09 	261.31 
A,ADM,CRT_RESL,P_HTHAB,RO	252.57 	318.87 	331.33 	563.74 	960.96 	1077.26 	841.71 	647.28 	544.14 	760.01 	505.94 	427.74 	396.37 	435.24 	423.44 
A,ADM,CRT_RESL,P_HTHAB,RS	: 	: 	: 	: 	: 	254.50 	281.93 	262.58 	272.37 	272.43 	266.60 	305.65 	342.67 	321.67 	370.42 
A,ADM,CRT_RESL,P_HTHAB,SE	1386.34 	1295.15 	1273.96 	1454.58 	1449.49 	1384.73 	1418.43 	1363.99 	1364.95 	1469.58 	1600.02 	1760.54 	1899.86 	1772.85 	1508.21 
A,ADM,CRT_RESL,P_HTHAB,SI	245.29 	237.90 	200.10 	171.64 	178.40 	164.46 	166.85 	145.62 	125.42 	129.82 	156.42 	134.22 	147.34 	123.47 	126.66 
A,ADM,CRT_RESL,P_HTHAB,SK	4.95 	4.85 	7.44 	5.54 	4.79 	3.66 	6.22 	3.26 	3.28 	109.47 	89.40 	82.49 	80.62 	80.20 	88.14 
A,ADM,CRT_RESL,P_HTHAB,TR	: 	497.05 	533.18 	563.83 	543.05 	548.27 	566.26 	533.68 	551.35 	440.29 	400.05 	398.79 	405.43 	462.78 	456.47 
A,ADM,CRT_RESL,P_HTHAB,UKC-L	1045.29 	1182.52 	1284.08 	1382.97 	1318.97 	1643.00 	1388.88 	702.63 	739.00 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,P_HTHAB,UKN	526.84 	580.73 	601.55 	497.14 	482.92 	418.03 	421.43 	400.57 	: 	402.38 	357.95 	: 	: 	: 	: 
A,ADM,CRT_RESL,P_HTHAB,XK	107.19 	60.81 	45.65 	66.55 	: 	: 	: 	: 	135.70 	127.16 	123.38 	163.11 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,AL	: 	: 	: 	: 	: 	35587 	47733 	49328 	50101 	63337 	47705 	52818 	33593 	51987 	: 
A,CIV_COM,CRT_BGHT,NR,AT	: 	654845 	639396 	599601 	567222 	553941 	535966 	506260 	501191 	484821 	486272 	492899 	417466 	406763 	414231 
A,CIV_COM,CRT_BGHT,NR,BA	87818 	110687 	103305 	89551 	106561 	104106 	86752 	82101 	78513 	68862 	61990 	65476 	56864 	64785 	67776 
A,CIV_COM,CRT_BGHT,NR,BE	: 	: 	823076 	827854 	805153 	804280 	790684 	804507 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,BG	: 	: 	: 	378043 	353134 	316623 	286459 	308040 	303442 	350375 	334003 	328048 	268596 	301902 	274994 
A,CIV_COM,CRT_BGHT,NR,CH	92688 	: 	199672 	: 	313832 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,CZ	: 	: 	: 	2929324 	2312818 	2215269 	2231184 	906860 	823013 	839789 	786255 	793928 	777400 	752254 	781444 
A,CIV_COM,CRT_BGHT,NR,DE	1835106 	1618243 	1905391 	1868005 	1806149 	1788728 	1735914 	1747836 	1603998 	1512723 	1491062 	1497271 	1402770 	1287083 	1234719 
A,CIV_COM,CRT_BGHT,NR,DK	64444 	68239 	67624 	58741 	50649 	48565 	45978 	45773 	45368 	44509 	45657 	52931 	44808 	43099 	46645 
A,CIV_COM,CRT_BGHT,NR,EE	: 	29522 	32720 	29575 	26276 	27890 	27842 	30703 	30452 	30179 	29246 	32668 	33658 	34251 	35089 
A,CIV_COM,CRT_BGHT,NR,EL	: 	: 	: 	: 	: 	294435 	241418 	230518 	146569 	200492 	213468 	206387 	174402 	208080 	206116 
A,CIV_COM,CRT_BGHT,NR,ES	1496646 	1802455 	1765845 	1538285 	1581777 	1517458 	1638447 	1714533 	1807488 	1987125 	2158062 	2320793 	2184764 	2488414 	2651103 
A,CIV_COM,CRT_BGHT,NR,FI	273206 	354478 	341133 	377605 	470478 	447253 	412299 	414711 	412449 	468471 	475255 	497482 	443106 	467735 	437090 
A,CIV_COM,CRT_BGHT,NR,FR	: 	: 	: 	2267016 	2410327 	2496776 	2473406 	2472817 	2677253 	2534819 	2255091 	1633842 	1303320 	1690979 	1677224 
A,CIV_COM,CRT_BGHT,NR,HR	137508 	136398 	624633 	639543 	620394 	599686 	486680 	439738 	459716 	430702 	373506 	467187 	381647 	431714 	384679 
A,CIV_COM,CRT_BGHT,NR,HU	192821 	197666 	204318 	194038 	172992 	247811 	246696 	244960 	262081 	244492 	200295 	200432 	189875 	193270 	201735 
A,CIV_COM,CRT_BGHT,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14849 	15590 	17111 	: 	: 
A,CIV_COM,CRT_BGHT,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	6195 	6289 	: 	5701 	4291 	4072 
A,CIV_COM,CRT_BGHT,NR,IT	4603126 	4839466 	4255714 	4245947 	4106381 	3981884 	3987733 	3535559 	3664595 	3478323 	3527866 	3451390 	2680582 	3034949 	3098907 
A,CIV_COM,CRT_BGHT,NR,LI	: 	408 	367 	428 	479 	553 	447 	477 	492 	629 	406 	415 	358 	357 	: 
A,CIV_COM,CRT_BGHT,NR,LT	185878 	236556 	201585 	184518 	180921 	185150 	198639 	206127 	206498 	194497 	170891 	159655 	150647 	144919 	149650 
A,CIV_COM,CRT_BGHT,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	4604 	4087 	12752 	12244 	12004 	10832 
A,CIV_COM,CRT_BGHT,NR,LV	104362 	135059 	124904 	88420 	44536 	43203 	44934 	40672 	42787 	33659 	70131 	72707 	87903 	104453 	116514 
A,CIV_COM,CRT_BGHT,NR,ME	14680 	18725 	20168 	19710 	17932 	19956 	28049 	39887 	39639 	35069 	32804 	31358 	24179 	26612 	27923 
A,CIV_COM,CRT_BGHT,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2102 	4589 	4846 	4459 	6656 	9154 
A,CIV_COM,CRT_BGHT,NR,NL	: 	: 	1158200 	1124100 	1083600 	1067200 	1094900 	1103900 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,PL	6936314 	7496081 	8458650 	9212489 	9535773 	10406017 	9780247 	10478733 	10649683 	11497358 	10875485 	13357350 	10390099 	10397071 	10670683 
A,CIV_COM,CRT_BGHT,NR,PT	314467 	360325 	312768 	328626 	368981 	326766 	678477 	315115 	308851 	300921 	297151 	323224 	254531 	260806 	262708 
A,CIV_COM,CRT_BGHT,NR,RO	749429 	820311 	846144 	760326 	733369 	605608 	1261328 	1147372 	1098978 	1111755 	1086936 	1139611 	1020335 	1060259 	1161764 
A,CIV_COM,CRT_BGHT,NR,RS	: 	: 	: 	: 	: 	741097 	698337 	840436 	842192 	981510 	886686 	1008269 	820973 	1153502 	717957 
A,CIV_COM,CRT_BGHT,NR,SE	72446 	82462 	85790 	82744 	88214 	99850 	96543 	91412 	90003 	93058 	96336 	101079 	95355 	93277 	89902 
A,CIV_COM,CRT_BGHT,NR,SI	503450 	616524 	564519 	558351 	605167 	566638 	558991 	505685 	482981 	456928 	436816 	438915 	382647 	446368 	422100 
A,CIV_COM,CRT_BGHT,NR,SK	249974 	252625 	253861 	249188 	300649 	286467 	271710 	386257 	239230 	249445 	220571 	237776 	237107 	222698 	221271 
A,CIV_COM,CRT_BGHT,NR,TR	: 	1794572 	1877368 	1860865 	1692624 	1938187 	2127469 	2155467 	2202899 	1962485 	1987121 	2026507 	1880582 	2435844 	2735948 
A,CIV_COM,CRT_BGHT,NR,UKC-L	2064100 	1879430 	1693181 	1633486 	1508248 	1488873 	1633364 	1601613 	1838076 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,UKM	130040 	116216 	95996 	83856 	76046 	75769 	75417 	75142 	: 	76556 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,UKN	62957 	70709 	70026 	68653 	65975 	63192 	60022 	55611 	54091 	55791 	53495 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,NR,XK	1484 	1063 	1254 	1228 	1228 	766 	687 	630 	634 	641 	659 	832 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	1648.27 	1709.34 	1742.28 	2201.81 	1662.01 	1845.22 	1180.38 	1837.16 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,AT	: 	7856.57 	7655.93 	7159.27 	6746.12 	6554.07 	6300.38 	5903.04 	5767.39 	5526.37 	5511.87 	5563.96 	4690.07 	4553.66 	4613.37 
A,CIV_COM,CRT_BGHT,P_HTHAB,BA	2284.64 	2879.48 	2687.40 	2330.13 	2775.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,BE	: 	: 	7593.02 	7525.51 	7257.00 	7205.75 	7071.78 	7159.27 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,BG	: 	: 	: 	5129.88 	4819.48 	4346.50 	3953.52 	4277.03 	4241.70 	4933.57 	4737.61 	4686.37 	3863.87 	4364.92 	4021.01 
A,CIV_COM,CRT_BGHT,P_HTHAB,CH	1220.62 	: 	2564.56 	: 	3945.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,CZ	: 	: 	: 	27933.62 	22015.42 	21065.45 	21224.27 	8605.39 	7798.23 	7938.40 	7410.47 	7454.86 	7269.54 	7029.24 	7430.50 
A,CIV_COM,CRT_BGHT,P_HTHAB,DE	2232.00 	1973.41 	2329.26 	2328.54 	2248.47 	2221.37 	2149.27 	2152.57 	1951.91 	1833.12 	1800.97 	1803.52 	1686.70 	1547.81 	1483.38 
A,CIV_COM,CRT_BGHT,P_HTHAB,DK	1176.89 	1238.13 	1221.81 	1056.37 	907.60 	866.83 	817.06 	808.75 	794.92 	774.24 	789.75 	911.65 	769.53 	737.99 	794.17 
A,CIV_COM,CRT_BGHT,P_HTHAB,EE	: 	2210.16 	2454.08 	2224.25 	1982.77 	2112.60 	2115.94 	2335.06 	2314.08 	2293.87 	2217.06 	2465.84 	2532.63 	2575.13 	2634.71 
A,CIV_COM,CRT_BGHT,P_HTHAB,EL	: 	: 	: 	: 	: 	2675.80 	2209.41 	2123.02 	1359.17 	1861.89 	1987.38 	1924.43 	1627.10 	1948.56 	1970.56 
A,CIV_COM,CRT_BGHT,P_HTHAB,ES	3277.16 	3898.10 	3798.61 	3296.29 	3378.55 	3247.44 	3522.62 	3691.17 	3892.08 	4270.81 	4625.23 	4944.48 	4615.77 	5249.96 	5589.17 
A,CIV_COM,CRT_BGHT,P_HTHAB,FI	5154.36 	6655.22 	6374.62 	7024.85 	8710.51 	8241.75 	7563.36 	7579.13 	7516.42 	8512.55 	8620.42 	9015.75 	8019.59 	8452.34 	7877.99 
A,CIV_COM,CRT_BGHT,P_HTHAB,FR	: 	: 	: 	3488.86 	3692.46 	3806.04 	3750.88 	3719.18 	4017.58 	3794.08 	3364.49 	2432.12 	1936.00 	2499.35 	2471.16 
A,CIV_COM,CRT_BGHT,P_HTHAB,HR	3188.99 	3164.84 	14516.74 	14908.26 	14508.80 	14070.07 	11459.90 	10407.22 	10969.99 	10367.84 	9097.71 	11461.21 	9404.42 	10695.64 	9959.83 
A,CIV_COM,CRT_BGHT,P_HTHAB,HU	1919.50 	1970.56 	2040.26 	1943.15 	1741.78 	2500.92 	2497.59 	2485.50 	2666.00 	2495.44 	2048.35 	2050.93 	1943.54 	1986.17 	2082.10 
A,CIV_COM,CRT_BGHT,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	307.41 	317.89 	344.67 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1830.95 	1804.85 	: 	1565.63 	1163.53 	1082.26 
A,CIV_COM,CRT_BGHT,P_HTHAB,IT	7848.08 	8202.40 	7189.90 	7152.31 	6913.77 	6671.47 	6560.64 	5815.48 	6040.65 	5740.81 	5832.73 	5769.95 	4494.49 	5123.47 	5249.70 
A,CIV_COM,CRT_BGHT,P_HTHAB,LI	: 	1146.42 	1022.46 	1183.99 	1313.23 	1501.17 	1203.91 	1276.56 	1307.75 	1663.58 	1065.23 	1081.35 	923.94 	914.10 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,LT	5785.90 	7429.86 	6415.87 	6044.64 	6023.39 	6230.01 	6748.46 	7056.09 	7148.83 	6829.48 	6083.91 	5713.83 	5391.63 	5183.68 	5333.22 
A,CIV_COM,CRT_BGHT,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	779.46 	678.90 	2077.23 	1955.57 	1891.20 	1678.35 
A,CIV_COM,CRT_BGHT,P_HTHAB,LV	4761.45 	6244.54 	5890.30 	4262.02 	2178.00 	2134.72 	2245.05 	2047.84 	2173.08 	1726.00 	3625.50 	3786.89 	4607.86 	5517.21 	6211.57 
A,CIV_COM,CRT_BGHT,P_HTHAB,ME	2384.89 	3034.07 	3258.15 	3179.80 	2890.82 	3214.08 	4512.96 	6411.68 	6370.60 	5634.60 	5270.91 	5040.00 	3888.09 	4287.15 	4520.60 
A,CIV_COM,CRT_BGHT,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	456.66 	964.68 	981.85 	866.56 	1289.67 	1757.10 
A,CIV_COM,CRT_BGHT,P_HTHAB,NL	: 	: 	6987.64 	6749.00 	6476.85 	6360.11 	6505.92 	6531.67 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,PL	18198.08 	19656.24 	22246.22 	24203.44 	25052.08 	27339.26 	25725.40 	27571.54 	28049.69 	30277.75 	28637.27 	35176.09 	27372.52 	27476.40 	28338.59 
A,CIV_COM,CRT_BGHT,P_HTHAB,PT	2979.79 	3411.19 	2958.04 	3108.24 	3499.97 	3115.83 	6506.74 	3037.31 	2986.57 	2918.85 	2887.48 	3145.24 	2472.16 	2532.53 	2537.74 
A,CIV_COM,CRT_BGHT,P_HTHAB,RO	3631.75 	4013.21 	3942.49 	3550.63 	3649.33 	3025.00 	6323.30 	5774.21 	5561.54 	5659.41 	5565.29 	5869.91 	5278.82 	5521.70 	6100.92 
A,CIV_COM,CRT_BGHT,P_HTHAB,RS	: 	: 	: 	: 	: 	10319.52 	9771.38 	11813.18 	11901.47 	13941.36 	12664.33 	14478.79 	11852.29 	16786.64 	10562.69 
A,CIV_COM,CRT_BGHT,P_HTHAB,SE	788.92 	890.87 	918.46 	878.80 	930.25 	1044.90 	1000.98 	937.81 	913.64 	931.03 	951.91 	988.05 	923.30 	898.68 	860.11 
A,CIV_COM,CRT_BGHT,P_HTHAB,SI	25043.91 	30335.34 	27578.19 	27234.12 	29441.41 	27522.45 	27121.20 	24513.62 	23398.11 	22117.68 	21134.08 	21092.48 	18257.27 	21165.14 	20031.51 
A,CIV_COM,CRT_BGHT,P_HTHAB,SK	4649.76 	4693.54 	4709.49 	4621.06 	5563.12 	5294.32 	5016.85 	7124.74 	4408.75 	4589.31 	4052.29 	4362.53 	4344.31 	4078.88 	4071.44 
A,CIV_COM,CRT_BGHT,P_HTHAB,TR	: 	2509.29 	2587.29 	2524.13 	2265.16 	2562.81 	2774.92 	2774.24 	2797.65 	2458.80 	2458.99 	2471.23 	2261.54 	2913.19 	3230.92 
A,CIV_COM,CRT_BGHT,P_HTHAB,UKC-L	3779.34 	3414.71 	3052.72 	2920.46 	2675.62 	2623.17 	2856.71 	2777.13 	3161.06 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,UKM	2507.53 	2227.67 	1829.69 	1588.01 	1433.14 	1424.20 	1412.98 	1402.82 	: 	1413.85 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,UKN	3556.16 	3958.66 	3892.45 	3793.95 	3627.12 	3459.44 	3266.86 	3010.72 	2912.74 	2988.85 	2851.61 	: 	: 	: 	: 
A,CIV_COM,CRT_BGHT,P_HTHAB,XK	68.92 	48.75 	56.79 	68.44 	: 	: 	: 	: 	35.79 	35.94 	36.64 	46.33 	: 	: 	: 
A,CIV_COM,CRT_PEN,NR,AL	: 	: 	: 	: 	: 	4349 	12517 	8654 	8499 	7303 	7258 	12190 	11271 	17838 	: 
A,CIV_COM,CRT_PEN,NR,AT	: 	: 	: 	: 	: 	123822 	118862 	108141 	115483 	118112 	108281 	111917 	105346 	100148 	99758 
A,CIV_COM,CRT_PEN,NR,BA	162426 	181513 	168958 	148302 	147890 	148392 	127281 	111359 	97804 	82547 	68560 	63800 	63635 	63075 	66100 
A,CIV_COM,CRT_PEN,NR,BE	: 	: 	453783 	479109 	488021 	501041 	513192 	532140 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,NR,BG	: 	: 	: 	65334 	68107 	67272 	61371 	64741 	69661 	78462 	82436 	85454 	82767 	78410 	78072 
A,CIV_COM,CRT_PEN,NR,CH	41944 	66302 	66495 	281021 	286283 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,NR,CZ	: 	: 	: 	809257 	678068 	709696 	807986 	377761 	317152 	325731 	289864 	285378 	296934 	283173 	267744 
A,CIV_COM,CRT_PEN,NR,DE	920595 	917016 	983367 	953178 	918661 	899853 	879622 	850354 	781503 	754337 	757662 	759797 	755255 	699147 	689081 
A,CIV_COM,CRT_PEN,NR,DK	35780 	35702 	35012 	29148 	25466 	23368 	22380 	22026 	21619 	21055 	23833 	28042 	25333 	27466 	31531 
A,CIV_COM,CRT_PEN,NR,EE	: 	14495 	15219 	12632 	10436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,NR,EL	: 	: 	: 	: 	: 	278913 	246839 	264484 	242789 	252720 	282148 	308553 	293802 	322929 	331896 
A,CIV_COM,CRT_PEN,NR,ES	984076 	1220615 	1274483 	1109778 	1054224 	934196 	910190 	932869 	869407 	1274651 	1463427 	1605289 	1840623 	1794481 	1911376 
A,CIV_COM,CRT_PEN,NR,FI	54476 	72455 	67325 	68162 	91122 	72834 	106270 	112111 	113109 	133284 	106371 	134771 	112962 	102484 	110280 
A,CIV_COM,CRT_PEN,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	1543463 	1560817 	1553814 	1264713 	1280952 	1258255 
A,CIV_COM,CRT_PEN,NR,HR	197875 	192058 	353989 	380936 	353625 	337009 	301464 	284168 	258081 	242232 	202257 	267920 	257835 	285434 	237993 
A,CIV_COM,CRT_PEN,NR,HU	89662 	93866 	90633 	83845 	78381 	86757 	78808 	81614 	85308 	90067 	68237 	62366 	63078 	56577 	51871 
A,CIV_COM,CRT_PEN,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1153 	1098 
A,CIV_COM,CRT_PEN,NR,IT	4978423 	5346556 	5019626 	5055770 	4762023 	4501021 	4336994 	4032687 	3932612 	3795289 	3624595 	3523988 	3502448 	3341241 	3183259 
A,CIV_COM,CRT_PEN,NR,LI	: 	173 	207 	215 	277 	281 	282 	313 	273 	325 	307 	241 	240 	223 	: 
A,CIV_COM,CRT_PEN,NR,LT	27172 	34507 	30669 	28715 	27759 	29847 	31763 	29038 	29515 	27573 	23412 	21450 	20916 	19726 	20785 
A,CIV_COM,CRT_PEN,NR,LU	: 	: 	: 	: 	: 	: 	: 	1137 	: 	1306 	1256 	3664 	4162 	4196 	4344 
A,CIV_COM,CRT_PEN,NR,LV	37200 	36482 	41491 	41658 	33916 	30068 	30330 	14292 	16298 	18018 	23504 	22448 	26187 	25325 	27973 
A,CIV_COM,CRT_PEN,NR,ME	11753 	11436 	13940 	13929 	13400 	13500 	18757 	22416 	22704 	21832 	20293 	20349 	18321 	20209 	23179 
A,CIV_COM,CRT_PEN,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	5062 	5070 	5398 	6947 	9023 	12828 
A,CIV_COM,CRT_PEN,NR,PL	1091520 	991181 	990107 	1196927 	1132255 	1592641 	1382534 	1466634 	2263486 	2205497 	2284067 	3550714 	3113329 	2945271 	2676997 
A,CIV_COM,CRT_PEN,NR,PT	362897 	365109 	357762 	349140 	354601 	341791 	365873 	312066 	271666 	230642 	202367 	185103 	189877 	183914 	176256 
A,CIV_COM,CRT_PEN,NR,RO	273502 	330912 	391284 	362671 	375569 	382005 	590602 	431112 	413368 	414444 	400915 	403562 	428397 	425486 	461478 
A,CIV_COM,CRT_PEN,NR,RS	: 	: 	: 	: 	: 	2321264 	2262220 	2158918 	1291218 	1149502 	987551 	926073 	733833 	373495 	407103 
A,CIV_COM,CRT_PEN,NR,SE	36210 	39873 	40874 	39543 	41136 	50790 	47400 	43571 	43422 	44649 	47208 	49765 	46916 	43463 	42405 
A,CIV_COM,CRT_PEN,NR,SI	400279 	370426 	305378 	286055 	242935 	224152 	206598 	154273 	116478 	92129 	76766 	69340 	66719 	64786 	61439 
A,CIV_COM,CRT_PEN,NR,SK	199838 	190099 	186863 	190508 	226340 	254195 	265827 	315424 	235466 	146305 	104286 	92210 	89201 	83439 	76598 
A,CIV_COM,CRT_PEN,NR,TR	: 	1027741 	1105426 	1105082 	1090156 	1160285 	1236034 	1321946 	1553925 	1609223 	1651067 	1662720 	1787116 	1775816 	1948064 
A,CIV_COM,CRT_PEN,NR,XK	1329 	720 	680 	577 	771 	1067 	885 	1159 	1172 	1124 	1086 	1203 	: 	: 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	432.22 	299.88 	295.56 	253.88 	252.86 	425.86 	396.04 	630.38 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,AT	: 	: 	: 	: 	: 	1465.03 	1397.24 	1260.93 	1328.91 	1346.33 	1227.36 	1263.35 	1183.52 	1121.14 	1111.02 
A,CIV_COM,CRT_PEN,P_HTHAB,BA	4225.61 	4721.98 	4395.32 	3858.83 	3852.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,BE	: 	: 	4186.23 	4355.28 	4398.63 	4488.95 	4589.92 	4735.49 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,BG	: 	: 	: 	886.55 	929.51 	923.49 	847.00 	898.91 	973.76 	1104.81 	1169.30 	1220.76 	1190.64 	1133.66 	1141.58 
A,CIV_COM,CRT_PEN,P_HTHAB,CH	552.37 	860.86 	854.05 	3570.73 	3598.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,CZ	: 	: 	: 	7716.96 	6454.44 	6748.65 	7686.01 	3584.66 	3005.09 	3079.09 	2731.97 	2679.66 	2776.66 	2646.04 	2545.89 
A,CIV_COM,CRT_PEN,P_HTHAB,DE	1119.70 	1118.28 	1202.13 	1188.17 	1143.64 	1117.50 	1089.08 	1047.27 	951.01 	914.11 	915.14 	915.21 	908.12 	840.78 	827.85 
A,CIV_COM,CRT_PEN,P_HTHAB,DK	653.42 	647.78 	632.59 	524.19 	456.34 	417.09 	397.71 	389.17 	378.80 	366.25 	412.25 	482.98 	435.07 	470.30 	536.84 
A,CIV_COM,CRT_PEN,P_HTHAB,EE	: 	1085.17 	1141.46 	950.02 	787.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
