freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_BGHT,P_HTHAB,ES	561.89 	563.82 	530.10 	539.58 	414.09 	352.47 	387.27 	357.80 	349.24 	354.94 	375.09 	425.09 	327.42 	389.38 	387.65 
A,ADM,CRT_BGHT,P_HTHAB,FI	366.61 	401.33 	412.58 	374.81 	357.56 	358.56 	377.56 	370.30 	505.97 	394.51 	340.12 	362.46 	353.10 	395.86 	383.58 
A,ADM,CRT_BGHT,P_HTHAB,FR	: 	: 	: 	295.88 	287.28 	282.01 	314.98 	301.91 	46.98 	289.68 	317.83 	344.28 	312.71 	356.78 	355.36 
A,ADM,CRT_BGHT,P_HTHAB,HR	308.40 	342.50 	336.29 	315.16 	280.89 	324.09 	328.29 	339.36 	342.16 	284.43 	327.12 	319.75 	301.98 	332.18 	329.44 
A,ADM,CRT_BGHT,P_HTHAB,HU	128.70 	134.54 	143.39 	128.97 	126.81 	224.12 	182.32 	184.15 	199.28 	172.57 	175.08 	168.14 	299.44 	211.51 	201.79 
A,ADM,CRT_BGHT,P_HTHAB,IT	95.51 	93.34 	95.82 	93.38 	86.48 	91.99 	104.84 	101.53 	89.94 	80.14 	82.61 	85.05 	70.50 	81.21 	87.37 
A,ADM,CRT_BGHT,P_HTHAB,LT	146.39 	136.60 	244.46 	195.38 	268.61 	603.38 	485.01 	579.30 	516.42 	410.79 	530.42 	510.81 	532.91 	576.75 	832.68 
A,ADM,CRT_BGHT,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	249.60 	226.30 	200.61 	205.36 	206.98 	237.17 	174.89 	169.68 	178.34 
A,ADM,CRT_BGHT,P_HTHAB,LV	167.03 	188.92 	207.64 	226.69 	195.67 	139.54 	120.11 	119.23 	121.64 	107.89 	96.36 	97.50 	88.96 	100.62 	99.91 
A,ADM,CRT_BGHT,P_HTHAB,ME	326.38 	370.25 	603.07 	593.05 	548.11 	503.95 	579.71 	578.36 	753.92 	2045.19 	1464.11 	1043.42 	880.08 	1063.57 	2159.85 
A,ADM,CRT_BGHT,P_HTHAB,MT	: 	: 	: 	: 	: 	79.98 	27.97 	17.47 	20.72 	17.60 	29.64 	25.73 	25.07 	29.26 	27.06 
A,ADM,CRT_BGHT,P_HTHAB,PL	150.71 	154.98 	178.39 	173.45 	189.58 	214.47 	221.37 	219.78 	202.00 	190.73 	173.69 	184.94 	180.40 	227.97 	204.81 
A,ADM,CRT_BGHT,P_HTHAB,PT	: 	: 	: 	: 	: 	: 	: 	335.33 	258.11 	243.00 	237.40 	267.84 	671.76 	242.09 	233.89 
A,ADM,CRT_BGHT,P_HTHAB,RO	261.12 	278.76 	469.02 	747.19 	1211.24 	964.09 	456.08 	519.81 	593.93 	744.22 	428.76 	426.34 	408.80 	415.72 	438.17 
A,ADM,CRT_BGHT,P_HTHAB,RS	: 	: 	: 	: 	: 	297.93 	253.61 	280.50 	298.39 	305.10 	360.01 	323.63 	475.96 	562.67 	934.72 
