Country code;SR Code;SR label;SR level;Country order;#
IS;IS0;Ísland;1;1;1
IS;IS00;Ísland;2;1;2
IS;IS001;Höfuðborgarsvæði;3;1;3
IS;IS002;Landsbyggð;3;1;4
IS;ISZ;Extra-Regio level 1;1;1;5
IS;ISZZ;Extra-Regio level 2;2;1;6
IS;ISZZZ;Extra-Regio level 3;3;1;7
LI;LI0;Liechtenstein;1;2;8
LI;LI00;Liechtenstein;2;2;9
LI;LI000;Liechtenstein;3;2;10
LI;LIZ;Extra-Regio level 1;1;2;11
LI;LIZZ;Extra-Regio level 2;2;2;12
LI;LIZZZ;Extra-Regio level 3;3;2;13
NO;NO0;Norge;1;3;14
NO;NO02;Innlandet;2;3;15
NO;NO020;Innlandet;3;3;16
NO;NO06;Trøndelag/Trööndelage;2;3;17
NO;NO060;Trøndelag/Trööndelage;3;3;18
NO;NO07;Nord-Norge;2;3;19
NO;NO071;Nordland/Nordlánnda;3;3;20
NO;NO072;Troms/Romsa/Tromssa;3;3;21
NO;NO073;Finnmark/Finnmárku/Finmarkku;3;3;22
NO;NO08;Oslo og Viken;2;3;23
NO;NO081;Oslo;3;3;24
NO;NO083;Østfold;3;3;25
NO;NO084;Akershus;3;3;26
NO;NO085;Buskerud;3;3;27
NO;NO09;Agder og Sør-Østlandet;2;3;28
NO;NO092;Agder;3;3;29
NO;NO093;Vestfold;3;3;30
NO;NO094;Telemark;3;3;31
NO;NO0A;Vestlandet;2;3;32
NO;NO0A1;Rogaland;3;3;33
NO;NO0A2;Vestland;3;3;34
NO;NO0A3;Møre og Romsdal;3;3;35
NO;NO0B;Svalbard og Jan Mayen;2;3;36
NO;NO0B1;Jan Mayen;3;3;37
NO;NO0B2;Svalbard;3;3;38
NO;NOZ;Extra-Regio level 1;1;3;39
NO;NOZZ;Extra-Regio level 2;2;3;40
NO;NOZZZ;Extra-Regio level 3;3;3;41
CH;CH0;Schweiz/Suisse/Svizzera;1;4;42
CH;CH01;Région lémanique;2;4;43
CH;CH011;Vaud;3;4;44
CH;CH012;Valais / Wallis;3;4;45
CH;CH013;Genève;3;4;46
CH;CH02;Espace Mittelland;2;4;47
CH;CH021;Bern / Berne;3;4;48
CH;CH022;Fribourg / Freiburg;3;4;49
CH;CH023;Solothurn;3;4;50
CH;CH024;Neuchâtel;3;4;51
CH;CH025;Jura;3;4;52
CH;CH03;Nordwestschweiz;2;4;53
CH;CH031;Basel-Stadt;3;4;54
CH;CH032;Basel-Landschaft;3;4;55
CH;CH033;Aargau;3;4;56
CH;CH04;Zürich;2;4;57
CH;CH040;Zürich;3;4;58
CH;CH05;Ostschweiz;2;4;59
CH;CH051;Glarus;3;4;60
CH;CH052;Schaffhausen;3;4;61
CH;CH053;Appenzell Ausserrhoden;3;4;62
CH;CH054;Appenzell Innerrhoden;3;4;63
CH;CH055;St. Gallen;3;4;64
CH;CH056;Graubünden / Grigioni / Grischun;3;4;65
CH;CH057;Thurgau;3;4;66
CH;CH06;Zentralschweiz;2;4;67
CH;CH061;Luzern;3;4;68
CH;CH062;Uri;3;4;69
CH;CH063;Schwyz;3;4;70
CH;CH064;Obwalden;3;4;71
CH;CH065;Nidwalden;3;4;72
CH;CH066;Zug;3;4;73
CH;CH07;Ticino;2;4;74
CH;CH070;Ticino;3;4;75
CH;CHZ;Extra-Regio level 1;1;4;76
CH;CHZZ;Extra-Regio level 2;2;4;77
CH;CHZZZ;Extra-Regio level 3;3;4;78
BA;BA0;Bosna i Hercegovina;1;5;79
BA;BA01;Federacija Bosne i Hercegovine;2;5;80
BA;BA02;Republika Srpska;2;5;81
BA;BA03;Brčko district BiH;2;5;82
BA;BAZ;Extra-Regio level 1;1;5;83
BA;BAZZ;Extra-Regio level 2;2;5;84
ME;ME0;Црна Гора ;1;6;85
ME;ME00;Црна Гора;2;6;86
ME;ME000;Црна Гора;3;6;87
ME;MEZ;Extra-Regio level 1;1;6;88
ME;MEZZ;Extra-Regio level 2;2;6;89
ME;MEZZZ;Extra-Regio level 3;3;6;90
MK;MK0;Северна Македонија;1;7;91
MK;MK00;Северна Македонија;2;7;92
MK;MK001;Вардарски;3;7;93
MK;MK002;Источен;3;7;94
MK;MK003;Југозападен;3;7;95
MK;MK004;Југоисточен;3;7;96
MK;MK005;Пелагониски;3;7;97
MK;MK006;Полошки;3;7;98
MK;MK007;Североисточен;3;7;99
MK;MK008;Скопски;3;7;100
MK;MKZ;Extra-Regio level 1;1;7;101
MK;MKZZ;Extra-Regio level 2;2;7;102
MK;MKZZZ;Extra-Regio level 3;3;7;103
AL;AL0;Shqipëria;1;8;104
AL;AL01;Veri;2;8;105
AL;AL011;Dibër;3;8;106
AL;AL012;Durrës;3;8;107
AL;AL013;Kukës;3;8;108
AL;AL014;Lezhë;3;8;109
AL;AL015;Shkodër;3;8;110
AL;AL02;Qender;2;8;111
AL;AL021;Elbasan;3;8;112
AL;AL022;Tiranë;3;8;113
AL;AL03;Jug;2;8;114
AL;AL031;Berat;3;8;115
AL;AL032;Fier;3;8;116
AL;AL033;Gjirokastër;3;8;117
AL;AL034;Korçë;3;8;118
AL;AL035;Vlorë;3;8;119
AL;ALZ;Extra-Regio level 1;1;8;120
AL;ALZZ;Extra-Regio level 2;2;8;121
AL;ALZZZ;Extra-Regio level 3;3;8;122
RS;RS1;Србија - север ;1;9;123
RS;RS11;Београдски регион;2;9;124
RS;RS110;Београдска област;3;9;125
RS;RS12;Регион Војводине;2;9;126
RS;RS121;Западнобачка област;3;9;127
RS;RS122;Јужнобанатска област;3;9;128
RS;RS123;Јужнобачка област;3;9;129
RS;RS124;Севернобанатска област;3;9;130
RS;RS125;Севернобачка област;3;9;131
RS;RS126;Средњобанатска област;3;9;132
RS;RS127;Сремска област;3;9;133
RS;RS2;Србија - југ ;1;9;134
RS;RS21;Регион Шумадије и Западне Србије;2;9;135
RS;RS211;Златиборска област;3;9;136
RS;RS212;Колубарска област;3;9;137
RS;RS213;Мачванска област;3;9;138
RS;RS214;Моравичка област;3;9;139
RS;RS215;Поморавска област;3;9;140
RS;RS216;Расинска област;3;9;141
RS;RS217;Рашка област;3;9;142
RS;RS218;Шумадијска област;3;9;143
RS;RS22;Регион Јужне и Источне Србије;2;9;144
RS;RS221;Борска област;3;9;145
RS;RS222;Браничевска област;3;9;146
RS;RS223;Зајечарска област;3;9;147
RS;RS224;Јабланичка област;3;9;148
RS;RS225;Нишавска област;3;9;149
RS;RS226;Пиротска област;3;9;150
RS;RS227;Подунавска област;3;9;151
RS;RS228;Пчињска област;3;9;152
RS;RS229;Топличка област;3;9;153
RS;RSZ;Extra-Regio level 1;1;9;154
RS;RSZZ;Extra-Regio level 2;2;9;155
RS;RSZZZ;Extra-Regio level 3;3;9;156
TR;TR1;İstanbul;1;10;157
TR;TR10;İstanbul;2;10;158
TR;TR100;İstanbul;3;10;159
TR;TR2;Batı Marmara;1;10;160
TR;TR21;Tekirdağ, Edirne, Kırklareli;2;10;161
TR;TR211;Tekirdağ;3;10;162
TR;TR212;Edirne;3;10;163
TR;TR213;Kırklareli;3;10;164
TR;TR22;Balıkesir, Çanakkale;2;10;165
TR;TR221;Balıkesir;3;10;166
TR;TR222;Çanakkale;3;10;167
TR;TR3;Ege;1;10;168
TR;TR31;İzmir;2;10;169
TR;TR310;İzmir;3;10;170
TR;TR32;Aydın, Denizli, Muğla;2;10;171
TR;TR321;Aydın;3;10;172
TR;TR322;Denizli;3;10;173
TR;TR323;Muğla;3;10;174
TR;TR33;Manisa, Afyonkarahisar, Kütahya, Uşak;2;10;175
TR;TR331;Manisa;3;10;176
TR;TR332;Afyonkarahisar;3;10;177
TR;TR333;Kütahya;3;10;178
TR;TR334;Uşak;3;10;179
TR;TR4;Doğu Marmara;1;10;180
TR;TR41;Bursa, Eskişehir, Bilecik;2;10;181
TR;TR411;Bursa;3;10;182
TR;TR412;Eskişehir;3;10;183
TR;TR413;Bilecik;3;10;184
TR;TR42;Kocaeli, Sakarya, Düzce, Bolu, Yalova;2;10;185
TR;TR421;Kocaeli;3;10;186
TR;TR422;Sakarya;3;10;187
TR;TR423;Düzce;3;10;188
TR;TR424;Bolu;3;10;189
TR;TR425;Yalova;3;10;190
TR;TR5;Batı Anadolu;1;10;191
