freq	sex	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	T	NR	ME001C				8.0		1.0	5.0	2.0	4.0	4.0	7.0	5.0	11.0	5.0	2.0	2.0	Montenegro
A	T	NR	MK001C	13.0	12.0	14.0	11.0	8.0	8.0	7.0	8.0	5.0	14.0		9.0			7.0	9.0	North Macedonia
A	T	NR	MT001C			1.0	0.0	4.0	2.0	3.0	2.0	3.0	8.0	7.0	3.0	5.0	1.0	5.0	3.0	Malta
A	T	NR	NL001C	11.0	24.0	10.0	12.0	17.0	16.0	17.0	12.0	19.0	11.0	9.0	17.0	12.0	15.0	10.0	10.0	Netherlands
A	T	NR	NO001C	12.0	7.0	5.0	19.0	8.0	8.0	7.0	12.0	4.0	6.0	7.0	3.0	2.0	7.0	4.0	6.0	Norway
A	T	NR	PL001C		35.0	27.0	36.0	29.0	46.0			9.0	14.0	10.0	11.0	15.0	15.0	13.0	17.0	Poland
A	T	NR	PT001C	9.0	4.0	6.0	5.0	13.0	10.0											Portugal
A	T	NR	RS001C	40.0	26.0	22.0	37.0	22.0	35.0	26.0	32.0		22.0	35.0	21.0	23.0	19.0	23.0	20.0	Serbia
A	T	NR	SI001C	0.0	1.0	7.0	4.0	2.0	0.0	3.0	9.0	1.0	6.0	0.0	2.0	0.0	0.0	1.0	2.0	Slovenia
A	T	NR	SK001C							17.0	15.0	9.0	15.0	18.0	17.0	6.0	11.0	9.0	6.0	Slovakia
A	T	NR	TR012C		574.0	408.0	400.0	391.0												Turkey
A	T	NR	XK001C							13.0	7.0	15.0	5.0	11.0	11.0	10.0	9.0			Kosovo
A	T	P_HTHAB	AT001C	2.87	4.33	4.37	3.64	3.81	1.49	0.62										Austria
A	T	P_HTHAB	BG001C	2.32	2.23	1.72	1.66	2.07	1.48	2.02	1.7	0.89	0.98	0.89	0.81	0.81	1.15	0.9	1.31	Bulgaria
A	T	P_HTHAB	CH001C											0.88	3.5	0.44	1.3	1.74	1.74	Switzerland
A	T	P_HTHAB	CH002C		1.05	2.87	0.27	0.53	0.0	0.52			0.51	0.5	2.02	0.44				Switzerland
A	T	P_HTHAB	CY001C				0.84	2.03	1.62	1.23	1.66	0.83	0.41	1.24	4.56					Cyprus
