freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,F,P_HTHAB,BA	: 	: 	: 	62.78 	60.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,BE	: 	: 	350.74 	363.71 	494.91 	379.63 	316.09 	466.55 	: 	808.80 	784.27 	660.13 	474.66 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,BG	55.29 	64.39 	67.99 	78.30 	75.58 	73.25 	69.85 	63.27 	68.62 	58.55 	55.74 	52.52 	55.98 	56.46 	61.65 	55.85 
A,PER_CNV,F,P_HTHAB,CH	216.44 	217.44 	228.43 	208.17 	222.03 	422.23 	412.36 	444.24 	442.57 	425.90 	436.38 	396.55 	393.83 	401.24 	429.74 	423.34 
A,PER_CNV,F,P_HTHAB,CY	2829.68 	2629.95 	3000.23 	3832.08 	2989.95 	2661.62 	3123.31 	2487.23 	1982.43 	1991.38 	2161.82 	1850.17 	1689.40 	1712.20 	1812.47 	: 
A,PER_CNV,F,P_HTHAB,CZ	180.02 	177.34 	172.48 	172.34 	176.26 	204.74 	168.37 	184.32 	188.56 	176.64 	172.24 	177.94 	149.08 	148.14 	153.18 	153.14 
A,PER_CNV,F,P_HTHAB,DE	378.17 	372.97 	367.51 	376.04 	360.91 	355.86 	356.71 	353.54 	343.05 	325.96 	319.24 	324.45 	306.60 	283.44 	281.12 	286.11 
A,PER_CNV,F,P_HTHAB,DK	577.41 	615.92 	661.10 	687.96 	688.81 	1431.24 	1450.96 	1430.27 	1379.57 	1265.18 	1238.74 	318.17 	353.81 	326.83 	341.64 	384.60 
A,PER_CNV,F,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.11 	5.76 	4.42 
A,PER_CNV,F,P_HTHAB,ES	: 	: 	: 	: 	: 	: 	127.44 	147.42 	232.00 	263.39 	262.18 	259.79 	187.86 	235.82 	254.38 	232.59 
A,PER_CNV,F,P_HTHAB,FI	1616.53 	1450.83 	1499.77 	1445.09 	1377.87 	1335.16 	1303.36 	1361.53 	1140.60 	484.99 	484.79 	500.46 	480.37 	498.11 	483.83 	508.70 
A,PER_CNV,F,P_HTHAB,FR	206.95 	204.56 	200.52 	198.19 	208.13 	207.10 	170.77 	196.76 	151.35 	149.78 	159.83 	159.27 	126.86 	145.45 	139.98 	147.86 
