freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,T,NR,AL	8009 	7670 	8510 	9754 	9562 	8577 	13618 	16141 	14614 	10911 	11614 	11052 	9853 	12603 	11422 	8856 
A,PER_CNV,T,NR,AT	38226 	37868 	38394 	36461 	35541 	34424 	303654 	32118 	30450 	30746 	27655 	27284 	23716 	23731 	24466 	25033 
A,PER_CNV,T,NR,BA	16951 	17707 	17294 	15709 	17846 	19015 	18442 	17471 	16592 	15036 	14447 	13616 	10702 	11356 	10770 	10702 
A,PER_CNV,T,NR,BE	: 	: 	140990 	142882 	163323 	141857 	117534 	132122 	: 	238286 	229599 	202990 	159957 	: 	: 	: 
A,PER_CNV,T,NR,BG	36137 	40872 	39070 	41013 	37996 	34113 	31849 	27787 	28301 	25800 	23973 	23389 	21889 	24121 	24047 	23037 
A,PER_CNV,T,NR,CH	100048 	102526 	106935 	101903 	109123 	107099 	108877 	108099 	108393 	105156 	106185 	97170 	97170 	98912 	103444 	105916 
A,PER_CNV,T,NR,CY	63775 	62466 	75693 	86813 	71545 	60819 	68708 	54095 	45324 	43477 	39502 	39975 	35541 	33563 	36984 	: 
A,PER_CNV,T,NR,CZ	75882 	73787 	70651 	70160 	71471 	77976 	72825 	65569 	61423 	55705 	54448 	55594 	45558 	49647 	50227 	51399 
A,PER_CNV,T,NR,DE	874691 	844520 	813266 	807815 	773901 	755938 	748782 	739487 	737873 	716044 	712338 	728868 	699269 	662100 	647374 	656901 
A,PER_CNV,T,NR,DK	163095 	173255 	183599 	200452 	209632 	206214 	209388 	202314 	196486 	177935 	182804 	51439 	56280 	52837 	52678 	57224 
A,PER_CNV,T,NR,EE	11574 	7881 	9131 	9992 	9638 	8477 	7670 	7375 	7619 	6714 	5702 	5703 	4949 	4569 	3837 	: 
A,PER_CNV,T,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5426 	4764 	4294 
A,PER_CNV,T,NR,ES	241743 	257148 	248313 	256391 	253715 	245820 	233875 	235875 	232058 	298979 	300301 	301043 	232675 	295805 	322650 	293344 
A,PER_CNV,T,NR,FI	237782 	206430 	206070 	202922 	191015 	182679 	173056 	181694 	156034 	82427 	82822 	82956 	80692 	80740 	77562 	78807 
A,PER_CNV,T,NR,FR	703695 	703853 	682489 	663417 	679219 	667579 	578482 	637490 	468583 	466980 	546279 	549552 	458259 	530201 	504379 	517857 
A,PER_CNV,T,NR,HR	25126 	26355 	25355 	24203 	21174 	17162 	15452 	12972 	13777 	12424 	12168 	13295 	11902 	12550 	12629 	11523 
A,PER_CNV,T,NR,HU	84457 	86901 	89343 	85110 	75291 	70326 	76317 	70805 	71686 	68735 	66681 	64043 	53850 	54936 	55407 	55676 
A,PER_CNV,T,NR,IE	: 	3146 	3308 	3182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,IS	: 	: 	: 	: 	: 	: 	2489 	2395 	2333 	2286 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,IT	260375 	252076 	254384 	266039 	259923 	246980 	226939 	220965 	209921 	194720 	215991 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,LI	: 	: 	: 	: 	: 	: 	1078 	1008 	964 	1087 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,LT	12788 	13050 	13992 	13697 	16631 	19530 	22742 	17273 	15508 	18058 	19779 	17564 	16060 	15010 	14959 	14717 
A,PER_CNV,T,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	8433 	9546 	8205 	7582 	7504 	8032 	5954 	6576 
A,PER_CNV,T,NR,LV	10979 	10702 	9626 	9194 	8942 	8626 	9213 	9558 	8929 	9262 	8587 	8099 	7093 	6849 	4951 	4306 
A,PER_CNV,T,NR,ME	: 	: 	673 	1121 	1444 	3238 	3111 	2755 	3712 	3528 	3344 	3611 	3703 	3535 	3002 	2724 
A,PER_CNV,T,NR,MK	10218 	10549 	9716 	10532 	9598 	10012 	12144 	: 	: 	2769 	: 	5016 	6701 	8016 	8031 	6835 
A,PER_CNV,T,NR,MT	: 	: 	: 	: 	: 	: 	2858 	2697 	1720 	2311 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,NL	115051 	114849 	98150 	93362 	87879 	92190 	88878 	91446 	81799 	82070 	78546 	76827 	59444 	62103 	62543 	66894 
A,PER_CNV,T,NR,NO	66503 	64165 	66983 	64681 	63428 	67048 	63859 	66432 	62343 	59724 	14910 	14733 	14253 	13502 	12819 	12707 
A,PER_CNV,T,NR,PL	447686 	440225 	455649 	446271 	429087 	372343 	311741 	272271 	300867 	251093 	285522 	296898 	261556 	: 	: 	: 
A,PER_CNV,T,NR,PT	87861 	78266 	77776 	77811 	79212 	71171 	52861 	59126 	56465 	51968 	46688 	45312 	35345 	42691 	45847 	42283 
A,PER_CNV,T,NR,RO	36795 	34226 	41891 	47577 	49188 	47133 	50342 	42276 	32720 	35396 	32204 	33683 	31483 	35317 	32907 	31439 
A,PER_CNV,T,NR,RS	44367 	42782 	23321 	33097 	33624 	34889 	37410 	35115 	34557 	33392 	31298 	29788 	26726 	28891 	27413 	28373 
A,PER_CNV,T,NR,SE	69454 	71715 	74510 	73680 	71110 	64391 	60662 	59344 	56659 	57372 	60565 	62708 	68996 	74581 	76636 	80008 
A,PER_CNV,T,NR,SI	9228 	8453 	8423 	7965 	8825 	11758 	9729 	8241 	7006 	6521 	6324 	6256 	5007 	5974 	5567 	5258 
A,PER_CNV,T,NR,SK	28681 	30953 	31179 	30110 	35077 	36079 	33610 	29691 	27187 	26330 	29385 	28431 	25392 	23642 	25254 	23963 
A,PER_CNV,T,NR,TR	: 	1288334 	1213217 	1237448 	1514825 	500608 	492869 	521213 	459195 	445436 	555369 	592398 	492323 	692281 	682380 	682243 
A,PER_CNV,T,NR,UKC-L	1355146 	1399856 	1359715 	1306509 	1224976 	1172953 	1211152 	1241080 	1231726 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,UKM	60399 	56428 	54766 	53249 	48105 	45659 	: 	: 	: 	82716 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,UKN	39018 	39539 	39628 	40538 	38914 	35276 	26607 	31413 	29912 	23630 	24921 	: 	: 	: 	: 	: 
A,PER_CNV,T,NR,XK	13254 	13415 	9925 	18367 	20990 	15832 	18330 	16907 	18551 	19519 	20434 	18001 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,AL	252.65 	240.84 	: 	344.45 	: 	: 	: 	559.33 	508.21 	379.30 	404.62 	386.11 	346.21 	445.38 	408.86 	320.66 
A,PER_CNV,T,P_HTHAB,AT	460.11 	454.32 	459.72 	435.35 	422.70 	407.29 	3569.13 	374.12 	349.98 	350.47 	313.47 	307.99 	266.44 	265.67 	272.48 	274.94 
A,PER_CNV,T,P_HTHAB,BA	440.99 	460.64 	449.89 	408.75 	464.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,BE	: 	: 	1300.66 	1298.85 	1472.06 	1270.93 	1051.21 	1175.75 	: 	2099.12 	2014.28 	1771.98 	1388.22 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,BG	480.67 	547.36 	526.42 	556.53 	518.56 	468.29 	439.56 	385.81 	395.61 	363.29 	340.04 	334.13 	314.88 	348.74 	370.95 	357.29 
A,PER_CNV,T,P_HTHAB,CH	1317.55 	1331.19 	1373.46 	1294.81 	1371.81 	1332.23 	1337.62 	1312.25 	1301.69 	1248.95 	1251.57 	1137.22 	1129.09 	1140.81 	1183.73 	1201.49 
A,PER_CNV,T,P_HTHAB,CY	8214.90 	7838.33 	9240.54 	10337.95 	8299.78 	7023.97 	8007.93 	6386.60 	5342.80 	5086.21 	4570.74 	4563.88 	4002.34 	3745.84 	4087.96 	: 
A,PER_CNV,T,P_HTHAB,CZ	733.63 	707.74 	675.30 	669.04 	680.32 	741.49 	692.75 	622.20 	582.00 	526.57 	513.17 	522.02 	426.02 	473.06 	477.59 	474.71 
A,PER_CNV,T,P_HTHAB,DE	1063.87 	1029.87 	994.19 	1006.97 	963.43 	938.78 	927.08 	910.73 	897.92 	867.70 	860.39 	877.95 	840.80 	796.22 	777.75 	790.32 
A,PER_CNV,T,P_HTHAB,DK	2978.47 	3143.55 	3317.21 	3604.84 	3756.50 	3680.67 	3720.97 	3574.63 	3442.74 	3095.18 	3162.05 	885.95 	966.55 	904.74 	896.89 	964.56 
A,PER_CNV,T,P_HTHAB,EE	864.74 	590.01 	684.85 	751.47 	727.28 	642.11 	582.91 	560.89 	578.98 	510.32 	432.25 	430.47 	372.39 	343.52 	288.11 	: 
A,PER_CNV,T,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.81 	45.55 	41.23 
A,PER_CNV,T,P_HTHAB,ES	529.34 	556.12 	534.16 	549.40 	541.92 	526.07 	502.83 	507.81 	499.69 	642.58 	643.62 	641.38 	491.57 	624.08 	679.45 	610.05 
A,PER_CNV,T,P_HTHAB,FI	4486.04 	3875.66 	3850.75 	3775.10 	3536.49 	3366.32 	3174.60 	3320.58 	2843.54 	1497.77 	1502.27 	1503.39 	1460.41 	1459.04 	1397.96 	1416.38 
A,PER_CNV,T,P_HTHAB,FR	1099.40 	1093.78 	1055.52 	1020.98 	1040.52 	1017.65 	874.29 	959.24 	703.17 	698.97 	815.02 	818.06 	679.17 	782.83 	740.73 	758.46 
A,PER_CNV,T,P_HTHAB,HR	582.70 	611.51 	589.26 	564.19 	495.18 	402.66 	363.85 	307.01 	328.75 	299.07 	296.38 	326.16 	293.29 	310.92 	326.98 	299.23 
A,PER_CNV,T,P_HTHAB,HU	840.75 	866.33 	892.15 	852.32 	758.07 	709.73 	772.65 	718.43 	729.22 	701.55 	681.92 	655.32 	555.76 	569.20 	576.53 	579.97 
A,PER_CNV,T,P_HTHAB,IE	: 	69.58 	72.71 	69.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	764.27 	727.74 	701.59 	675.63 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,IT	443.93 	427.24 	429.77 	448.14 	437.62 	413.80 	373.36 	363.46 	346.03 	321.38 	357.10 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,LI	: 	: 	: 	: 	: 	: 	2903.39 	2697.64 	2562.33 	2874.90 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,LT	398.06 	409.88 	445.32 	448.70 	553.69 	657.15 	772.62 	591.29 	536.88 	634.08 	704.15 	628.59 	574.78 	536.90 	533.11 	515.07 
A,PER_CNV,T,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	1463.43 	1616.14 	1362.95 	1235.07 	1198.52 	1265.42 	922.53 	995.14 
A,PER_CNV,T,P_HTHAB,LV	500.91 	494.81 	453.95 	443.17 	437.30 	426.22 	460.31 	481.25 	453.49 	474.95 	443.92 	421.83 	371.81 	361.76 	263.95 	228.68 
A,PER_CNV,T,P_HTHAB,ME	: 	: 	108.72 	180.85 	232.79 	521.51 	500.55 	442.86 	596.58 	566.85 	537.31 	580.38 	595.46 	569.48 	486.01 	441.71 
A,PER_CNV,T,P_HTHAB,MK	499.61 	514.93 	473.32 	511.94 	465.97 	485.48 	587.87 	: 	: 	133.53 	: 	241.49 	322.74 	387.47 	437.15 	373.51 
A,PER_CNV,T,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	665.54 	613.39 	381.87 	502.07 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,NL	701.30 	696.65 	592.16 	560.54 	525.27 	549.42 	528.12 	541.08 	481.76 	480.46 	457.17 	444.55 	341.48 	355.37 	355.55 	375.57 
A,PER_CNV,T,P_HTHAB,NO	1403.85 	1336.98 	1378.76 	1314.57 	1272.16 	1327.35 	1250.18 	1285.82 	1196.44 	1135.80 	281.55 	276.51 	265.54 	250.44 	236.28 	231.50 
A,PER_CNV,T,P_HTHAB,PL	1174.55 	1154.36 	1198.36 	1172.46 	1127.28 	978.24 	819.99 	716.40 	792.44 	661.24 	751.83 	781.87 	689.06 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,PT	832.54 	740.94 	735.58 	735.96 	751.37 	678.64 	506.95 	569.90 	546.01 	504.08 	453.68 	440.92 	340.66 	410.72 	439.94 	402.06 
A,PER_CNV,T,P_HTHAB,RO	178.31 	167.44 	195.19 	222.18 	244.77 	235.43 	252.37 	212.76 	165.58 	180.19 	164.87 	173.49 	162.88 	183.93 	172.81 	164.99 
A,PER_CNV,T,P_HTHAB,RS	602.36 	583.26 	319.17 	456.41 	465.92 	485.82 	523.45 	493.58 	488.34 	474.30 	447.02 	427.76 	385.84 	420.44 	403.30 	427.23 
A,PER_CNV,T,P_HTHAB,SE	756.34 	774.77 	797.69 	782.53 	749.88 	673.84 	628.96 	608.82 	575.16 	574.00 	598.45 	612.97 	668.07 	718.56 	733.20 	760.42 
A,PER_CNV,T,P_HTHAB,SI	459.04 	415.92 	411.49 	388.50 	429.34 	571.10 	472.03 	399.49 	339.41 	315.65 	305.97 	300.64 	238.90 	283.27 	264.19 	248.37 
A,PER_CNV,T,P_HTHAB,SK	533.49 	575.08 	578.42 	558.37 	649.05 	666.79 	620.57 	547.67 	501.03 	484.42 	539.86 	521.63 	465.24 	433.02 	464.68 	441.41 
A,PER_CNV,T,P_HTHAB,TR	: 	1801.43 	1671.99 	1678.51 	2027.22 	661.94 	642.86 	670.84 	583.17 	558.09 	687.25 	722.40 	592.05 	827.95 	805.83 	800.01 
A,PER_CNV,T,P_HTHAB,UKC-L	2481.26 	2543.38 	2451.50 	2335.87 	2173.09 	2066.57 	2118.27 	2152.90 	2118.80 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,UKM	1164.66 	1081.63 	1043.85 	1008.39 	906.57 	858.23 	: 	: 	: 	1527.61 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,UKN	2203.95 	2213.60 	2202.76 	2240.24 	2139.38 	1931.18 	1449.74 	1320.48 	1236.16 	1265.91 	: 	: 	: 	: 	: 	: 
A,PER_CNV,T,P_HTHAB,XK	615.57 	615.17 	449.48 	1023.70 	: 	: 	: 	: 	1047.13 	1094.40 	1136.17 	1002.47 	: 	: 	: 	: 
A,PER_PRSC,F,NR,AL	456 	377 	458 	445 	414 	550 	818 	1096 	1103 	1066 	959 	847 	658 	828 	853 	740 
A,PER_PRSC,F,NR,AT	: 	57606 	59781 	61116 	61315 	61899 	59664 	57209 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,BA	: 	: 	: 	1689 	1555 	2003 	2093 	1672 	1340 	1263 	1304 	1204 	911 	1185 	1181 	1181 
A,PER_PRSC,F,NR,BE	119978 	128003 	133967 	137987 	127372 	124457 	126558 	116050 	: 	119895 	125201 	142903 	161845 	159807 	136772 	138985 
A,PER_PRSC,F,NR,BG	: 	: 	4101 	3995 	4032 	3793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,CY	18623 	17727 	20163 	26718 	23978 	19912 	25022 	18326 	16630 	13939 	13780 	19694 	11953 	12401 	14126 	: 
A,PER_PRSC,F,NR,CZ	13511 	14447 	13226 	13578 	13921 	14846 	15150 	14084 	14233 	13189 	13088 	13282 	11226 	10450 	11047 	11457 
A,PER_PRSC,F,NR,DE	199060 	196898 	193891 	194228 	186157 	183067 	182819 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,DK	8315 	8923 	9070 	11713 	16733 	13910 	13179 	17659 	16753 	16458 	19370 	19183 	19064 	17696 	18970 	19271 
A,PER_PRSC,F,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	588 	454 	878 
A,PER_PRSC,F,NR,FI	44508 	40193 	41674 	40359 	38768 	37707 	36927 	38650 	32503 	14201 	14314 	14764 	14101 	14756 	14392 	15229 
A,PER_PRSC,F,NR,FR	: 	: 	: 	67963 	70748 	68925 	69624 	68433 	70609 	69516 	72297 	71132 	59312 	64426 	65980 	69972 
A,PER_PRSC,F,NR,HR	6012 	6090 	6024 	6209 	4523 	3910 	3579 	4729 	5873 	5946 	5490 	5391 	5471 	5686 	5128 	5037 
A,PER_PRSC,F,NR,HU	12919 	14616 	16085 	13483 	11627 	11156 	11303 	10812 	10254 	9439 	: 	20934 	17279 	18628 	20701 	22740 
A,PER_PRSC,F,NR,IS	2737 	: 	: 	272 	410 	477 	417 	401 	368 	421 	393 	464 	475 	393 	375 	244 
A,PER_PRSC,F,NR,IT	83481 	271918 	284789.8598468 	286834.39 	297341.4418312 	297374 	311805.03657557 	306600 	298481.632288547 	270192 	344241 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,LI	: 	448 	470 	204 	238 	: 	210 	215 	207 	212 	265 	: 	433 	284 	337 	259 
A,PER_PRSC,F,NR,LT	1695 	1778 	2048 	1958 	1984 	2484 	2497 	1923 	1828 	2526 	1980 	1839 	1621 	1594 	1573 	1483 
A,PER_PRSC,F,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	4270 	3558 	2507 	2773 	2321 	2271 	2258 	2486 
A,PER_PRSC,F,NR,LV	: 	1707 	1586 	1714 	1894 	1786 	1276 	1452 	2018 	1376 	1288 	1236 	1110 	1012 	1006 	1134 
A,PER_PRSC,F,NR,ME	: 	: 	: 	: 	: 	846 	646 	523 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,MK	1306 	1486 	1527 	1327 	1499 	1505 	1793 	: 	: 	971 	: 	1414 	1392 	1443 	1360 	1385 
A,PER_PRSC,F,NR,MT	: 	254 	: 	212 	228 	404 	416 	454 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,NL	37497 	33984 	31370 	35048 	34860 	33867 	33685 	29697 	29542 	26273 	25683 	27816 	23238 	21668 	21872 	21183 
A,PER_PRSC,F,NR,NO	10569 	9966 	10097 	10017 	9922 	9861 	9797 	10027 	10109 	8946 	8561 	7908 	7487 	7341 	7187 	6766 
A,PER_PRSC,F,NR,PL	: 	: 	: 	: 	: 	40155 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,PT	20526 	18515 	18329 	18209 	18611 	17830 	13230 	14998 	14651 	13564 	12209 	12093 	8590 	10837 	11682 	10407 
A,PER_PRSC,F,NR,RO	2850 	2746 	3553 	3796 	4045 	4726 	3989 	5116 	5342 	5302 	4746 	4851 	4709 	4951 	4787 	4492 
A,PER_PRSC,F,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	3337 	12320 	13344 	13997 	12695 	11687 	11795 	12571 
A,PER_PRSC,F,NR,SE	19350 	20542 	19977 	18182 	17374 	15924 	15820 	15712 	14625 	14169 	14699 	15397 	17065 	16650 	16587 	17892 
A,PER_PRSC,F,NR,SI	: 	: 	: 	: 	: 	: 	1787 	1787 	1762 	1624 	1222 	1306 	1276 	1157 	1093 	1145 
A,PER_PRSC,F,NR,SK	6958 	7515 	7477 	7789 	7916 	7927 	7562 	6745 	6299 	6340 	5952 	5639 	4822 	4296 	4955 	4820 
A,PER_PRSC,F,NR,TR	: 	380244 	404077 	421678 	463620 	440671 	448220 	463362 	422181 	466969 	558371 	665906 	584756 	676274 	733531 	740129 
A,PER_PRSC,F,NR,UKC-L	339507 	370748 	363927 	354220 	348599 	340602 	360830 	368580 	359036 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,UKM	11961 	11326 	10641 	10460 	9669 	9524 	9928 	: 	: 	17296 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,NR,UKN	: 	: 	6869 	6129 	6551 	11058 	5250 	10350 	9749 	5122 	5264 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,AL	28.83 	23.56 	: 	31.56 	: 	: 	: 	: 	77.83 	74.91 	66.98 	59.11 	46.16 	58.32 	60.65 	53.05 
A,PER_PRSC,F,P_HTHAB,AT	: 	1346.54 	1394.98 	1422.53 	1422.63 	1430.12 	1371.19 	1305.76 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,BA	: 	: 	: 	85.92 	79.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,BE	2204.44 	2333.93 	2423.56 	2464.53 	2257.14 	2193.38 	2225.37 	2031.26 	: 	2080.62 	2164.47 	2459.31 	2770.74 	2729.74 	2324.48 	2337.20 
A,PER_PRSC,F,P_HTHAB,BG	: 	: 	107.70 	105.67 	107.22 	101.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,CY	4704.26 	4355.49 	4806.04 	6199.17 	5412.42 	4476.20 	5680.85 	4211.10 	3817.49 	3181.41 	3112.52 	4395.31 	2635.52 	2705.53 	3046.88 	: 
A,PER_PRSC,F,P_HTHAB,CZ	255.97 	272.12 	248.33 	254.29 	260.34 	277.4 	283.18 	262.70 	265.17 	245.23 	242.81 	245.71 	207.05 	196.28 	207.15 	207.59 
A,PER_PRSC,F,P_HTHAB,DE	474.59 	470.84 	464.98 	472.60 	452.96 	444.96 	443.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,DK	151.85 	161.90 	163.87 	210.64 	299.85 	492.6 	464.87 	619.90 	583.86 	569.76 	666.85 	657.63 	651.57 	602.89 	642.94 	645.89 
A,PER_PRSC,F,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.72 	8.49 	16.50 
A,PER_PRSC,F,P_HTHAB,FI	1646.19 	1480.59 	1528.56 	1474.65 	1410.40 	1366.17 	1332.67 	1390.34 	1166.73 	508.82 	512.31 	528.30 	504.14 	527.00 	513.06 	541.86 
A,PER_PRSC,F,P_HTHAB,FR	: 	: 	: 	202.78 	210.11 	203.75 	204.05 	199.61 	205.31 	201.52 	208.88 	204.98 	170.30 	184.36 	187.93 	198.85 
A,PER_PRSC,F,P_HTHAB,HR	269.00 	272.72 	270.35 	279.55 	204.32 	177.27 	162.90 	216.32 	270.91 	276.69 	258.51 	256.27 	262.21 	274.50 	256.40 	253.24 
A,PER_PRSC,F,P_HTHAB,HU	244.87 	277.45 	305.95 	257.22 	223.28 	214.83 	218.46 	209.54 	199.42 	184.27 	: 	410.72 	343.83 	372.25 	415.56 	457.13 
A,PER_PRSC,F,P_HTHAB,IS	1770.80 	: 	: 	171.67 	257.52 	297.35 	256.85 	244.64 	222.68 	251.62 	230.03 	266.43 	268.07 	218.64 	204.75 	129.93 
A,PER_PRSC,F,P_HTHAB,IT	276.05 	893.57 	932.49 	935.86 	969.56 	965.64 	996.24 	979.74 	956.39 	867.56 	1108.44 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,LI	: 	2489.17 	2593.10 	1117.01 	1291.16 	: 	1121.26 	1142.83 	1091.66 	1112.04 	1378.49 	: 	2216.87 	1442.58 	1700.99 	1295.71 
A,PER_PRSC,F,P_HTHAB,LT	98.25 	103.95 	121.06 	119.00 	122.46 	154.96 	157.29 	122.09 	117.26 	164.48 	130.99 	122.72 	107.32 	105.86 	104.91 	97.47 
A,PER_PRSC,F,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	1487.51 	1210.10 	837.27 	908.66 	745.96 	720.33 	704.89 	757.08 
A,PER_PRSC,F,P_HTHAB,LV	: 	145.87 	137.96 	152.13 	170.63 	162.77 	117.67 	135.08 	189.54 	130.50 	123.28 	119.41 	108.11 	99.41 	99.93 	112.20 
A,PER_PRSC,F,P_HTHAB,ME	: 	: 	: 	: 	: 	269.35 	205.49 	166.26 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,MK	128.05 	145.43 	149.13 	129.29 	145.84 	146.24 	173.92 	: 	: 	93.81 	: 	136.36 	134.29 	139.61 	146.85 	150.07 
A,PER_PRSC,F,P_HTHAB,MT	: 	123.11 	: 	101.64 	108.65 	191.03 	195.34 	211.55 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,NL	452.13 	408.00 	374.72 	416.63 	412.67 	399.74 	396.53 	348.23 	345.04 	305.27 	296.77 	319.68 	265.29 	246.54 	247.28 	236.39 
A,PER_PRSC,F,P_HTHAB,NO	223.11 	207.66 	207.83 	203.58 	199.00 	392.03 	385.56 	390.57 	390.75 	342.87 	325.85 	299.19 	281.36 	274.73 	267.38 	248.43 
A,PER_PRSC,F,P_HTHAB,PL	: 	: 	: 	: 	: 	204.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,PT	374.32 	336.83 	332.67 	329.92 	337.65 	324.68 	241.90 	275.13 	269.33 	249.93 	225.12 	222.94 	157.66 	198.79 	214.20 	189.36 
A,PER_PRSC,F,P_HTHAB,RO	26.92 	26.18 	32.27 	34.54 	39.20 	46.07 	39.10 	50.34 	52.83 	52.80 	47.56 	48.93 	47.72 	50.45 	48.83 	45.88 
A,PER_PRSC,F,P_HTHAB,RS	: 	: 	: 	: 	: 	: 	: 	: 	91.93 	341.16 	371.61 	391.97 	357.40 	331.49 	338.06 	368.47 
A,PER_PRSC,F,P_HTHAB,SE	210.72 	221.92 	213.87 	193.11 	183.21 	332.44 	327.50 	322.29 	297.25 	284.41 	291.79 	302.63 	332.54 	322.90 	319.50 	342.55 
A,PER_PRSC,F,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	171.79 	171.72 	169.28 	156.04 	117.52 	125.31 	122.13 	110.29 	104.15 	108.66 
A,PER_PRSC,F,P_HTHAB,SK	251.88 	271.88 	270.23 	281.47 	285.51 	285.67 	272.32 	242.71 	226.57 	227.76 	213.59 	202.16 	172.68 	153.80 	178.44 	173.78 
A,PER_PRSC,F,P_HTHAB,TR	: 	1067.62 	1119.36 	1149.62 	1246.58 	1169.78 	1173.52 	1196.96 	1076.17 	1174.14 	1386.38 	1629.57 	1411.30 	1621.82 	1736.08 	1738.39 
A,PER_PRSC,F,P_HTHAB,UKC-L	1220.23 	1323.11 	1289.74 	1246.07 	1217.63 	1182.16 	1243.97 	1261.30 	1219.62 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,UKM	446.26 	420.49 	393.13 	384.34 	353.83 	347.79 	361.56 	: 	: 	621.97 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,F,P_HTHAB,UKN	: 	: 	748.66 	664.30 	706.67 	1187.98 	561.31 	521.34 	497.23 	539.80 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,AL	8308 	7319 	9174 	10437 	11070 	11493 	18504 	18625 	16343 	15290 	15289 	13876 	12751 	15368 	15393 	13223 
A,PER_PRSC,M,NR,AT	: 	201915 	212784 	216623 	219228 	219071 	215032 	209330 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,BA	: 	: 	: 	19565 	20036 	18360 	18971 	18354 	15883 	14659 	13734 	12686 	10541 	12180 	11351 	11351 
A,PER_PRSC,M,NR,BE	483502 	498567 	496350 	491857 	456048 	450241 	448264 	421560 	: 	418017 	421524 	441813 	515622 	473806 	425706 	428336 
A,PER_PRSC,M,NR,BG	: 	: 	51109 	53068 	45452 	43450 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
