freq	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	P_HTHAB	Lefkosia (greater city)	1.31	1.28				1.62	0.82	1.66	0.83	1.66	1.66	5.8					Cyprus
A	P_HTHAB	Praha	1.47	1.84	1.27	1.05	1.28	0.97	0.79	0.79		0.93	0.87	1.09		0.53	1.27	0.63	Czechia
A	P_HTHAB	Berlin	1.23	1.95	1.19	1.24	1.5	1.57	1.37	0.63	1.12	0.98	1.04	1.25	1.33	1.32	1.26	1.22	Germany
A	P_HTHAB	København (greater city)				2.04	1.64	0.0											Denmark
A	P_HTHAB	Tallinn					4.95	4.19	3.16	2.66	2.36	3.99	1.45	2.36	2.73	1.84	1.83	1.14	Estonia
A	P_HTHAB	Athina (greater city)	1.98	8.75		12.95													Greece
A	P_HTHAB	Madrid (greater city)	1.21	0.98	0.86	0.66	0.87	0.87	0.7	0.57	0.6	0.5	0.64	0.51	0.32	0.36	0.51	0.4	Spain
A	P_HTHAB	Helsinki/Helsingfors	2.77	1.21	2.04	2.35	1.99	0.98	1.61	1.93	1.26	0.94	1.59	1.39	1.08	1.23	2.28	1.21	Finland
A	P_HTHAB	Paris (greater city)	2.14	1.61	1.96	1.87	2.05	1.88	1.94	1.85	0.36	0.31	0.3	0.33	0.16	0.18			France
A	P_HTHAB	Zagreb	1.9	0.63	1.26	1.38	1.27	0.76	0.63	0.38	1.25		1.12	0.75	0.99	1.12	0.74	0.65	Croatia
A	P_HTHAB	Budapest (greater city)	1.52	2.1	1.86	1.85	1.45	1.61	1.6	1.08	1.25	0.8	1.02	0.74	0.91	0.68	1.16	0.94	Hungary
A	P_HTHAB	Reykjavík	0.0	0.84	0.85	2.52	0.84	0.0											Iceland
A	P_HTHAB	Roma	1.09	1.06	0.33	0.98	0.91	1.02	1.22	0.73	0.59	0.56	0.45	0.45	0.39	0.57	0.47	0.73	Italy
A	P_HTHAB	Schaan	0.0	0.0	0.0	0.0	0.0	0.0	16.77										Liechtenstein
