freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS0401	NR	AL	144.0	169.0	236.0	268.0	326.0	371.0	297.0	234.0	159.0	183.0	133.0	98.0	82.0	80.0	78.0	89.0	ICCS04
A	ICCS0401	NR	AT	4786.0	4577.0	4310.0	4066.0	4092.0	3737.0	3481.0	3416.0	3103.0	2610.0	2396.0	2628.0	2137.0	2118.0	2536.0	2678.0	ICCS04
A	ICCS0401	NR	BA	746.0			975.0	1010.0	1103.0	1025.0	111.0	1015.0	660.0		660.0	520.0	416.0	405.0	267.0	ICCS04
A	ICCS0401	NR	BE	22877.0	23581.0	23856.0	27341.0	25608.0	22879.0	21928.0	20278.0	18678.0	17645.0	16483.0	16297.0	11927.0	11629.0	13395.0	14097.0	ICCS04
A	ICCS0401	NR	BG	2868.0	3596.0	3737.0	3110.0	2955.0	2977.0	2326.0	1946.0	1666.0	1558.0	1265.0	1183.0	1002.0	840.0	902.0	899.0	ICCS04
A	ICCS0401	NR	CH	2890.0	3530.0	2853.0	3113.0	3603.0	3196.0	2367.0	1859.0	1876.0	1746.0	1644.0	1872.0	1949.0	1736.0	1941.0	1930.0	ICCS04
A	ICCS0401	NR	CY	71.0	142.0	156.0	137.0	173.0	149.0	104.0	78.0	93.0	103.0	73.0	55.0	78.0	68.0	96.0	62.0	ICCS04
A	ICCS0401	NR	CZ	4641.0	4687.0	4019.0	3881.0	3416.0	3051.0	2547.0	2022.0	1646.0	1585.0	1406.0	1439.0	1248.0	1230.0	1422.0	1439.0	ICCS04
A	ICCS0401	NR	DE	49913.0	49317.0	48166.0	48021.0	48711.0	47234.0	45475.0	44666.0	43009.0	38849.0	36756.0	36052.0	33872.0	30125.0	38195.0	44857.0	ICCS04
A	ICCS0401	NR	DK	3400.0	4004.0	3372.0	3241.0	3003.0	3200.0	2322.0	2034.0	2185.0	2042.0	1819.0	1698.0	1635.0	1287.0	1406.0	1326.0	ICCS04
A	ICCS0401	NR	EE	909.0	726.0	599.0	525.0	457.0	476.0	360.0	337.0	248.0	201.0	170.0	152.0	113.0	129.0	98.0	77.0	ICCS04
A	ICCS0401	NR	EL	3293.0	4715.0	6079.0	6636.0	5992.0	4919.0	3800.0	4316.0	4738.0	4271.0	4358.0	4335.0	2541.0	2403.0	2833.0	2781.0	ICCS04
A	ICCS0401	NR	ES	71421.0	65159.0	84411.0	87718.0	96607.0	86034.0	70855.0	64581.0	62952.0	61763.0	60295.0	65874.0	45263.0	53073.0	63392.0	64711.0	ICCS04
A	ICCS0401	NR	FI	1696.0	1640.0	1508.0	1622.0	1616.0	1523.0	1687.0	1548.0	1670.0	1640.0	1700.0	1805.0	1995.0	1892.0	2329.0	2726.0	ICCS04
A	ICCS0401	NR	FR	106633.0	112765.0	121038.0	120966.0	123814.0	124657.0	114093.0	104116.0	105636.0	99558.0	91953.0	89966.0	74190.0	70502.0	68000.0	62932.0	ICCS04
A	ICCS0401	NR	HR	1259.0	1411.0	1245.0	1382.0	1588.0	1523.0	1268.0	1311.0	1068.0	864.0	779.0	838.0	632.0	604.0	708.0	630.0	ICCS04
A	ICCS0401	NR	HU	3128.0	3159.0	3396.0	3203.0	3036.0	2298.0	1954.0	1440.0	1104.0	841.0	696.0	633.0	608.0	541.0	533.0	531.0	ICCS04
A	ICCS0401	NR	IE	2328.0	2522.0	3234.0	2954.0	2811.0	2795.0	2650.0	2424.0	1955.0	2018.0	2179.0	2036.0	1401.0	1176.0	1408.0	1618.0	ICCS04
A	ICCS0401	NR	IS	43.0	60.0	42.0	42.0	50.0	49.0	51.0	53.0	50.0	49.0	77.0	54.0	75.0	60.0	66.0	101.0	ICCS04
A	ICCS0401	NR	IT	64535.0	50732.0	47996.0	58206.0	62641.0	63770.0	39236.0	35086.0	33422.0	31167.0	28986.0	24821.0	20479.0	22537.0	26181.0	28710.0	ICCS04
A	ICCS0401	NR	LI	1.0	2.0	2.0	1.0	5.0	1.0	1.0	3.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	6.0	ICCS04
A	ICCS0401	NR	LT	3452.0	3363.0	2727.0	2502.0	1923.0	1866.0	1688.0	1590.0	1342.0	1088.0	822.0	665.0	479.0	310.0	342.0	340.0	ICCS04
A	ICCS0401	NR	LU	326.0	418.0	377.0	398.0	527.0	582.0	615.0	554.0	459.0	454.0	449.0	457.0	472.0	595.0	652.0	573.0	ICCS04
A	ICCS0401	NR	LV	1441.0	1516.0	1072.0	1047.0	943.0	917.0	809.0	779.0	651.0	604.0	534.0	493.0	435.0	263.0	280.0	321.0	ICCS04
A	ICCS0401	NR	ME	6.0	7.0	3.0	144.0	117.0	161.0	188.0	156.0	128.0	118.0	123.0	95.0	48.0	58.0	47.0	27.0	ICCS04
A	ICCS0401	NR	MK	458.0	597.0	604.0	513.0	469.0	468.0	305.0	278.0	248.0	417.0		383.0	264.0	275.0	322.0	295.0	ICCS04
A	ICCS0401	NR	MT	147.0	202.0	196.0	219.0	257.0	207.0	190.0	242.0	259.0	202.0	208.0	174.0	128.0	101.0	132.0	176.0	ICCS04
