freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS1001	NR	AL													84.0	62.0	57.0	82.0	ICCS10
A	ICCS1001	NR	AT													118.0	119.0	105.0	134.0	ICCS10
A	ICCS1001	NR	BE													749.0	710.0	650.0	482.0	ICCS10
A	ICCS1001	NR	BG													98.0	86.0	93.0	92.0	ICCS10
A	ICCS1001	NR	CY													0.0	0.0	0.0	0.0	ICCS10
A	ICCS1001	NR	CZ													57.0	57.0	50.0	41.0	ICCS10
A	ICCS1001	NR	DE													11498.0	11498.0	9560.0	9175.0	ICCS10
A	ICCS1001	NR	DK													1062.0	3225.0	9118.0	8585.0	ICCS10
A	ICCS1001	NR	EE													0.0	0.0	5.0	0.0	ICCS10
A	ICCS1001	NR	EL													34.0	50.0	48.0	44.0	ICCS10
A	ICCS1001	NR	ES													112.0	133.0	147.0	122.0	ICCS10
A	ICCS1001	NR	FI													524.0	405.0	389.0	412.0	ICCS10
A	ICCS1001	NR	FR													586.0	619.0	632.0	726.0	ICCS10
A	ICCS1001	NR	HR													12.0	1.0	3.0	6.0	ICCS10
A	ICCS1001	NR	HU													35.0	38.0	54.0	35.0	ICCS10
A	ICCS1001	NR	IT													1878.0	2024.0	1680.0	1619.0	ICCS10
A	ICCS1001	NR	LI													1.0	0.0	0.0	0.0	ICCS10
A	ICCS1001	NR	LT													13.0	5.0	7.0	5.0	ICCS10
A	ICCS1001	NR	LU													226.0	134.0	246.0	158.0	ICCS10
A	ICCS1001	NR	LV													3.0	15.0	8.0	3.0	ICCS10
A	ICCS1001	NR	MT													0.0	28.0	0.0	1.0	ICCS10
A	ICCS1001	NR	NL													730.0	795.0	665.0	380.0	ICCS10
A	ICCS1001	NR	NO													231.0	224.0	156.0	165.0	ICCS10
A	ICCS1001	NR	PL													78.0	77.0	87.0	82.0	ICCS10
A	ICCS1001	NR	PT													101.0	90.0	71.0	122.0	ICCS10
A	ICCS1001	NR	RO														30.0	11.0	34.0	ICCS10
