freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS0701	NR	AL									913.0	1018.0	941.0	874.0	798.0	921.0	969.0		ICCS07
A	ICCS0701	NR	AT									32543.0	35050.0	37859.0	49627.0	54410.0	57407.0	70429.0		ICCS07
A	ICCS0701	NR	BA									222.0		273.0		543.0		584.0		ICCS07
A	ICCS0701	NR	BE									55597.0	57995.0	66051.0	81271.0	95733.0	101776.0	113525.0		ICCS07
A	ICCS0701	NR	BG									3605.0	3370.0	2850.0	2103.0	1671.0	1639.0	2299.0		ICCS07
A	ICCS0701	NR	CH									16424.0	14227.0	17520.0	19101.0	20759.0	24087.0	25762.0		ICCS07
A	ICCS0701	NR	CY									232.0	246.0	227.0	221.0	244.0	410.0	478.0		ICCS07
A	ICCS0701	NR	CZ									9836.0	8752.0	8449.0	9179.0	7952.0	11715.0	16100.0		ICCS07
A	ICCS0701	NR	DE									899043.0	910352.0	840783.0	832966.0	808074.0	793622.0	801412.0		ICCS07
A	ICCS0701	NR	DK									39282.0	43938.0	43348.0	47627.0	53864.0	45482.0	57183.0		ICCS07
A	ICCS0701	NR	EE									1685.0	1561.0	1453.0	1813.0	1845.0	2852.0	2612.0		ICCS07
A	ICCS0701	NR	EL									3790.0	3253.0	3184.0	3208.0	4059.0	8546.0	10284.0		ICCS07
A	ICCS0701	NR	ES									183005.0	214595.0	289182.0	327616.0	360551.0	363203.0	438207.0		ICCS07
A	ICCS0701	NR	FI									44788.0	35320.0	35699.0	40294.0	47132.0	47474.0	53916.0		ICCS07
A	ICCS0701	NR	FR									197720.0	173909.0	180411.0	205673.0	230854.0	270511.0	259497.0		ICCS07
A	ICCS0701	NR	HR									3806.0	2639.0	3088.0	3298.0	2507.0	2948.0	3488.0		ICCS07
A	ICCS0701	NR	HU									45000.0	25389.0	21075.0	16936.0	15451.0	15458.0	20844.0		ICCS07
A	ICCS0701	NR	IE									4902.0	3944.0	4552.0	5635.0	5900.0	15212.0	10256.0		ICCS07
A	ICCS0701	NR	IS										463.0	537.0	596.0	673.0	641.0	546.0		ICCS07
A	ICCS0701	NR	IT									182103.0	194068.0	218865.0	278958.0	353688.0	440418.0	410198.0		ICCS07
A	ICCS0701	NR	LI									175.0	130.0	157.0	179.0	176.0	184.0	197.0		ICCS07
A	ICCS0701	NR	LT									2870.0	2999.0	2783.0	2981.0	2688.0	3278.0	3968.0		ICCS07
A	ICCS0701	NR	LU									989.0	588.0	646.0	744.0	1475.0	2299.0	4689.0		ICCS07
A	ICCS0701	NR	LV									1786.0	1503.0	1758.0	1580.0	1731.0	2973.0	2322.0		ICCS07
A	ICCS0701	NR	ME									49.0		6.0	45.0	58.0	40.0	39.0		ICCS07
A	ICCS0701	NR	MT									500.0	787.0	1032.0	822.0	812.0	2377.0	1562.0		ICCS07
A	ICCS0701	NR	NL									62999.0								ICCS07
A	ICCS0701	NR	NO									21361.0	19875.0	22532.0	21032.0	18998.0	18928.0	23048.0		ICCS07
A	ICCS0701	NR	PL									108647.0	129038.0	117430.0	140031.0	138187.0	176910.0	174543.0		ICCS07
A	ICCS0701	NR	PT									19482.0	22933.0	23917.0	30976.0	37003.0	40205.0	44668.0		ICCS07
A	ICCS0701	NR	RO										10201.0	10497.0	11341.0	11222.0	11920.0	12269.0		ICCS07
A	ICCS0701	NR	RS									2245.0	2044.0	1966.0	2961.0	2191.0	2699.0	3340.0		ICCS07
A	ICCS0701	NR	SE									217460.0	253565.0	301210.0	293383.0	278954.0	258221.0	248730.0		ICCS07
A	ICCS0701	NR	SI									4383.0	4002.0	3907.0	3978.0	3405.0	3488.0	3661.0		ICCS07
A	ICCS0701	NR	SK									2312.0	2863.0	2633.0	2264.0	1984.0	1911.0	2122.0		ICCS07
A	ICCS0701	NR	TR									77500.0								ICCS07
A	ICCS0701	NR	XK									538.0	535.0	628.0	658.0	468.0				ICCS07
A	ICCS0701	P_HTHAB	AL									31.75	35.39	32.78	30.53	28.04	32.55	34.69		ICCS07
A	ICCS0701	P_HTHAB	AT									374.04	399.53	429.13	560.2	611.28	642.66	784.38		ICCS07
A	ICCS0701	P_HTHAB	BE									491.53	510.89	579.47	709.45	830.84	880.81	977.18		ICCS07
A	ICCS0701	P_HTHAB	BG									50.39	47.45	40.43	30.04	24.04	23.7	33.62		ICCS07
A	ICCS0701	P_HTHAB	CH									197.23	168.98	206.5	223.55	241.21	277.81	294.8		ICCS07
A	ICCS0701	P_HTHAB	CY									27.35	28.78	26.27	25.23	27.48	45.76	52.83		ICCS07
A	ICCS0701	P_HTHAB	CZ									93.2	82.73	79.63	86.19	74.36	111.63	153.09		ICCS07
A	ICCS0701	P_HTHAB	DE									1094.05	1103.17	1015.53	1003.34	971.63	954.39	962.81		ICCS07
A	ICCS0701	P_HTHAB	DK									688.28	764.3	749.81	820.3	925.06	778.8	973.59		ICCS07
A	ICCS0701	P_HTHAB	EE									128.04	118.65	110.15	136.85	138.83	214.43	196.13		ICCS07
A	ICCS0701	P_HTHAB	EL									35.15	30.21	29.64	29.91	37.87	80.03	98.32		ICCS07
A	ICCS0701	P_HTHAB	ES									394.07	461.22	619.78	697.99	761.74	766.27	923.85		ICCS07
A	ICCS0701	P_HTHAB	FI									816.21	641.8	647.53	730.24	853.02	857.89	971.77		ICCS07
A	ICCS0701	P_HTHAB	FR									296.71	260.3	269.16	306.16	342.92	399.83	382.33		ICCS07
A	ICCS0701	P_HTHAB	HR									90.82	63.53	75.22	80.91	61.78	73.04	90.31		ICCS07
A	ICCS0701	P_HTHAB	HU									457.76	259.14	215.53	173.3	158.16	158.86	215.13		ICCS07
A	ICCS0701	P_HTHAB	IE									103.72	82.43	94.24	114.9	118.85	303.86	202.69		ICCS07
A	ICCS0701	P_HTHAB	IS										136.84	154.11	166.95	184.82	173.81	145.12		ICCS07
A	ICCS0701	P_HTHAB	IT									300.18	320.3	361.86	466.35	593.02	743.49	694.9		ICCS07
A	ICCS0701	P_HTHAB	LI									465.15	343.82	411.92	466.41	454.23	471.13	501.17		ICCS07
A	ICCS0701	P_HTHAB	LT									99.36	105.31	99.08	106.69	96.2	117.25	141.41		ICCS07
A	ICCS0701	P_HTHAB	LU									171.63	99.55	107.31	121.19	235.58	362.2	726.53		ICCS07
A	ICCS0701	P_HTHAB	LV									90.71	77.07	90.88	82.29	90.74	157.03	123.79		ICCS07
A	ICCS0701	P_HTHAB	ME									7.88		0.96	7.23	9.33	6.44	6.31		ICCS07
A	ICCS0701	P_HTHAB	MT									111.01	170.98	216.94	166.55	157.8	460.57	299.82		ICCS07
A	ICCS0701	P_HTHAB	NL									371.04								ICCS07
A	ICCS0701	P_HTHAB	NO									409.94	377.97	425.48	394.73	353.94	351.08	424.83		ICCS07
A	ICCS0701	P_HTHAB	PL									286.16	339.82	309.22	368.77	364.05	467.52	463.54		ICCS07
A	ICCS0701	P_HTHAB	PT									188.39	222.44	232.41	301.42	359.4	390.41	431.49		ICCS07
A	ICCS0701	P_HTHAB	RO										51.93	53.74	58.42	58.06	62.08	64.43		ICCS07
A	ICCS0701	P_HTHAB	RS									31.73	29.03	28.08	42.52	31.63	39.28	49.14		ICCS07
A	ICCS0701	P_HTHAB	SE									2207.49	2536.88	2976.31	2867.82	2701.06	2487.85	2379.66		ICCS07
A	ICCS0701	P_HTHAB	SI									212.34	193.72	189.03	191.17	162.46	165.39	173.74		ICCS07
A	ICCS0701	P_HTHAB	SK									42.61	52.67	48.37	41.54	36.35	35.0	39.05		ICCS07
A	ICCS0701	P_HTHAB	TR									98.42								ICCS07
A	ICCS0701	P_HTHAB	XK									30.37	30.0	34.92	36.64	26.26				ICCS07
A	ICCS0703	NR	AL									1032.0	1154.0	1033.0	1330.0	847.0	977.0	1180.0	874.0	ICCS07
A	ICCS0703	NR	AT									3151.0	3209.0	3113.0	3158.0	2879.0	2915.0	3085.0	4503.0	ICCS07
A	ICCS0703	NR	BA									397.0	383.0	430.0	751.0	903.0	779.0	694.0	693.0	ICCS07
A	ICCS0703	NR	BE									5158.0	4596.0	4729.0	4849.0	4353.0	4919.0	5274.0	5005.0	ICCS07
A	ICCS0703	NR	BG									223.0	233.0	673.0	585.0	486.0	565.0	534.0	572.0	ICCS07
A	ICCS0703	NR	CH									3749.0	3389.0	19.0	14.0	21.0	60.0	57.0	30.0	ICCS07
A	ICCS0703	NR	CY									41.0	31.0	17.0	15.0	13.0	12.0	24.0	7.0	ICCS07
A	ICCS0703	NR	CZ									2959.0	2723.0	2596.0	2339.0	1689.0	1396.0	1610.0	1581.0	ICCS07
A	ICCS0703	NR	DE									6502.0	3850.0	3970.0	4147.0	4170.0	5110.0	4928.0	5312.0	ICCS07
A	ICCS0703	NR	DK									5246.0	3717.0	4833.0	5060.0	3873.0	4777.0	3481.0	7171.0	ICCS07
A	ICCS0703	NR	EE										291.0	376.0	72.0	81.0	87.0	165.0	71.0	ICCS07
A	ICCS0703	NR	EL										902.0	658.0	614.0	607.0	757.0	652.0	626.0	ICCS07
A	ICCS0703	NR	ES									1144.0	1127.0	974.0	884.0	762.0	1063.0	1515.0	1187.0	ICCS07
A	ICCS0703	NR	FI									3667.0	3565.0	3846.0	3960.0	4041.0	3700.0	3672.0	4082.0	ICCS07
A	ICCS0703	NR	FR									2007.0	1966.0	2356.0	2395.0	2298.0	2745.0	2504.0	2584.0	ICCS07
A	ICCS0703	NR	HR									905.0	761.0	515.0	785.0	538.0	912.0	1187.0	862.0	ICCS07
A	ICCS0703	NR	HU									1165.0	1281.0	2238.0	1806.0	2377.0	6516.0	1111.0	2117.0	ICCS07
A	ICCS0703	NR	IE										4.0	6.0	5.0	8.0	9.0	9.0	2.0	ICCS07
A	ICCS0703	NR	IT									21303.0	3572.0	3367.0	3469.0	3770.0	3842.0	3671.0	2760.0	ICCS07
A	ICCS0703	NR	LI									4.0	6.0	14.0	11.0	10.0	14.0	11.0	13.0	ICCS07
