freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS020111	NR	AL	363.0	379.0	178.0	169.0	156.0	163.0	132.0	169.0	118.0	125.0	135.0	158.0	152.0	163.0	153.0	147.0	ICCS02
A	ICCS020111	NR	AT	3945.0	4023.0	3606.0	3897.0	4030.0	3327.0	3230.0	3461.0	3793.0	3625.0	3711.0	3835.0	3549.0	3610.0	4324.0	4463.0	ICCS02
A	ICCS020111	NR	BA	1474.0		505.0	652.0	618.0	577.0	592.0	992.0	1009.0	752.0	909.0	725.0	640.0	755.0	505.0	793.0	ICCS02
A	ICCS020111	NR	BE	76314.0	77665.0	77758.0	78778.0	72312.0	69746.0	70411.0	62381.0	62985.0	62763.0	64507.0	65258.0	56193.0	59916.0	66913.0	66517.0	ICCS02
A	ICCS020111	NR	BG	3216.0	3122.0	3038.0	2462.0	2410.0	2470.0	2533.0	2520.0	2470.0	2811.0	2518.0	2768.0	2657.0	2758.0	3131.0	3856.0	ICCS02
A	ICCS020111	NR	CH	8893.0	524.0	487.0	487.0	597.0	568.0	609.0	616.0	573.0	586.0	585.0	637.0	670.0	652.0	763.0	880.0	ICCS02
A	ICCS020111	NR	CY	167.0	219.0	173.0	164.0	148.0	132.0	134.0	143.0	145.0	144.0	132.0	176.0	136.0	179.0	177.0	156.0	ICCS02
A	ICCS020111	NR	CZ	5397.0	4756.0	4786.0	5264.0	5240.0	5378.0	5199.0	5229.0	5050.0	4767.0	4967.0	4684.0	3892.0	3701.0	4171.0	4263.0	ICCS02
A	ICCS020111	NR	DE	518499.0	149301.0	142903.0	139091.0	136077.0	127869.0	125752.0	127395.0	140033.0	137058.0	136727.0	133084.0	130453.0	122341.0	144663.0	154541.0	ICCS02
A	ICCS020111	NR	DK	1663.0	1603.0	1753.0	1696.0	1657.0	1503.0	1533.0	1460.0	1733.0	1904.0	1857.0	1968.0	1871.0	1884.0	2158.0	2072.0	ICCS02
A	ICCS020111	NR	EE	140.0	106.0	103.0	104.0	99.0	99.0	77.0	98.0	93.0	76.0	90.0	78.0	77.0	74.0	58.0	37.0	ICCS02
A	ICCS020111	NR	EL	430.0	477.0	1101.0	1425.0	1692.0	1610.0	1459.0	1624.0	1515.0	1510.0	1587.0	1605.0	1285.0	1186.0	1333.0	1307.0	ICCS02
A	ICCS020111	NR	ES	72803.0	80910.0	25077.0	18290.0	17353.0	16701.0	16776.0	29056.0	17331.0	18086.0	18292.0	20057.0	15569.0	19744.0	25930.0	26483.0	ICCS02
A	ICCS020111	NR	FI	2228.0	2083.0	1974.0	2035.0	1856.0	1791.0	1645.0	1563.0	1592.0	1581.0	1609.0	1584.0	1754.0	1663.0	1726.0	1795.0	ICCS02
A	ICCS020111	NR	FR	187937.0	220126.0	231909.0	231307.0	231733.0	233304.0	237916.0	242185.0	266911.0	278097.0	300383.0	322731.0	317150.0	353899.0	391833.0	417453.0	ICCS02
A	ICCS020111	NR	HR	1128.0	1059.0	986.0	873.0	903.0	823.0	766.0	804.0	790.0	798.0	733.0	736.0	743.0	727.0	778.0	920.0	ICCS02
A	ICCS020111	NR	HU	12757.0	12787.0	14569.0	14212.0	13973.0	13377.0	13475.0	12472.0									ICCS02
A	ICCS020111	NR	IE	3843.0	3718.0	3681.0	3541.0	3213.0	3071.0	3163.0	3516.0	3638.0	4101.0	4546.0	5046.0	4262.0	4878.0	6137.0	5711.0	ICCS02
A	ICCS020111	NR	IS	77.0	79.0	57.0	60.0	74.0	92.0	101.0	85.0	74.0	103.0	122.0	97.0	132.0	120.0	146.0	193.0	ICCS02
A	ICCS020111	NR	IT	65791.0	65611.0	64866.0	68500.0	69527.0	66317.0	973.0	1047.0	995.0	1117.0	984.0	1005.0	840.0	868.0	863.0	809.0	ICCS02
A	ICCS020111	NR	LI	88.0	90.0	77.0	78.0	69.0	103.0	120.0	81.0	71.0	83.0	79.0	76.0	86.0	60.0	102.0	93.0	ICCS02
A	ICCS020111	NR	LT	251.0	220.0	245.0	206.0	178.0	211.0	204.0	214.0	216.0	178.0	185.0	152.0	150.0	126.0	145.0	136.0	ICCS02
A	ICCS020111	NR	LU	2317.0	2350.0	596.0	681.0	677.0	713.0	728.0	608.0	569.0	585.0	611.0	637.0	486.0	548.0	696.0	683.0	ICCS02
A	ICCS020111	NR	LV	1346.0	1215.0	1226.0	1161.0	1325.0	458.0	569.0	534.0	657.0	657.0	646.0	639.0	596.0	549.0	539.0	538.0	ICCS02
A	ICCS020111	NR	ME	196.0	186.0	193.0	161.0	168.0	173.0	129.0	140.0	128.0	147.0	153.0	115.0	129.0	118.0	128.0	151.0	ICCS02
A	ICCS020111	NR	MK	213.0	228.0	248.0	239.0	211.0	216.0	213.0	154.0	173.0	148.0		161.0	145.0	148.0	137.0	150.0	ICCS02
A	ICCS020111	NR	MT	196.0	173.0	180.0	181.0	174.0	218.0	160.0	183.0	200.0	186.0	183.0	200.0	183.0	171.0	220.0	219.0	ICCS02
A	ICCS020111	NR	NL	69005.0	65690.0	6605.0	6555.0	6205.0	5580.0	5340.0	5100.0	5020.0	4785.0	4580.0	4840.0	5220.0	4570.0	4930.0	4575.0	ICCS02
A	ICCS020111	NR	NO	3279.0	3093.0	2925.0	2837.0	2781.0	2566.0	2377.0	2239.0	2199.0	2112.0	1968.0	2129.0	1786.0	1571.0	1932.0	2050.0	ICCS02
A	ICCS020111	NR	PL		12559.0	11011.0	10703.0	9721.0	9118.0	8248.0	6957.0	7621.0	7304.0	6610.0	6412.0	5377.0	4815.0	5132.0	5145.0	ICCS02
A	ICCS020111	NR	PT	760.0	724.0	863.0	812.0	701.0	580.0	542.0	469.0	521.0	584.0	579.0	661.0	576.0	629.0	741.0	760.0	ICCS02
A	ICCS020111	NR	RO	9457.0	9072.0	12301.0	12299.0	17219.0	17572.0	2279.0	299.0	304.0	272.0	252.0	283.0	229.0	182.0	227.0	196.0	ICCS02
A	ICCS020111	NR	RS	1582.0	1442.0	1391.0	1309.0	1323.0	1750.0	1506.0	1422.0	1339.0	1285.0	6904.0	6216.0	5797.0	5261.0	5301.0	5423.0	ICCS02
A	ICCS020111	NR	SE	5332.0	5600.0	5594.0	5684.0	5338.0	4659.0	4570.0	4646.0	4959.0	4685.0	4709.0	5324.0	5290.0	4813.0	4641.0	4800.0	ICCS02
A	ICCS020111	NR	SI	214.0	220.0	215.0	191.0	217.0	176.0	186.0	170.0	155.0	151.0	151.0	144.0	128.0	115.0	113.0	163.0	ICCS02
A	ICCS020111	NR	SK	2702.0	2618.0	2426.0	2227.0	2183.0	2017.0	1988.0	1862.0	1632.0	1619.0	1597.0	1527.0	1271.0	1131.0	1295.0	1272.0	ICCS02
A	ICCS020111	NR	UKC-L	419119.0	399713.0	366878.0	336867.0	310953.0	321535.0	373464.0	430583.0	466722.0	512976.0	547060.0						ICCS02
A	ICCS020111	NR	UKM	79892.0	5621.0	5493.0	4693.0	3643.0	2951.0	2903.0	3714.0	3950.0	3944.0	4049.0						ICCS02
A	ICCS020111	NR	UKN	1549.0	1605.0	1451.0	1446.0	1278.0	1093.0	1172.0	1206.0	1111.0	1053.0	1063.0						ICCS02
A	ICCS020111	NR	XK	3376.0	3539.0	3760.0	3743.0	3805.0	653.0	818.0	393.0	363.0	331.0	304.0	275.0	274.0	316.0			ICCS02
A	ICCS020111	P_HTHAB	AL	11.45	11.9		5.97			4.55	5.84	4.08	4.35	4.7	5.52	5.34	5.76	5.48	5.32	ICCS02
A	ICCS020111	P_HTHAB	AT	47.48	48.27	43.18	46.53	47.93	39.36	37.97	40.31	43.6	41.32	42.06	43.29	39.87	40.41	48.16	49.02	ICCS02
A	ICCS020111	P_HTHAB	BA	38.35		13.14	16.97	16.1												ICCS02
A	ICCS020111	P_HTHAB	BE	715.43	722.26	717.33	716.12	651.76	624.87	629.75	555.13	556.84	552.89	565.92	569.66	487.68	518.54	575.96	566.45	ICCS02
A	ICCS020111	P_HTHAB	BG	42.78	41.81	40.93	33.41	32.89	33.91	34.96	34.99	34.53	39.58	35.72	39.54	38.22	39.88	45.78	59.8	ICCS02
A	ICCS020111	P_HTHAB	CH	117.11	6.8	6.25	6.18	7.5	7.07	7.48	7.48	6.88	6.96	6.9	7.46	7.79	7.52	8.73	9.98	ICCS02
A	ICCS020111	P_HTHAB	CY	21.51	27.48	21.12	19.53	17.17	15.24	15.62	16.88	17.09	16.85	15.27	20.09	15.32	19.98	19.56	16.44	ICCS02
A	ICCS020111	P_HTHAB	CZ	52.18	45.62	45.75	50.2	49.88	51.14	49.46	49.62	47.85	45.06	46.81	43.98	36.39	34.58	39.66	39.37	ICCS02
A	ICCS020111	P_HTHAB	DE	630.64	182.07	174.69	173.38	169.4	158.8	155.7	156.9	170.41	166.09	165.14	160.31	156.86	147.12	173.8	185.93	ICCS02
A	ICCS020111	P_HTHAB	DK	30.37	29.08	31.67	30.5	29.69	26.83	27.24	25.8	30.36	33.12	32.12	33.9	32.13	32.26	36.74	34.93	ICCS02
A	ICCS020111	P_HTHAB	EE	10.46	7.94	7.73	7.82	7.47	7.5	5.85	7.45	7.07	5.78	6.82	5.89	5.79	5.56	4.36	2.71	ICCS02
A	ICCS020111	P_HTHAB	EL	3.89	4.3	9.9	12.81	15.26	14.63	13.35	14.96	14.05	14.02	14.77	14.97	11.99	11.11	12.74	12.55	ICCS02
A	ICCS020111	P_HTHAB	ES	159.41	174.98	53.94	39.19	37.06	35.74	36.07	62.55	37.32	38.87	39.2	42.73	32.9	41.65	54.6	55.07	ICCS02
A	ICCS020111	P_HTHAB	FI	42.03	39.11	36.89	37.86	34.36	33.0	30.18	28.56	29.01	28.73	29.18	28.71	31.74	30.05	31.11	32.26	ICCS02
A	ICCS020111	P_HTHAB	FR	293.62	342.07	358.67	355.97	355.0	355.64	360.8	364.25	400.54	417.32	450.77	480.41	471.11	523.08	577.31	611.41	ICCS02
A	ICCS020111	P_HTHAB	HR	26.16	24.57	22.92	20.35	21.12	19.31	18.04	19.03	18.85	19.21	17.85	18.06	18.31	18.01	20.14	23.89	ICCS02
A	ICCS020111	P_HTHAB	HU	126.99	127.48	145.48	142.32	140.69	135.0	136.42	126.55									ICCS02
A	ICCS020111	P_HTHAB	IE	86.2	82.23	80.91	77.46	70.11	66.89	68.2	75.17	76.97	85.72	94.11	102.89	85.03	96.27	119.07	108.34	ICCS02
A	ICCS020111	P_HTHAB	IS	24.41	24.74	17.95	18.84	23.16	28.58	31.01	25.83	22.25	30.44	35.01	27.17	36.25	32.54	38.8	49.77	ICCS02
A	ICCS020111	P_HTHAB	IT	112.17	111.2	109.59	115.39	117.06	111.11	1.6	1.72	1.64	1.84	1.63	1.68	1.41	1.47	1.46	1.37	ICCS02
A	ICCS020111	P_HTHAB	LI	248.9	252.89	214.52	215.77	189.17	279.6	323.2	216.77	188.72	219.52	207.27	198.03	221.95	153.63	259.49	234.39	ICCS02
A	ICCS020111	P_HTHAB	LT	7.81	6.91	7.8	6.75	5.93	7.1	6.93	7.33	7.48	6.25	6.59	5.44	5.37	4.51	5.17	4.76	ICCS02
A	ICCS020111	P_HTHAB	LU	478.92	476.19	118.71	133.05	128.99	132.76	132.44	108.0	98.74	99.04	101.49	103.76	77.62	86.34	107.84	103.36	ICCS02
A	ICCS020111	P_HTHAB	LV	61.41	56.18	57.82	55.96	64.8	22.63	28.43	26.89	33.37	33.69	33.4	33.28	31.24	29.0	28.74	28.57	ICCS02
A	ICCS020111	P_HTHAB	ME	31.84	30.14	31.18	25.97	27.08	27.86	20.76	22.5	20.57	23.62	24.58	18.48	20.74	19.01	20.72	24.49	ICCS02
A	ICCS020111	P_HTHAB	MK	10.41	11.13	12.08	11.62	10.24	10.47	10.31	7.44	8.35	7.14		7.75	6.98	7.15	7.46	8.2	ICCS02
A	ICCS020111	P_HTHAB	MT	48.06	42.1	43.48	43.62	41.67	51.74	37.61	42.62	44.4	40.41	38.47	40.52	35.56	33.13	42.23	40.4	ICCS02
A	ICCS020111	P_HTHAB	NL	420.62	398.46	39.85	39.36	37.09	33.25	31.73	30.18	29.57	28.01	26.66	28.01	29.99	26.15	28.03	25.69	ICCS02
A	ICCS020111	P_HTHAB	NO	69.22	64.45	60.21	57.66	55.78	50.8	46.54	43.34	42.2	40.16	37.16	39.96	33.27	29.14	35.61	37.35	ICCS02
A	ICCS020111	P_HTHAB	PL		32.93	28.96	28.12	25.54	23.96	21.7	18.31	20.07	19.23	17.41	16.89	14.17	12.72	13.63	14.0	ICCS02
A	ICCS020111	P_HTHAB	PT	7.2	6.85	8.16	7.68	6.65	5.53	5.2	4.52	5.04	5.66	5.63	6.43	5.59	6.11	7.16	7.23	ICCS02
A	ICCS020111	P_HTHAB	RO	45.83	44.38	57.31	57.43	85.68	87.77	11.43	1.5	1.54	1.38	1.29	1.46	1.18	0.95	1.19	1.03	ICCS02
A	ICCS020111	P_HTHAB	RS	21.48	19.66	19.04	18.05	18.33	24.37	21.07	19.99	18.92	18.25	98.61	89.26	83.69	76.56	77.99	81.66	ICCS02
A	ICCS020111	P_HTHAB	SE	58.06	60.5	59.89	60.37	56.29	48.76	47.38	47.66	50.34	46.87	46.53	52.04	51.22	46.37	44.4	45.62	ICCS02
A	ICCS020111	P_HTHAB	SI	10.64	10.82	10.5	9.31	10.56	8.55	9.02	8.24	7.51	7.31	7.3	6.92	6.11	5.45	5.36	7.7	ICCS02
A	ICCS020111	P_HTHAB	SK	50.26	48.64	45.01	41.3	40.39	37.28	36.71	34.35	30.08	29.79	29.34	28.02	23.29	20.72	23.83	23.43	ICCS02
A	ICCS020111	P_HTHAB	UKC-L	767.4	726.23	661.46	602.28	551.63	566.5	653.16	746.93	802.85	875.94	927.84						ICCS02
A	ICCS020111	P_HTHAB	UKM	1540.54	107.75	104.7	88.87	68.65	55.47	54.39	69.34	73.47	72.84	74.47						ICCS02
A	ICCS020111	P_HTHAB	UKN	87.5	89.86	80.66	79.91	70.26	59.84	63.79	65.29	59.78	56.41	56.66						ICCS02
A	ICCS020111	P_HTHAB	XK	156.79	162.29	170.28	208.62					20.49	18.56	16.9	15.31	15.37				ICCS02
A	ICCS020221	NR	AL	10.0	5.0	9.0	2.0	2.0	5.0	2.0	8.0	4.0	2.0	5.0	4.0	5.0	4.0	4.0	4.0	ICCS02
A	ICCS020221	NR	AT	11.0	5.0	9.0	5.0	11.0	4.0	1.0	3.0	2.0	3.0	5.0	6.0	3.0	3.0	9.0	6.0	ICCS02
A	ICCS020221	NR	BA	8.0	6.0	1.0	1.0	2.0	5.0	3.0	0.0	1.0	0.0	1.0	7.0	1.0	14.0	12.0	30.0	ICCS02
A	ICCS020221	NR	BE	1013.0	1080.0	1122.0	1194.0	1185.0	1163.0	1151.0	1171.0	1201.0	1170.0							ICCS02
A	ICCS020221	NR	BG	127.0	142.0	118.0	77.0	75.0	87.0	95.0	74.0	70.0	102.0	63.0	72.0	81.0	69.0	83.0	89.0	ICCS02
A	ICCS020221	NR	CH	2.0	4.0	0.0	4.0	5.0	3.0	1.0	4.0	3.0	3.0	8.0	5.0	6.0	5.0	4.0	6.0	ICCS02
A	ICCS020221	NR	CY	12.0	26.0	27.0	12.0	5.0	4.0	8.0	0.0	1.0	9.0	4.0	8.0	2.0	3.0	6.0	0.0	ICCS02
A	ICCS020221	NR	CZ	15.0	12.0	16.0	11.0	17.0	20.0	15.0	12.0	18.0	17.0	13.0	12.0	11.0	2.0	5.0	8.0	ICCS02
A	ICCS020221	NR	DE	1857.0	5126.0	4897.0	4922.0	5183.0	4929.0	4988.0	4763.0	4756.0	4625.0	4563.0	4514.0	4565.0	5062.0	4891.0	5041.0	ICCS02
A	ICCS020221	NR	EE	2.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ICCS02
A	ICCS020221	NR	EL	30.0	16.0	173.0	158.0	139.0	95.0	58.0	89.0	61.0	78.0	74.0	72.0	73.0	62.0	98.0	74.0	ICCS02
A	ICCS020221	NR	ES	237.0	171.0	127.0	111.0	118.0	121.0	99.0	93.0	94.0	69.0	81.0	89.0	76.0	97.0	84.0	122.0	ICCS02
A	ICCS020221	NR	FI	0.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	1.0	3.0	2.0	2.0	4.0	ICCS02
A	ICCS020221	NR	FR	2074.0	2085.0	2092.0	2234.0	2117.0	2266.0	2956.0	3818.0	3818.0								ICCS02
A	ICCS020221	NR	HR	16.0	12.0	13.0	6.0	6.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	ICCS02
A	ICCS020221	NR	HU	11.0	14.0	18.0	12.0	9.0	7.0	3.0	11.0	5.0	3.0	3.0	5.0	11.0	4.0	7.0	11.0	ICCS02
A	ICCS020221	NR	IE	58.0	84.0	82.0	77.0	65.0	80.0	60.0	92.0	74.0	79.0	85.0	87.0	106.0	98.0	99.0	105.0	ICCS02
A	ICCS020221	NR	IT	325.0	349.0	351.0	356.0	341.0	325.0	297.0	287.0	197.0	198.0	185.0	128.0	117.0	118.0	114.0	129.0	ICCS02
A	ICCS020221	NR	LI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	ICCS02
A	ICCS020221	NR	LT	61.0	59.0	69.0	48.0	65.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	ICCS02
A	ICCS020221	NR	LU	33.0	40.0	27.0	47.0	57.0	48.0	52.0	53.0	50.0	46.0	36.0	44.0	42.0	37.0	52.0		ICCS02
A	ICCS020221	NR	LV	3.0	9.0	8.0	7.0	1.0	18.0	17.0	17.0	8.0	4.0	10.0	13.0	12.0	6.0	10.0	16.0	ICCS02
A	ICCS020221	NR	ME	3.0	3.0	2.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0		2.0	1.0	1.0	ICCS02
A	ICCS020221	NR	MK	14.0	16.0	17.0	14.0	19.0	18.0	8.0	11.0	10.0	7.0		15.0	2.0	8.0	7.0	13.0	ICCS02
A	ICCS020221	NR	MT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ICCS02
A	ICCS020221	NR	NL	760.0	625.0	650.0	575.0	600.0	525.0	415.0	435.0	420.0	400.0	425.0	510.0	520.0	460.0	445.0	450.0	ICCS02
A	ICCS020221	NR	PL	37.0	59.0	26.0	11.0	316.0	445.0	292.0	246.0									ICCS02
A	ICCS020221	NR	PT	492.0	539.0	501.0	507.0	419.0	432.0	376.0	369.0	296.0	292.0	273.0	338.0	254.0	229.0	250.0	305.0	ICCS02
A	ICCS020221	NR	RO	265.0		321.0	307.0	391.0	310.0	290.0	295.0	346.0	311.0	304.0	353.0	286.0	343.0	406.0	390.0	ICCS02
A	ICCS020221	NR	RS	16.0	24.0	20.0	9.0	11.0	9.0	12.0	14.0	8.0	11.0	14.0	8.0	4.0	14.0	11.0	10.0	ICCS02
A	ICCS020221	NR	SI	7.0	2.0	4.0	2.0	4.0	4.0	5.0	3.0	3.0	1.0	6.0	11.0	3.0	4.0	1.0	3.0	ICCS02
A	ICCS020221	NR	SK	3.0	6.0	4.0	4.0	7.0	78.0	83.0	85.0	102.0	89.0	92.0	95.0	53.0	54.0	48.0	46.0	ICCS02
A	ICCS020221	NR	TR		12700.0	13586.0	13584.0	13431.0												ICCS02
A	ICCS020221	NR	UKC-L	2035.0	1860.0	1717.0	1516.0	1388.0	1728.0	2189.0	3019.0	3849.0	4528.0	5223.0						ICCS02
A	ICCS020221	NR	UKM	319.0	269.0	260.0	219.0	227.0	253.0	234.0	228.0	230.0	233.0	268.0						ICCS02
A	ICCS020221	NR	UKN	83.0	82.0	56.0	66.0	45.0	59.0	44.0	65.0	81.0	67.0	82.0						ICCS02
A	ICCS020221	NR	XK	46.0	50.0	43.0	31.0	33.0	34.0	26.0	24.0	22.0	16.0	16.0	21.0	15.0	10.0			ICCS02
A	ICCS020221	P_HTHAB	AL	0.32	0.16		0.07			0.07	0.27	0.13	0.07	0.17	0.14	0.18	0.14	0.14	0.14	ICCS02
A	ICCS020221	P_HTHAB	AT	0.13	0.06	0.11	0.06	0.13	0.05	0.01	0.03	0.02	0.03	0.06	0.07	0.03	0.03	0.1	0.07	ICCS02
A	ICCS020221	P_HTHAB	BA	0.21	0.16	0.03	0.03	0.05												ICCS02
A	ICCS020221	P_HTHAB	BE	9.5	10.04	10.35	10.85	10.68	10.42	10.29	10.42	10.62	10.31							ICCS02
A	ICCS020221	P_HTHAB	BG	1.69	1.9	1.59	1.04	1.02	1.19	1.31	1.03	0.98	1.44	0.89	1.03	1.17	1.0	1.21	1.38	ICCS02
A	ICCS020221	P_HTHAB	CH	0.02	0.05	0.0	0.05	0.06	0.04	0.01	0.05	0.04	0.04	0.09	0.06	0.07	0.06	0.05	0.07	ICCS02
A	ICCS020221	P_HTHAB	CY	1.55	3.26	3.3	1.43	0.58	0.46	0.93	0.0	0.12	1.05	0.46	0.91	0.23	0.33	0.66	0.0	ICCS02
A	ICCS020221	P_HTHAB	CZ	0.15	0.12	0.15	0.1	0.16	0.19	0.14	0.11	0.17	0.16	0.12	0.11	0.1	0.02	0.05	0.07	ICCS02
A	ICCS020221	P_HTHAB	DE	2.26	6.25	5.99	6.14	6.45	6.12	6.18	5.87	5.79	5.6	5.51	5.44	5.49	6.09	5.88	6.06	ICCS02
A	ICCS020221	P_HTHAB	EE	0.15	0.0	0.0	0.23	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ICCS02
