freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS0301	NR	AL	57.0	63.0	60.0	44.0	47.0	87.0	97.0	149.0	120.0	113.0	109.0	154.0	145.0	135.0	169.0	134.0	ICCS03
A	ICCS0301	NR	AT	4185.0	3836.0	3496.0	3957.0	4040.0	3780.0	3564.0	3479.0	4391.0	4253.0	4425.0	4509.0	4141.0	4354.0	4968.0	5447.0	ICCS03
A	ICCS0301	NR	BA						137.0	134.0	164.0	143.0	158.0	87.0	186.0	194.0	194.0	148.0	197.0	ICCS03
A	ICCS0301	NR	BE	10779.0	10609.0	10923.0	11300.0	10736.0	11399.0	6897.0	6888.0	7832.0	8634.0	8737.0	9638.0	9531.0	10870.0	11576.0	11620.0	ICCS03
A	ICCS0301	NR	BG	749.0	726.0	696.0	649.0	686.0	632.0	610.0	603.0	554.0	653.0	575.0	605.0	568.0	547.0	567.0	624.0	ICCS03
A	ICCS0301	NR	CH		2988.0	2492.0	2816.0	2581.0	2696.0	2747.0	2710.0	2742.0	3755.0	2843.0	2734.0	2909.0	3050.0	3147.0	2988.0	ICCS03
A	ICCS0301	NR	CY	97.0	78.0	79.0	47.0	33.0	24.0	19.0	21.0	24.0	20.0	29.0	17.0	30.0	63.0	57.0	111.0	ICCS03
A	ICCS0301	NR	CZ	1680.0	1730.0	1337.0	1456.0	1410.0	1417.0	1432.0	1422.0	1393.0	1414.0	1448.0	1560.0	1453.0	1593.0	1822.0	1864.0	ICCS03
A	ICCS0301	NR	DE	56784.0	49084.0	36566.0	36354.0	36277.0	35330.0	34959.0	34265.0	37166.0	34815.0	40585.0	40724.0	41079.0	41790.0	49690.0	52656.0	ICCS03
A	ICCS0301	NR	DK	1812.0	1671.0	2010.0	1866.0	1904.0	1843.0	2368.0	2611.0	3793.0	4795.0	5540.0	4895.0	5370.0	6343.0	6296.0	6766.0	ICCS03
A	ICCS0301	NR	EE	268.0	254.0	178.0	180.0	248.0	240.0	199.0	284.0	271.0	259.0	296.0	355.0	310.0	393.0	363.0	426.0	ICCS03
A	ICCS0301	NR	EL	682.0	924.0	511.0	435.0	486.0	468.0	466.0	554.0	493.0	453.0	423.0	303.0	543.0	966.0	1100.0	1047.0	ICCS03
A	ICCS0301	NR	ES	10888.0	9723.0	9954.0	9892.0	9008.0	8923.0	9468.0	7496.0	8726.0	9464.0	11612.0	13031.0	11112.0	14918.0	16789.0	19119.0	ICCS03
