freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS09051	NR	AL									10.0	13.0	32.0	38.0	15.0	27.0	38.0	45.0	ICCS09
A	ICCS09051	NR	AT									57.0	74.0	79.0	119.0	94.0	90.0	88.0	147.0	ICCS09
A	ICCS09051	NR	BA									28.0	29.0	21.0	52.0	88.0	69.0	122.0	63.0	ICCS09
A	ICCS09051	NR	BE									242.0	285.0	263.0	308.0	330.0	554.0	373.0	330.0	ICCS09
A	ICCS09051	NR	BG									67.0	65.0	103.0	106.0	89.0	66.0	49.0	77.0	ICCS09
A	ICCS09051	NR	CH									70.0	64.0	11.0	57.0	42.0	21.0	25.0	31.0	ICCS09
A	ICCS09051	NR	CY									0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	ICCS09
A	ICCS09051	NR	CZ									11.0	5.0	9.0	24.0	18.0	22.0	22.0	32.0	ICCS09
A	ICCS09051	NR	DE									563.0	572.0	535.0	579.0	594.0	696.0	639.0	642.0	ICCS09
A	ICCS09051	NR	EE										34.0	16.0	5.0	3.0	1.0	2.0	0.0	ICCS09
A	ICCS09051	NR	EL									405.0	459.0	335.0	377.0	395.0	358.0	342.0	437.0	ICCS09
A	ICCS09051	NR	ES									1211.0	1136.0	1425.0	1165.0	1317.0	1668.0	2034.0	2042.0	ICCS09
A	ICCS09051	NR	FI									2.0	0.0	1.0	2.0	3.0	3.0	3.0	0.0	ICCS09
A	ICCS09051	NR	FR									1339.0	1548.0	1551.0	1607.0	1651.0	2169.0	2100.0	2778.0	ICCS09
A	ICCS09051	NR	HR									17.0	18.0	15.0	25.0	28.0	20.0	36.0	15.0	ICCS09
A	ICCS09051	NR	IT									780.0	691.0	614.0	556.0	602.0	704.0	442.0	401.0	ICCS09
A	ICCS09051	NR	LI									1.0								ICCS09
A	ICCS09051	NR	LT									0.0	2.0	9.0	0.0	10.0	5.0	6.0	4.0	ICCS09
A	ICCS09051	NR	LU									22.0	25.0	29.0	18.0	36.0	61.0	70.0		ICCS09
A	ICCS09051	NR	ME									27.0	57.0	121.0	63.0	111.0	50.0	25.0	115.0	ICCS09
A	ICCS09051	NR	MT									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ICCS09
A	ICCS09051	NR	PL									485.0	576.0	457.0	493.0	872.0	896.0	1083.0	950.0	ICCS09
A	ICCS09051	NR	PT									10.0	10.0	6.0	8.0	5.0	3.0	6.0	7.0	ICCS09
A	ICCS09051	NR	RO									1051.0	969.0	687.0	546.0	489.0	589.0	516.0	467.0	ICCS09
A	ICCS09051	NR	RS										0.0							ICCS09
A	ICCS09051	NR	SI									1.0	1.0	4.0	5.0	1.0	4.0	0.0	1.0	ICCS09
A	ICCS09051	NR	SK									6.0	6.0	9.0	6.0	41.0	35.0	40.0	54.0	ICCS09
A	ICCS09051	NR	TR									6647.0								ICCS09
A	ICCS09051	NR	XK									5.0	5.0	2.0	3.0	5.0				ICCS09
A	ICCS09051	P_HTHAB	AL									0.35	0.45	1.11	1.33	0.53	0.95	1.36	1.63	ICCS09
A	ICCS09051	P_HTHAB	AT									0.66	0.84	0.9	1.34	1.06	1.01	0.98	1.61	ICCS09
A	ICCS09051	P_HTHAB	BE									2.14	2.51	2.31	2.69	2.86	4.79	3.21	2.81	ICCS09
A	ICCS09051	P_HTHAB	BG									0.94	0.92	1.46	1.51	1.28	0.95	0.72	1.19	ICCS09
A	ICCS09051	P_HTHAB	CH									0.84	0.76	0.13	0.67	0.49	0.24	0.29	0.35	ICCS09
A	ICCS09051	P_HTHAB	CY									0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	ICCS09
A	ICCS09051	P_HTHAB	CZ									0.1	0.05	0.08	0.23	0.17	0.21	0.21	0.3	ICCS09
A	ICCS09051	P_HTHAB	DE									0.69	0.69	0.65	0.7	0.71	0.84	0.77	0.77	ICCS09
A	ICCS09051	P_HTHAB	EE										2.58	1.21	0.38	0.23	0.08	0.15	0.0	ICCS09
A	ICCS09051	P_HTHAB	EL									3.76	4.26	3.12	3.52	3.69	3.35	3.27	4.2	ICCS09
A	ICCS09051	P_HTHAB	ES									2.61	2.44	3.05	2.48	2.78	3.52	4.29	4.25	ICCS09
A	ICCS09051	P_HTHAB	FI									0.04	0.0	0.02	0.04	0.05	0.05	0.05	0.0	ICCS09
A	ICCS09051	P_HTHAB	FR									2.01	2.32	2.31	2.39	2.45	3.21	3.09	4.07	ICCS09
A	ICCS09051	P_HTHAB	HR									0.41	0.43	0.37	0.61	0.69	0.5	0.93	0.39	ICCS09
A	ICCS09051	P_HTHAB	IT									1.29	1.14	1.02	0.93	1.01	1.19	0.75	0.68	ICCS09
A	ICCS09051	P_HTHAB	LI									2.66								ICCS09
A	ICCS09051	P_HTHAB	LT									0.0	0.07	0.32	0.0	0.36	0.18	0.21	0.14	ICCS09
A	ICCS09051	P_HTHAB	LU									3.82	4.23	4.82	2.93	5.75	9.61	10.85		ICCS09
A	ICCS09051	P_HTHAB	ME									4.34	9.16	19.44	10.13	17.85	8.05	4.05	18.65	ICCS09
A	ICCS09051	P_HTHAB	MT									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ICCS09
A	ICCS09051	P_HTHAB	PL									1.28	1.52	1.2	1.3	2.3	2.37	2.88	2.58	ICCS09
A	ICCS09051	P_HTHAB	PT									0.1	0.1	0.06	0.08	0.05	0.03	0.06	0.07	ICCS09
A	ICCS09051	P_HTHAB	RO									5.32	4.93	3.52	2.81	2.53	3.07	2.71	2.45	ICCS09
A	ICCS09051	P_HTHAB	RS										0.0							ICCS09
A	ICCS09051	P_HTHAB	SI									0.05	0.05	0.19	0.24	0.05	0.19	0.0	0.05	ICCS09
A	ICCS09051	P_HTHAB	SK									0.11	0.11	0.17	0.11	0.75	0.64	0.74	0.99	ICCS09
A	ICCS09051	P_HTHAB	TR									8.44								ICCS09
A	ICCS09051	P_HTHAB	XK									0.28	0.28	0.11	0.17	0.28				ICCS09
