freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS02-04	Spain	: 	107912 	103039 	114303 	118370 	122005 	117341 	109665 	121094 	120581 	109798 	108820	112426	114205	113473 
A	NR	ICCS02-04	Finland	25226 	26017 	28218 	30825 	31202 	31726 	32089 	34291 	33355 	34186 	35293 	36450	37105	38037	41664 
A	NR	ICCS02-04	France	144368 	155869 	165381 	178363 	186006 	194873 	215698 	243166 	279324 	288927 	292658 	292088	307501	326065	324765 
A	NR	ICCS02-04	Metropolitan France	144368 	155869 	165381 	178363 	186006 	194873 	215698 	243166 	279324 	288927 	292658 	292088	307501	326065	324765 
A	NR	ICCS02-04	Croatia	: 	: 	: 	: 	: 	4401 	5373 	6211 	7584 	8802 	10032 	11292	12405	13235	12966 
A	NR	ICCS02-04	Hungary	24574 	26035 	25773 	24784 	26987 	28414 	28277 	29145 	30820 	31221 	31484 	33364	32760	29728	29645 
A	NR	ICCS02-04	Ireland	5470 	5046 	5764 	6554 	5488 	4515 	: 	5676 	8548 	11976 	9955 	9615	9414	9920	10188 
A	NR	ICCS02-04	Italy	114945 	107766 	98837 	100931 	103750 	108935 	111897 	106051 	107032 	106624 	111165 	131764	136322	145209	153997 
A	NR	ICCS02-04	Liechtenstein	: 	: 	: 	85 	82 	87 	78 	83 	85 	82 	109 	96	107	88	86 
A	NR	ICCS02-04	Lithuania	4743 	5258 	3838 	4405 	4899 	4549 	4339 	5418 	5144 	5492 	6042 	6566	6561	5498	4754 
A	NR	ICCS02-04	Luxembourg	: 	: 	: 	: 	: 	: 	: 	1768 	1689 	2069 	2124 	2433	2367	2471	3233 
A	NR	ICCS02-04	Latvia	: 	: 	: 	: 	: 	: 	3363 	3937 	3761 	3407 	3200 	3366	2879	2750	1919 
A	NR	ICCS02-04	Montenegro	: 	: 	: 	: 	: 	: 	: 	: 	: 	4209 	3940 	4281	249	280	271 
A	NR	ICCS02-04	North Macedonia	: 	: 	: 	: 	: 	: 	: 	538 	493 	702 	860 	1094	1133	993	1037 
A	NR	ICCS02-04	Malta	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	406	403	390	422 
A	NR	ICCS02-04	Netherlands	61591 	67077 	65284 	67479 	74691 	76787 	87132 	91738 	101320 	104336 	106410 	109887	138915	138215	138850 
A	NR	ICCS02-04	Norway	14587 	14870 	15335 	17405 	17394 	17324 	17645 	19374 	19217 	20414 	20039 	21360	21381	22591	23205 
A	NR	ICCS02-04	Poland	44544 	50080 	53197 	54481 	60895 	62461 	70310 	79763 	76235 	74875 	77152 	74614	68141	61399	54629 
A	NR	ICCS02-04	Portugal	: 	17103 	17028 	15498 	16734 	15463 	18943 	19730 	21554 	22945 	23414 	24266	23232	24157	21734 
A	NR	ICCS02-04	Romania	9515 	8930 	9212 	8720 	8966 	7846 	7840 	7703 	7943 	7130 	6281 	6388	6469	7240	5580 
A	NR	ICCS02-04	Serbia	: 	: 	: 	: 	: 	: 	: 	36104 	43569 	31400 	25513 	27950	29068	28864	29316 
A	NR	ICCS02-04	Sweden	63788 	65236 	66311 	65829 	68349 	70952 	76746 	75874 	78407 	79455 	83782 	86107	94205	98154	104627 
A	NR	ICCS02-04	Slovenia	1327 	1317 	1906 	2042 	1902 	1352 	1434 	1594 	2807 	3070 	2893 	2928	2856	3069	3087 
A	NR	ICCS02-04	Slovakia	9722 	9876 	10990 	11391 	11564 	12427 	13531 	13549 	14450 	15020 	13724 	13755	13575	11584	10274 
A	NR	ICCS02-04	Turkey	12366 	13251 	55001 	64487 	67567 	72601 	71303 	77017 	87325 	94920 	96209 	108371	125467	165119	138576 
A	NR	ICCS02-04	United Kingdom	: 	: 	310936 	344766 	347064 	605797 	703107 	741954 	821270 	875665 	963395 	997607	997159	972283	885718 
