freq	iccs	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	F	P_HTHAB	CZ	: 	: 	: 	1.80 	1.66 	1.79 	2.00 	2.01 	2.22 	2.12 	2.21 	2.02 	2.12 	2.01 	2.23 	1.99 
A	ICCS0101	F	P_HTHAB	DE	: 	: 	: 	: 	: 	0.61 	0.56 	0.55 	0.51 	0.49 	0.51 	0.51 	0.53 	0.51 	0.51 	0.52 
A	ICCS0101	F	P_HTHAB	DK	0.51 	0.50 	0.54 	0.64 	0.57 	0.50 	0.46 	0.32 	0.31 	0.42 	0.31 	0.41 	0.38 	0.27 	0.47 	0.37 
A	ICCS0101	F	P_HTHAB	EE	: 	: 	4.49 	3.52 	: 	3.98 	: 	3.28 	3.00 	2.58 	2.15 	2.29 	1.86 	1.86 	2.15 	1.53 
A	ICCS0101	F	P_HTHAB	EL	0.78 	0.73 	0.37 	0.78 	0.81 	0.92 	1.06 	0.88 	1.21 	1.03 	0.89 	0.98 	1.07 	1.08 	1.12 	1.01 
A	ICCS0101	F	P_HTHAB	ES	0.65 	0.74 	0.83 	0.79 	0.99 	1.08 	1.10 	1.18 	1.27 	1.34 	0.26 	1.21 	1.19 	1.31 	1.35 	1.22 
A	ICCS0101	F	P_HTHAB	FI	2.00 	1.92 	2.13 	2.05 	2.18 	2.32 	1.91 	2.16 	1.94 	1.83 	1.61 	1.61 	1.39 	1.54 	1.39 	1.07 
A	ICCS0101	F	P_HTHAB	FR	0.74 	0.72 	0.74 	0.75 	0.75 	0.97 	0.91 	0.61 	0.97 	1.36 	1.41 	1.47 	1.10 	1.07 	: 	1.16 
A	ICCS0101	F	P_HTHAB	HR	0.67 	1.07 	0.72 	: 	0.59 	0.77 	0.68 	0.73 	: 	: 	0.85 	0.95 	0.81 	1.01 	1.05 	0.75 
A	ICCS0101	F	P_HTHAB	HU	: 	: 	: 	: 	: 	2.68 	3.00 	2.64 	: 	3.32 	0.72 	1.82 	2.61 	3.24 	2.62 	2.73 
A	ICCS0101	F	P_HTHAB	IE	: 	: 	: 	: 	: 	0.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	IS	: 	: 	: 	: 	: 	0.62 	: 	: 	: 	0.60 	0.00 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	IT	0.46 	0.49 	0.55 	0.53 	0.49 	0.93 	0.92 	0.81 	0.86 	0.92 	0.92 	0.91 	0.92 	0.91 	0.93 	0.97 
A	ICCS0101	F	P_HTHAB	LI	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	LT	4.75 	4.62 	4.85 	5.47 	5.12 	6.05 	6.30 	5.78 	5.71 	5.80 	5.89 	4.94 	4.77 	3.78 	3.07 	3.22 
A	ICCS0101	F	P_HTHAB	LU	: 	: 	: 	1.56 	1.52 	1.86 	1.46 	1.78 	0.35 	1.70 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	LV	: 	: 	: 	: 	: 	4.10 	4.24 	4.56 	4.41 	3.98 	3.64 	3.77 	3.21 	3.24 	3.38 	3.27 
A	ICCS0101	F	P_HTHAB	ME	0.32 	0.00 	0.00 	0.32 	0.00 	0.00 	0.64 	0.32 	0.32 	0.32 	0.32 	0.00 	0.00 	0.00 	0.96 	0.00 
A	ICCS0101	F	P_HTHAB	MT	: 	: 	: 	: 	: 	0.47 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.40 	0.40 	0.39 
A	ICCS0101	F	P_HTHAB	NO	0.38 	0.46 	0.45 	0.49 	0.36 	0.24 	0.35 	0.43 	0.46 	0.54 	0.65 	0.61 	0.64 	0.64 	0.56 	0.48 
A	ICCS0101	F	P_HTHAB	PL	: 	: 	: 	: 	: 	: 	: 	: 	1.86 	1.91 	1.89 	1.82 	1.80 	1.90 	1.89 	1.95 
A	ICCS0101	F	P_HTHAB	PT	0.24 	24 	0.24 	0.27 	0.25 	0.22 	0.27 	0.28 	0.29 	0.31 	0.31 	0.28 	0.20 	0.29 	0.24 	: 
A	ICCS0101	F	P_HTHAB	RO	2.51 	2.42 	2.35 	2.37 	2.30 	2.39 	2.44 	2.50 	2.43 	2.04 	1.82 	1.73 	1.89 	2.25 	1.88 	2.14 
A	ICCS0101	F	P_HTHAB	RS	: 	: 	: 	: 	: 	1.36 	1.42 	1.37 	1.27 	1.16 	1.00 	1.34 	1.41 	0.65 	1.26 	1.61 
A	ICCS0101	F	P_HTHAB	SE	0.61 	0.62 	0.53 	0.59 	0.55 	0.61 	0.52 	0.57 	0.63 	0.66 	0.75 	0.81 	0.88 	1.07 	1.17 	1.15 
A	ICCS0101	F	P_HTHAB	SI	: 	: 	: 	: 	: 	: 	: 	: 	0.38 	0.29 	0.48 	0.58 	0.48 	0.38 	0.38 	0.47 
A	ICCS0101	F	P_HTHAB	SK	: 	: 	: 	: 	: 	: 	1.19 	1.08 	1.12 	1.01 	1.15 	1.25 	1.18 	1.40 	: 	1.51 
A	ICCS0101	F	P_HTHAB	TR	: 	0.13 	0.33 	0.34 	0.46 	2.83 	2.81 	2.87 	2.91 	: 	2.95 	2.94 	3.07 	3.31 	3.59 	3.04 
A	ICCS0101	F	P_HTHAB	UKC-L	0.66 	0.76 	0.75 	0.74 	0.81 	0.89 	0.88 	0.89 	0.95 	0.95 	0.93 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	UKM	1.08 	1.41 	1.63 	1.98 	2.05 	2.04 	2.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	UKN	: 	0.66 	0.65 	0.76 	0.86 	1.18 	1.18 	1.17 	0.74 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	XK	: 	1.11 	1.46 	2.25 	: 	: 	: 	: 	: 	: 	1.65 	0.88 	1.10 	: 	: 	: 
A	ICCS0101	M	NR	AL	1087 	1230 	1140 	1094 	1174 	1140 	1060 	383 	321 	426 	408 	392 	411 	404 	413 	395 
A	ICCS0101	M	NR	AT	498 	483 	489 	502 	504 	476 	458 	450 	482 	459 	335 	346 	357 	355 	345 	371 
A	ICCS0101	M	NR	BA	: 	: 	: 	: 	: 	387 	382 	426 	339 	: 	145 	301 	220 	327 	299 	313 
A	ICCS0101	M	NR	BE	797 	774 	812 	801 	827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	BG	1026 	997 	925 	936 	944 	901 	861 	772 	774 	815 	793 	812 	801 	713 	778 	745 
A	ICCS0101	M	NR	CH	447 	459 	455 	456 	462 	467 	454 	498 	520 	531 	528 	588 	595 	562 	509 	: 
A	ICCS0101	M	NR	CY	: 	17 	18 	18 	19 	16 	: 	: 	: 	: 	: 	: 	: 	: 	59 	: 
A	ICCS0101	M	NR	CZ	: 	: 	: 	1151 	1021 	1062 	1053 	770 	1073 	1029 	991 	929 	904 	879 	917 	832 
A	ICCS0101	M	NR	DE	: 	: 	: 	: 	: 	3546 	3450 	3314 	3187 	3155 	3179 	3151 	3172 	3140 	3100 	3007 
A	ICCS0101	M	NR	DK	160 	166 	177 	193 	179 	189 	180 	187 	182 	166 	173 	173 	176 	182 	156 	154 
A	ICCS0101	M	NR	EE	: 	: 	495 	505 	: 	484 	: 	407 	374 	341 	314 	290 	274 	266 	248 	219 
A	ICCS0101	M	NR	EL	712 	567 	649 	680 	807 	765 	814 	757 	787 	810 	795 	808 	773 	649 	724 	591 
A	ICCS0101	M	NR	ES	2822 	3073 	3108 	3038 	3593 	3657 	3550 	3646 	3603 	3498 	3656 	3277 	3220 	3158 	3231 	2997 
A	ICCS0101	M	NR	FI	522 	539 	541 	548 	542 	557 	548 	544 	476 	457 	434 	429 	432 	441 	425 	275 
A	ICCS0101	M	NR	FR	3301 	3230 	3157 	3153 	3168 	3764 	3580 	2889 	4626 	6631 	7055 	7240 	4313 	4427 	: 	4885 
A	ICCS0101	M	NR	HR	426 	429 	411 	: 	381 	386 	375 	323 	: 	: 	310 	289 	273 	292 	310 	300 
A	ICCS0101	M	NR	HU	: 	: 	: 	: 	: 	1332 	1382 	1266 	: 	1530 	227 	428 	629 	782 	952 	1050 
A	ICCS0101	M	NR	IE	: 	: 	: 	: 	: 	393 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	IS	: 	: 	: 	: 	: 	18 	: 	: 	: 	6 	7 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	IT	5415 	5689 	5851 	5911 	6016 	9342 	9105 	8894 	8797 	8914 	8951 	8939 	8542 	8555 	8512 	8508 
A	ICCS0101	M	NR	LI	: 	: 	: 	: 	: 	1 	1 	0 	1 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	LT	1696 	1727 	1800 	1907 	1893 	1817 	1785 	1641 	1570 	1514 	1455 	1381 	1293 	1232 	1139 	985 
A	ICCS0101	M	NR	LU	: 	: 	: 	37 	50 	50 	57 	58 	0 	47 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	LV	: 	: 	: 	: 	: 	676 	651 	596 	581 	569 	559 	505 	276 	482 	499 	469 
A	ICCS0101	M	NR	ME	13 	15 	16 	19 	11 	15 	46 	39 	45 	48 	22 	30 	36 	40 	33 	20 
A	ICCS0101	M	NR	MT	: 	: 	: 	: 	: 	31 	32 	31 	37 	46 	51 	27 	29 	47 	50 	53 
A	ICCS0101	M	NR	NO	127 	121 	122 	126 	131 	125 	124 	131 	128 	130 	148 	148 	143 	150 	145 	143 
A	ICCS0101	M	NR	PL	: 	: 	: 	: 	: 	: 	: 	: 	4012 	3999 	4021 	4052 	4001 	3967 	3976 	3989 
A	ICCS0101	M	NR	PT	327 	328 	327 	320 	318 	318 	304 	299 	283 	272 	265 	234 	228 	240 	226 	: 
A	ICCS0101	M	NR	RO	5533 	5292 	5240 	5375 	5361 	6013 	6015 	6194 	5946 	5332 	4829 	4624 	4764 	5189 	4873 	4843 
A	ICCS0101	M	NR	RS	: 	: 	: 	: 	: 	603 	722 	753 	683 	700 	739 	689 	704 	708 	782 	820 
A	ICCS0101	M	NR	SE	408 	422 	443 	428 	437 	535 	525 	542 	552 	601 	615 	637 	696 	759 	852 	913 
A	ICCS0101	M	NR	SI	: 	: 	: 	: 	: 	: 	: 	: 	71 	83 	75 	97 	96 	86 	93 	106 
A	ICCS0101	M	NR	SK	: 	: 	: 	: 	: 	: 	464 	463 	462 	349 	365 	387 	409 	429 	: 	427 
A	ICCS0101	M	NR	TR	: 	1466 	2838 	3358 	6262 	24668 	26296 	27640 	29070 	: 	33186 	33851 	36094 	37738 	40896 	33932 
A	ICCS0101	M	NR	UKC-L	4395 	4809 	4587 	4829 	4979 	5015 	5015 	5076 	5225 	5195 	5188 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	UKM	788 	800 	775 	778 	787 	807 	807 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	UKN	: 	144 	156 	160 	153 	169 	209 	180 	162 	153 	159 	: 	: 	: 	: 	: 
A	ICCS0101	M	NR	XK	: 	272 	442 	392 	402 	422 	356 	407 	: 	375 	347 	343 	333 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	AL	68.43 	77.62 	: 	76.94 	: 	: 	72.60 	26.21 	21.97 	29.31 	28.36 	27.42 	28.93 	28.65 	29.78 	28.90 
A	ICCS0101	M	P_HTHAB	AT	12.32 	11.91 	12.03 	12.31 	12.30 	11.54 	11.02 	10.73 	11.28 	10.64 	7.72 	7.94 	8.15 	8.07 	7.80 	8.27 
A	ICCS0101	M	P_HTHAB	BE	15.26 	14.69 	15.29 	14.83 	15.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	BG	28.03 	27.42 	25.60 	26.08 	26.47 	25.42 	24.43 	22.04 	22.26 	23.62 	23.17 	23.91 	23.77 	21.29 	23.50 	24.04 
A	ICCS0101	M	P_HTHAB	CH	11.99 	12.12 	11.88 	11.76 	11.78 	11.77 	11.29 	12.22 	12.62 	12.72 	12.55 	13.88 	13.94 	13.06 	11.73 	: 
A	ICCS0101	M	P_HTHAB	CY	: 	4.36 	4.50 	4.40 	4.53 	3.80 	: 	: 	: 	: 	: 	: 	: 	: 	13.38 	: 
A	ICCS0101	M	P_HTHAB	CZ	: 	: 	: 	22.36 	19.79 	20.56 	20.40 	14.87 	20.69 	19.79 	18.99 	17.71 	17.15 	16.66 	17.69 	15.67 
A	ICCS0101	M	P_HTHAB	DE	: 	: 	: 	: 	: 	9.00 	8.72 	8.32 	7.87 	7.75 	7.78 	7.69 	7.73 	7.65 	7.55 	7.35 
A	ICCS0101	M	P_HTHAB	DK	5.90 	6.08 	6.45 	7.00 	6.47 	6.80 	6.45 	6.65 	6.41 	5.80 	6.01 	5.99 	6.08 	6.27 	5.34 	5.22 
A	ICCS0101	M	P_HTHAB	EE	: 	: 	79.74 	81.49 	: 	78.55 	: 	66.21 	60.64 	55.22 	50.56 	46.35 	43.54 	42.16 	39.15 	33.83 
A	ICCS0101	M	P_HTHAB	EL	13.07 	10.39 	11.88 	12.47 	14.88 	14.26 	15.32 	14.37 	15.06 	15.51 	15.26 	15.51 	14.82 	12.49 	14.16 	11.60 
A	ICCS0101	M	P_HTHAB	ES	12.49 	13.43 	13.52 	13.18 	15.55 	15.89 	15.52 	15.97 	15.80 	15.32 	15.98 	14.24 	13.88 	13.60 	13.90 	12.72 
A	ICCS0101	M	P_HTHAB	FI	20.10 	20.64 	20.61 	20.77 	20.43 	20.89 	20.44 	20.21 	17.62 	16.85 	15.96 	15.75 	15.83 	16.13 	15.49 	9.99 
A	ICCS0101	M	P_HTHAB	FR	10.66 	10.37 	10.09 	10.02 	10.02 	11.85 	11.21 	8.97 	14.35 	20.52 	21.77 	22.29 	13.26 	13.53 	: 	14.76 
A	ICCS0101	M	P_HTHAB	HR	20.51 	20.66 	19.81 	: 	18.47 	18.77 	18.29 	15.84 	: 	: 	15.64 	14.65 	13.85 	14.86 	16.65 	16.11 
A	ICCS0101	M	P_HTHAB	HU	: 	: 	: 	: 	: 	28.24 	29.38 	26.96 	: 	32.73 	4.86 	9.15 	13.44 	16.77 	20.50 	22.70 
A	ICCS0101	M	P_HTHAB	IE	: 	: 	: 	: 	: 	17.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	IS	: 	: 	: 	: 	: 	11.15 	: 	: 	: 	3.51 	3.94 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	IT	19.06 	19.91 	20.42 	20.58 	20.94 	32.34 	30.88 	30.15 	29.86 	30.27 	30.42 	30.69 	29.40 	29.64 	29.54 	29.53 
A	ICCS0101	M	P_HTHAB	LI	: 	: 	: 	: 	: 	5.48 	5.43 	0.00 	5.36 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	LT	114.02 	117.22 	124.12 	135.52 	136.83 	132.74 	131.64 	121.89 	118.08 	115.38 	112.16 	106.59 	99.13 	93.79 	87.17 	73.74 
A	ICCS0101	M	P_HTHAB	LU	: 	: 	: 	14.53 	19.10 	18.63 	20.72 	20.57 	0.00 	15.84 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	LV	: 	: 	: 	: 	: 	72.96 	70.99 	65.41 	64.25 	63.53 	62.83 	57.07 	31.33 	55.07 	57.42 	53.76 
A	ICCS0101	M	P_HTHAB	ME	4.29 	4.93 	5.24 	6.21 	3.59 	4.89 	14.98 	12.68 	14.62 	15.60 	7.15 	9.75 	11.71 	13.04 	10.81 	6.56 
A	ICCS0101	M	P_HTHAB	MT	: 	: 	: 	: 	: 	14.77 	15.06 	14.44 	17.01 	19.86 	21.20 	10.72 	10.91 	17.61 	18.51 	18.61 
A	ICCS0101	M	P_HTHAB	NO	5.38 	5.05 	5.03 	5.12 	5.24 	4.93 	4.83 	5.04 	4.88 	4.91 	5.55 	5.51 	5.28 	5.52 	5.30 	5.17 
A	ICCS0101	M	P_HTHAB	PL	: 	: 	: 	: 	: 	: 	: 	: 	21.83 	21.76 	21.88 	22.05 	21.78 	21.67 	21.83 	22.44 
A	ICCS0101	M	P_HTHAB	PT	6.45 	6.47 	6.46 	6.33 	6.32 	6.37 	6.13 	6.07 	5.77 	5.57 	5.44 	4.82 	4.69 	4.94 	4.59 	: 
A	ICCS0101	M	P_HTHAB	RO	50.13 	48.00 	47.59 	48.91 	51.95 	61.60 	61.72 	63.81 	61.62 	55.53 	50.55 	48.67 	50.36 	55.28 	52.74 	52.28 
A	ICCS0101	M	P_HTHAB	RS	: 	: 	: 	: 	: 	17.24 	20.75 	21.74 	19.82 	20.41 	21.67 	20.31 	20.86 	21.16 	23.64 	25.39 
A	ICCS0101	M	P_HTHAB	SE	8.94 	9.17 	9.53 	9.13 	9.25 	11.23 	10.90 	11.12 	11.19 	11.99 	12.10 	12.39 	13.40 	14.53 	16.20 	17.23 
A	ICCS0101	M	P_HTHAB	SI	: 	: 	: 	: 	: 	: 	: 	: 	6.94 	8.10 	7.30 	9.34 	9.13 	8.11 	8.79 	9.97 
A	ICCS0101	M	P_HTHAB	SK	: 	: 	: 	: 	: 	: 	17.58 	17.52 	17.46 	13.16 	13.74 	14.54 	15.35 	16.09 	: 	16.08 
A	ICCS0101	M	P_HTHAB	TR	: 	4.08 	7.78 	9.07 	16.68 	64.99 	68.35 	70.90 	73.57 	: 	81.87 	82.28 	86.51 	90.03 	96.39 	79.46 
A	ICCS0101	M	P_HTHAB	UKC-L	16.40 	17.80 	16.83 	17.56 	17.95 	17.94 	17.80 	17.85 	18.21 	17.96 	17.80 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	UKM	31.45 	31.70 	30.51 	30.40 	30.58 	31.26 	31.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	UKN	: 	16.46 	17.70 	18.04 	17.15 	18.87 	23.18 	23.05 	19.06 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	M	P_HTHAB	XK	: 	24.70 	39.63 	43.35 	: 	: 	: 	: 	: 	: 	39.07 	38.74 	38.06 	: 	: 	: 
A	ICCS0101	T	NR	AL	1138 	1239 	1167 	1126 	1202 	1162 	1076 	387 	325 	429 	411 	394 	412 	405 	414 	395 
A	ICCS0101	T	NR	AT	534 	519 	526 	533 	536 	513 	495 	487 	488 	498 	365 	377 	390 	392 	383 	413 
A	ICCS0101	T	NR	BA	: 	: 	: 	: 	: 	407 	403 	446 	349 	357 	155 	326 	244 	349 	321 	313 
A	ICCS0101	T	NR	BE	848 	814 	857 	850 	890 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	T	NR	BG	1078 	1050 	979 	979 	981 	935 	897 	809 	811 	849 	832 	848 	834 	745 	806 	804 
A	ICCS0101	T	NR	CH	468 	488 	487 	487 	496 	500 	495 	541 	566 	580 	581 	648 	657 	622 	563 	: 
A	ICCS0101	T	NR	CY	: 	17 	19 	19 	20 	18 	: 	: 	: 	: 	: 	: 	: 	: 	61 	: 
A	ICCS0101	T	NR	CZ	: 	: 	: 	1247 	1110 	1158 	1160 	878 	1192 	1143 	1110 	1038 	1019 	988 	1036 	942 
A	ICCS0101	T	NR	DE	: 	: 	: 	: 	: 	3795 	3679 	3543 	3398 	3359 	3391 	3366 	3394 	3353 	3315 	3228 
A	ICCS0101	T	NR	DK	174 	180 	192 	211 	195 	203 	193 	196 	191 	178 	182 	185 	187 	190 	170 	165 
A	ICCS0101	T	NR	EE	620 	574 	527 	530 	517 	512 	488 	430 	395 	359 	329 	306 	287 	279 	263 	230 
