freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	FOR	P_HTHAB	CH	47.16 	49.74 	51.76 	49.69 	55.19 	60.42 	57.41 	54.80 	55.23 	54.81 	55.15 	52.41 	50.43 	48.79 	50.30 	53.70 
A	FOR	P_HTHAB	CY	48.56 	40.28 	45.66 	42.39 	46.87 	35.34 	27.86 	25.27 	27.94 	17.66 	31.94 	42.47 	29.28 	46.54 	58.69 	57.32 
A	FOR	P_HTHAB	CZ	14.01 	5.55 	15.29 	16.50 	16.32 	14.48 	14.73 	15.85 	17.12 	17.15 	16.66 	16.85 	14.34 	13.04 	13.87 	15.25 
A	FOR	P_HTHAB	DK	14.46 	14.71 	15.41 	15.07 	17.54 	19.60 	17.81 	15.28 	16.72 	16.84 	17.97 	19.58 	20.11 	18.39 	19.49 	18.66 
A	FOR	P_HTHAB	EE	12.33 	104.74 	101.18 	97.92 	94.17 	90.29 	93.17 	83.35 	80.55 	75.70 	69.44 	63.18 	60.12 	54.51 	51.51 	45.61 
A	FOR	P_HTHAB	EL	55.23 	56.85 	64.84 	70.90 	71.03 	69.28 	62.98 	48.71 	48.17 	49.14 	54.20 	58.87 	63.43 	60.86 	57.57 	53.41 
A	FOR	P_HTHAB	ES	57.37 	58.74 	56.61 	52.50 	48.90 	45.19 	42.35 	38.47 	36.89 	35.57 	35.44 	35.09 	33.63 	34.33 	35.33 	36.79 
A	FOR	P_HTHAB	FI	6.28 	6.68 	6.99 	8.11 	8.85 	8.44 	8.86 	8.94 	9.68 	10.08 	9.12 	9.10 	8.58 	7.61 	8.31 	10.66 
A	FOR	P_HTHAB	FR	18.54 	17.95 	17.94 	19.31 	19.98 	21.10 	20.95 	21.16 	22.41 	23.08 	24.14 	24.43 	22.81 	25.79 	26.62 	27.58 
A	FOR	P_HTHAB	HR	6.80 	6.50 	5.62 	6.74 	6.67 	6.45 	5.44 	4.66 	4.70 	5.42 	7.62 	11.80 	9.39 	11.57 	10.95 	20.20 
A	FOR	P_HTHAB	HU	5.36 	5.75 	6.03 	5.86 	6.25 	6.59 	7.09 	9.19 	8.93 	8.79 	7.70 	8.24 	10.22 	19.31 	29.86 	11.10 
A	FOR	P_HTHAB	IE	9.94 	11.06 	8.73 	8.44 	8.68 	9.15 	8.06 	7.39 	: 	: 	10.77 	12.54 	11.92 	11.49 	12.87 	14.00 
A	FOR	P_HTHAB	IS	9.19 	9.71 	8.50 	8.79 	11.58 	7.77 	6.76 	8.81 	7.82 	9.16 	8.90 	8.96 	9.34 	8.68 	10.37 	14.18 
A	FOR	P_HTHAB	IT	37.51 	41.52 	42.21 	41.52 	40.33 	37.44 	29.38 	29.28 	31.56 	33.52 	34.35 	34.02 	29.75 	29.42 	30.73 	33.54 
A	FOR	P_HTHAB	LI	183.84 	379.33 	169.94 	143.85 	134.34 	138.44 	110.43 	112.40 	164.80 	161.33 	141.68 	93.80 	98.07 	: 	134.83 	113.42 
A	FOR	P_HTHAB	LT	2.80 	3.71 	3.18 	4.19 	3.76 	5.01 	5.40 	4.38 	3.84 	4.00 	4.45 	4.58 	3.65 	5.97 	5.92 	5.35 
A	FOR	P_HTHAB	LU	114.92 	98.07 	92.22 	87.53 	88.79 	84.54 	84.59 	91.66 	94.23 	83.46 	81.56 	71.51 	65.00 	70.42 	85.06 	69.31 
A	FOR	P_HTHAB	LV	3.74 	3.93 	4.39 	4.00 	3.72 	3.36 	4.35 	5.34 	7.21 	4.82 	4.34 	3.39 	2.36 	3.06 	4.21 	6.11 
A	FOR	P_HTHAB	ME	7.80 	13.77 	18.58 	13.23 	32.56 	37.69 	60.17 	27.49 	45.64 	30.05 	27.96 	30.86 	21.23 	24.65 	23.31 	29.03 
